RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,20229,Stewart Cink,40.91,36,88,-32,-1.00
2,0,32150,Michael Thompson,35.29,30,85,-29,-10.00
3,0,33448,Justin Thomas,32.52,53,163,-51,-1.00
4,0,24358,Robert Garrigus,32.00,40,125,-37,+4.00
5,0,30925,Dustin Johnson,31.93,53,166,-56,-9.00
6,0,34264,Hudson Swafford,31.28,61,195,-62,-11.00
7,0,35891,Cameron Smith,31.15,19,61,-18,-2.00
8,0,24461,Thomas Aiken,31.03,27,87,-26,-5.00
9,0,34431,Robert Streb,30.91,34,110,-33,-8.00
10,0,25349,Tim Wilkinson,30.61,15,49,-17,-18.00
11,0,37189,Harold Varner III,30.60,56,183,-51,-1.00
12,0,33461,Morgan Hoffmann,30.51,36,118,-41,-6.00
13,0,21961,Charles Howell III,30.19,48,159,-45,-14.00
14,0,29725,Tony Finau,29.77,64,215,-63,+9.00
15,0,25632,Jimmy Walker,29.76,50,168,-53,E
16,0,24502,Adam Scott,29.60,37,125,-39,-11.00
17,0,29420,Billy Horschel,28.45,33,116,-32,+2.00
18,0,10885,Robert Allenby,28.33,17,60,-15,+3.00
19,0,29485,Brett Stegmaier,27.86,39,140,-42,-9.00
20,0,30944,Jason Kokrak,27.84,49,176,-47,+4.00
21,0,31323,Gary Woodland,27.66,52,188,-56,-8.00
22,0,25804,Bubba Watson,27.46,39,142,-39,-12.00
23,0,29518,Brendan Steele,27.15,41,151,-41,-11.00
24,0,20104,Ken Duke,27.14,19,70,-24,-3.00
25,0,28237,Rory McIlroy,27.08,39,144,-38,-5.00
26,0,31646,Emiliano Grillo,27.04,43,159,-40,-6.00
27,0,28092,D.H. Lee,26.98,17,63,-19,-10.00
28,0,08075,Jerry Kelly,26.97,24,89,-25,-14.00
29,0,27936,Martin Laird,26.95,38,141,-38,+16.00
30,0,29268,Bronson Burgoon,26.92,35,130,-34,-15.00
31,0,29221,Webb Simpson,26.61,29,109,-29,-4.00
32,0,33141,Keegan Bradley,26.56,34,128,-34,+5.00
33,0,35451,Scott Pinckney,26.49,40,151,-39,+7.00
34,0,33413,Ben Martin,26.17,39,149,-47,-19.00
35,0,27770,Camilo Villegas,25.89,29,112,-34,+5.00
36,0,29223,Sam Saunders,25.81,24,93,-28,+3.00
37,0,29745,Tyler Aldridge,25.49,26,102,-26,-13.00
38,0,29289,S.Y. Noh,25.42,30,118,-31,-7.00
39,0,34046,Jordan Spieth,25.41,31,122,-32,-16.00
40,0,37455,Si Woo Kim,25.23,56,222,-60,+4.00
41,0,25686,Jason Dufner,25.20,32,127,-35,-11.00
42,0,12510,Chad Campbell,25.00,36,144,-31,-15.00
42,0,27974,Sung Kang,25.00,36,144,-41,+5.00
44,0,32757,Patton Kizzire,24.82,35,141,-34,-19.00
44,0,25892,Steve Wheatcroft,24.82,34,137,-31,-16.00
46,0,35879,Kelly Kraft,24.71,21,85,-23,-9.00
47,0,24357,K.J. Choi,24.68,19,77,-24,-22.00
48,0,25818,Scott Piercy,24.65,35,142,-37,-6.00
49,0,27436,Graham DeLaet,24.63,33,134,-35,-2.00
50,0,40058,Zac Blair,24.55,27,110,-25,-7.00
51,0,24024,Zach Johnson,24.51,25,102,-25,-33.00
52,0,25900,Lucas Glover,24.46,34,139,-30,-16.00
53,0,34360,Patrick Reed,24.40,41,168,-46,-10.00
54,0,36689,Brooks Koepka,24.36,38,156,-38,+4.00
55,0,20848,Ángel Cabrera,24.32,27,111,-26,+10.00
56,0,36801,Mark Hubbard,24.29,34,140,-36,-16.00
57,0,36699,Patrick Rodgers,24.28,42,173,-48,+2.00
58,0,26758,David Hearn,24.21,23,95,-28,-25.00
59,0,28132,Tyrone Van Aswegen,24.11,34,141,-27,-9.00
60,0,29720,Andres Gonzales,23.93,28,117,-29,-5.00
60,0,34098,Russell Henley,23.93,28,117,-29,-5.00
62,0,24924,Bill Haas,23.89,27,113,-26,-9.00
63,0,31560,Brian Stuard,23.88,16,67,-15,-16.00
64,0,34409,David Lingmerth,23.81,25,105,-27,-12.00
64,0,25572,Graeme McDowell,23.81,20,84,-20,-2.00
66,0,32102,Rickie Fowler,23.78,39,164,-42,-10.00
67,0,28114,Dawie van der Walt,23.76,24,101,-25,-4.00
68,0,22046,Geoff Ogilvy,23.71,23,97,-25,-7.00
