RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,27095,Nick Watney,1906,2,8,0
2,0,06527,Steve Stricker,1865,2,5,41
3,0,29221,Webb Simpson,1861,1,7,45
4,0,23983,Luke Donald,1856,1,10,50
5,0,33141,Keegan Bradley,1621,2,4,285
6,0,01810,Phil Mickelson,1601,1,5,305
7,0,24357,K.J. Choi,1601,1,6,305
8,0,25804,Bubba Watson,1577,2,3,329
9,0,02206,David Toms,1538,1,6,368
10,0,31323,Gary Woodland,1466,1,6,440
11,0,21878,Mark Wilson,1461,2,4,445
12,0,23108,Matt Kuchar,1407,0,8,499
13,0,24502,Adam Scott,1332,1,5,574
14,0,28089,Jason Day,1308,0,8,598
15,0,24924,Bill Haas,1273,0,6,633
16,0,21731,Freddie Jacobson,1235,1,3,671
17,0,27936,Martin Laird,1234,1,6,672
18,0,27649,Brandt Snedeker,1227,1,5,679
19,0,30925,Dustin Johnson,1191,0,5,715
20,0,24781,Hunter Mahan,1186,0,7,720
21,0,26331,Charl Schwartzel,1185,1,3,721
22,0,22371,Aaron Baddeley,1181,1,4,725
23,0,23621,Rory Sabbatini,1175,1,3,731
24,0,24925,Jonathan Byrd,1165,1,4,741
25,0,25686,Jason Dufner,1143,0,5,763
26,0,21961,Charles Howell III,1137,0,6,769
27,0,25240,D.A. Points,1055,1,3,851
28,0,32102,Rickie Fowler,1038,0,4,868
29,0,27466,Spencer Levin,1025,0,4,881
30,0,30750,Tommy Gainey,999,0,6,907
31,0,30692,Scott Stallings,992,1,2,914
32,0,24024,Zach Johnson,962,0,4,944
33,0,30926,Chris Kirk,957,1,4,949
34,0,28158,Steve Marino,935,0,3,971
35,0,27064,Jhonattan Vegas,919,1,2,987
36,0,06567,Vijay Singh,903,0,4,1003
37,0,23320,Ryan Palmer,902,0,3,1004
38,0,26596,Ryan Moore,883,0,3,1023
39,0,23623,Bo Van Pelt,881,0,3,1025
40,0,25900,Lucas Glover,875,1,1,1031
41,0,29518,Brendan Steele,826,1,1,1080
42,0,06573,Brandt Jobe,803,0,3,1103
43,0,24663,Y.E. Yang,799,0,4,1107
44,0,22405,Justin Rose,796,0,3,1110
45,0,19970,Robert Karlsson,789,0,3,1117
46,0,23638,Brendon de Jonge,784,0,3,1122
47,0,25396,Kevin Na,778,0,5,1128
48,0,30110,Kyle Stanley,761,0,2,1145
49,0,12716,Charley Hoffman,746,0,1,1160
50,0,20645,John Senden,732,0,2,1174
51,0,24140,Sean O'Hair,724,1,1,1182
52,0,24361,Pat Perez,716,0,4,1190
53,0,24358,Robert Garrigus,702,0,3,1204
54,0,24490,George McNeill,694,0,4,1212
55,0,25345,Carl Pettersson,691,0,4,1215
56,0,19846,Brian Gay,685,0,3,1221
57,0,21753,Brian Davis,685,0,1,1221
58,0,10885,Robert Allenby,679,0,3,1227
59,0,21209,Sergio Garcia,662,0,3,1244
60,0,10809,Jim Furyk,661,0,3,1245
61,0,21805,Harrison Frazar,660,1,1,1246
62,0,25562,Andres Romero,651,0,4,1255
63,0,08075,Jerry Kelly,651,0,3,1255
64,0,33419,Cameron Tringale,644,0,4,1262
65,0,28087,Kris Blanks,641,0,2,1265
66,0,27141,J.B. Holmes,640,0,4,1266
67,0,29910,Blake Adams,616,0,3,1290
68,0,25632,Jimmy Walker,615,0,4,1291
69,0,28475,Jeff Overton,611,0,3,1295
70,0,22913,John Rollins,608,0,2,1298
71,0,27214,Kevin Streelman,600,0,3,1306
72,0,23353,J.J. Henry,599,0,1,1307
73,0,20160,Charlie Wi,591,0,1,1315
74,0,12510,Chad Campbell,591,0,1,1315
75,0,02239,Scott Verplank,588,0,3,1318
76,0,26476,Chez Reavie,588,0,3,1318
77,0,26951,Johnson Wagner,585,1,1,1321
78,0,11123,Chris Couch,573,0,3,1333
79,0,22046,Geoff Ogilvy,571,0,3,1335
80,0,25818,Scott Piercy,571,1,2,1335
81,0,01706,Davis Love III,557,0,2,1349
82,0,20229,Stewart Cink,556,0,1,1350
83,0,24846,Ricky Barnes,552,0,2,1354
84,0,27120,Troy Matteson,542,0,2,1364
85,0,21350,Ryuji Imada,529,0,2,1377
86,0,23541,Ben Crane,526,0,2,1380
87,0,26851,Marc Leishman,522,0,2,1384
88,0,32366,Kevin Chappell,503,0,2,1403
89,0,24604,Hunter Haas,499,0,3,1407
90,0,06251,Chris DiMarco,499,0,1407
91,0,23800,Bryce Molder,493,0,4,1413
92,0,29718,Anthony Kim,485,0,2,1421
93,0,25572,Graeme McDowell,485,0,3,1421
94,0,06643,Paul Goydos,474,0,3,1432
95,0,22378,Trevor Immelman,468,0,1438
96,0,22348,Nick O'Hern,463,0,2,1443
97,0,20070,Matt Bettencourt,461,0,2,1445
98,0,12782,Tim Herron,456,0,2,1450
99,0,01116,Michael Bradley,454,1,1,1452
100,0,20593,Greg Chalmers,450,0,2,1456
101,0,20157,Retief Goosen,439,0,1,1467
102,0,08725,Tom Gillis,431,0,2,1475
103,0,23548,Bill Lunde,428,0,1478
104,0,27933,John Merrick,415,0,1,1491
105,0,26679,Kevin Stadler,414,0,1,1492
106,0,27963,Chris Stroud,413,0,2,1493
107,0,32150,Michael Thompson,413,0,1,1493
108,0,23325,Vaughn Taylor,397,0,1509
109,0,27770,Camilo Villegas,395,0,2,1511
110,0,27330,Josh Teater,393,0,1,1513
111,0,23788,D.J. Trahan,392,0,1,1514
112,0,22293,Heath Slocum,388,0,1518
113,0,20098,Stuart Appleby,387,0,1,1519
