RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,28237,Rory McIlroy,1030,212
2,0,20396,Lee Westwood,632,179
3,0,27408,Martin Kaymer,605,401
4,0,19825,Darren Clarke,602,2
5,0,20859,Anders Hansen,491,233
6,0,25198,Francesco Molinari,343,251
7,0,23814,Edoardo Molinari,323,114
8,0,28258,K.T. Kim,317,138
9,0,22792,Peter Hanson,292,87
10,0,30852,Ryo Ishikawa,265,178
11,0,10944,Thomas Bjørn,240,90
12,0,19958,Miguel Angel Jiménez,207,116
13,0,33199,Matteo Manassero,199,99
14,0,27072,Alvaro Quiros,192,45
15,0,33399,Adam Hadwin,190,0
16,0,34021,Bud Cauley,181,0
17,0,27896,Ross Fisher,154,56
18,0,24512,Simon Dyson,137,37
19,0,29289,S.Y. Noh,133,35
20,0,20569,Richard Green,107,53
21,0,26908,Yuta Ikeda,99,38
22,0,21284,Hiroyuki Fujita,99,32
23,0,20832,Raphael Jacquelin,94,0
24,0,29223,Sam Saunders,91,0
25,0,27088,Johan Edfors,82,0
26,0,26539,Robert Rock,76,0
27,0,27349,Alex Noren,71,16
28,0,33461,Morgan Hoffmann,70,0
29,0,24494,Erik Compton,67,0
30,0,29670,Pablo Larrazabal,62,1
31,0,28937,George Coetzee,61,0
32,0,22896,Grégory Havret,49,0
33,0,22400,Hennie Otto,41,41
34,0,29780,Do-Hoon Kim,37,0
35,0,24461,Thomas Aiken,35,35
36,0,31640,Gary Boyd,31,0
36,0,24957,Simon Khan,31,0
38,0,28259,Sangmoon Bae,28,0
39,0,20378,Mathias Grönberg,26,0
40,0,26949,Josh Broadaway,25,0
40,0,24083,Marcus Fraser,25,25
42,0,24748,WC Liang,24,0
42,0,31114,Drew Weaver,24,0
44,0,23725,Brendan Jones,23,23
45,0,26525,Grégory Bourdy,21,0
45,0,27910,Floris De Vries,21,0
45,0,25948,Richard McEvoy,21,0
48,0,20574,Mathew Goggin,20,0
49,0,21207,José Manuel Lara,20,0
50,0,25203,SSP Chawrasia,20,20
51,0,26500,Alejandro Cañizares,17,0
52,0,20121,Todd Fischer,16,0
53,0,30191,Julián Etulain,13,0
53,0,27037,Sal Spallone,13,0
55,0,21633,Steve Allan,13,0
56,0,28308,Troy Kelly,12,0
57,0,20367,Fredrik Andersson Hed,12,0
57,0,20376,Stephen Gallacher,12,0
59,0,07707,Mike Small,11,0
60,0,23481,Marcel Siem,10,0
61,0,30924,Rhys Davies,9,9
62,0,29222,Billy Hurley III,8,0
63,0,28300,Joost Luiten,7,0
63,0,24077,Matthew Millar,7,0
65,0,02076,Peter Senior,7,7
66,0,06350,Bob May,6,0
67,0,19904,Paul Lawrie,5,0
68,0,34360,Patrick Reed,3,0
69,0,28455,Will Claxton,3,0
70,0,25109,Christo Greyling,2,0
70,0,20940,Kenichi Kuboya,2,0
72,0,31115,Michio Matsumura,1,0
73,0,21461,Kenneth Ferrie,1,0
74,0,24219,Wes Heffernan,1,0
74,0,34554,Jung-gon Hwang,1,0
76,0,29740,Brad Fritsch,1,0
77,0,29342,Jae-bum Park,1,1
77,0,27386,Dustin Risdon,1,0
79,0,29546,Dave Schultz,1,0
80,0,25936,Alex Aragon,0
