RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,28089,Jason Day,6.00,263.93,-80.86,217.25
2,0,24502,Adam Scott,5.62,275.55,-107.34,196.90
3,0,26331,Charl Schwartzel,4.99,269.19,-131.58,219.28
4,0,24357,K.J. Choi,4.53,239.89,-92.95,193.28
5,0,28258,K.T. Kim,3.73,201.20,-92.70,112.31
6,0,20157,Retief Goosen,3.26,176.23,-157.19,78.32
7,0,22046,Geoff Ogilvy,3.18,162.27,-110.79,92.39
8,0,06522,Ernie Els,3.14,169.42,-185.19,46.74
9,0,24663,Y.E. Yang,3.11,167.80,-122.45,130.45
10,0,30852,Ryo Ishikawa,2.94,158.87,-108.05,93.40
11,0,26329,Louis Oosthuizen,2.73,144.87,-111.49,58.78
12,0,23135,Tim Clark,2.57,102.68,-113.51,28.13
13,0,10885,Robert Allenby,2.56,138.20,-141.83,75.16
14,0,22371,Aaron Baddeley,2.55,137.95,-41.46,144.56
15,0,06567,Vijay Singh,2.54,124.47,-59.32,110.25
16,0,23621,Rory Sabbatini,2.47,133.15,-72.59,122.08
17,0,20645,John Senden,2.44,132.02,-65.05,101.36
18,0,26908,Yuta Ikeda,2.22,120.01,-92.59,51.60
19,0,27770,Camilo Villegas,2.18,117.96,-102.86,57.84
20,0,20569,Richard Green,2.11,95.03,-52.90,43.96
21,0,28259,Sangmoon Bae,2.02,80.69,-29.45,64.50
22,0,23725,Brendan Jones,1.91,76.54,-50.29,33.49
23,0,21284,Hiroyuki Fujita,1.88,101.48,-80.15,34.83
24,0,28937,George Coetzee,1.67,86.66,-17.87,82.65
25,0,23580,Tetsuji Hiratsuka,1.66,89.67,-63.15,36.74
26,0,23638,Brendon de Jonge,1.65,89.27,-48.27,55.09
27,0,20848,Ángel Cabrera,1.61,64.22,-78.74,41.02
28,0,25562,Andres Romero,1.58,72.49,-28.76,57.16
29,0,24461,Thomas Aiken,1.57,84.99,-50.82,66.21
30,0,27064,Jhonattan Vegas,1.54,80.23,-34.39,74.25
31,0,29289,S.Y. Noh,1.53,81.33,-48.43,37.75
32,0,20160,Charlie Wi,1.36,72.30,-42.66,45.99
33,0,24511,Thongchai Jaidee,1.35,73.16,-72.37,29.81
34,0,27119,Koumei Oda,1.32,70.06,-48.32,44.39
35,0,20098,Stuart Appleby,1.32,71.30,-59.49,26.93
36,0,24457,Jaco Van Zyl,1.32,52.66,-14.70,45.79
37,0,26851,Marc Leishman,1.30,70.04,-62.96,49.79
38,0,20935,Toru Taniguchi,1.29,61.98,-51.90,16.04
39,0,22378,Trevor Immelman,1.28,53.74,-17.65,44.79
40,0,22032,Tomohiro Kondo,1.26,61.87,-29.10,53.29
41,0,20218,Shingo Katayama,1.25,57.27,-43.08,34.24
42,0,29780,Do-Hoon Kim,1.24,49.66,-20.74,17.59
43,0,25290,Kurt Barnes,1.22,48.75,-6.70,45.24
44,0,34707,Siddikur Rahman,1.21,48.53,-17.30,31.77
45,0,31115,Michio Matsumura,1.18,63.56,-38.77,15.51
46,0,30008,Jbe' Kruger,1.14,58.15,-32.03,34.60
47,0,20669,James Kingston,1.12,58.41,-49.65,49.79
48,0,30978,Kiradech Aphibarnrat,1.08,58.29,-33.48,35.97
49,0,30860,Shunsuke Sonoda,1.04,44.70,-29.12,10.79
50,0,24083,Marcus Fraser,1.04,49.84,-37.34,24.21
51,0,21350,Ryuji Imada,1.03,55.56,-30.93,37.38
52,0,22080,Prayad Marksaeng,1.03,55.56,-28.69,38.13
53,0,20574,Mathew Goggin,.98,49.20,-29.14,45.49
54,0,25132,Cho Min-jun,.97,38.76,-10.35,26.96
55,0,26808,Tadahiro Takayama,.96,47.97,-26.62,27.62
56,0,26300,Matt Jones,.95,50.46,-34.00,23.39
57,0,23797,Brett Rumford,.94,48.03,-41.29,17.85
58,0,20593,Greg Chalmers,.94,50.54,-44.10,31.99
59,0,21407,Arjun Atwal,.92,48.94,-25.06,22.33
60,0,22417,Jay Choi,.92,36.62,-14.57,16.86
61,0,22348,Nick O'Hern,.91,40.05,-31.51,28.39
62,0,21470,Daisuke Maruyama,.91,49.07,-40.43,26.28
63,0,28092,D.H. Lee,.90,36.18,-.34,36.52
64,0,24748,WC Liang,.89,43.62,-55.66,4.88
65,0,20686,Jeev Milkha Singh,.89,48.06,-40.17,29.44
66,0,29942,Mark Tullo,.89,41.72,-17.63,23.22
67,0,22110,Thaworn Wiratchant,.88,43.20,-29.39,18.35
68,0,22400,Hennie Otto,.86,46.70,-25.70,38.84
69,0,20213,Katsumasa Miyamoto,.86,46.66,-39.57,8.56
70,0,22460,Hiroo Kawai,.85,39.98,-11.09,33.33
71,0,22368,Daniel Gaunt,.84,33.74,-18.38,8.39
72,0,33399,Adam Hadwin,.81,32.45,-6.94,26.77
73,0,23783,Felipe Aguilar,.80,43.23,-16.97,38.99
