RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,09011,David Duval,+2.15,69.60,71.75
2,0,08793,Tiger Woods,+2.08,70.10,72.18
3,0,01706,Davis Love III,+2.03,70.07,72.10
4,0,10809,Jim Furyk,+1.87,70.00,71.87
5,0,01553,John Huston,+1.70,70.16,71.86
6,0,01887,Mark O'Meara,+1.54,70.40,71.94
7,0,02223,Bob Tway,+1.49,70.31,71.80
8,0,06527,Steve Stricker,+1.45,70.38,71.83
9,0,12660,Jesper Parnevik,+1.43,70.79,72.22
10,0,02170,Hal Sutton,+1.39,70.25,71.64
11,0,06522,Ernie Els,+1.38,71.00,72.38
11,0,06567,Vijay Singh,+1.38,70.57,71.95
13,0,01968,Nick Price,+1.33,70.82,72.15
14,0,01527,Scott Hoch,+1.31,70.43,71.74
15,0,02239,Scott Verplank,+1.29,70.39,71.68
16,0,20229,Stewart Cink,+1.25,70.49,71.74
16,0,01226,Fred Couples,+1.25,70.56,71.81
18,0,02146,Payne Stewart,+1.23,70.68,71.91
19,0,01161,Mark Calcavecchia,+1.22,70.48,71.70
20,0,08931,Glen Day,+1.19,70.51,71.70
21,0,01577,Lee Janzen,+1.15,70.85,72.00
21,0,01677,Tom Lehman,+1.15,70.82,71.97
23,0,01320,Bob Estes,+1.14,70.50,71.64
24,0,01619,Skip Kendall,+1.10,70.47,71.57
25,0,10860,Justin Leonard,+1.08,70.70,71.78
26,0,01724,Jeff Maggert,+1.07,70.72,71.79
27,0,01599,Steve Jones,+1.03,70.41,71.44
28,0,07457,Steve Flesch,+1.00,70.21,71.21
29,0,01381,Fred Funk,+.98,70.53,71.51
30,0,02010,Loren Roberts,+.95,70.53,71.48
31,0,06004,Stephen Ames,+.93,71.25,72.18
32,0,01766,Billy Mayfair,+.91,70.93,71.84
33,0,01943,Chris Perry,+.90,70.78,71.68
33,0,02104,Jeff Sluman,+.90,70.57,71.47
35,0,01042,Paul Azinger,+.89,70.99,71.88
36,0,01810,Phil Mickelson,+.87,71.24,72.11
37,0,01945,Kenny Perry,+.86,70.38,71.24
38,0,01219,John Cook,+.83,70.75,71.58
39,0,01926,Steve Pate,+.81,70.78,71.59
40,0,01035,Tommy Armour III,+.76,70.88,71.64
41,0,01723,Andrew Magee,+.75,70.88,71.63
42,0,01361,Dan Forsman,+.74,70.62,71.36
43,0,01823,Larry Mize,+.73,70.86,71.59
44,0,01920,Craig Parry,+.72,71.21,71.93
44,0,02101,Joey Sindelar,+.72,71.10,71.82
44,0,02133,Craig Stadler,+.72,70.85,71.57
47,0,01185,Brandel Chamblee,+.70,70.70,71.40
47,0,01797,Rocco Mediate,+.70,70.95,71.65
49,0,19881,Robert Damron,+.69,70.89,71.58
50,0,01457,Jay Haas,+.67,71.17,71.84
51,0,06575,Dudley Hart,+.65,71.39,72.04
52,0,12782,Tim Herron,+.64,71.06,71.70
53,0,01761,Len Mattiace,+.63,70.89,71.52
54,0,06595,Kevin Sutherland,+.59,70.97,71.56
54,0,02214,Kirk Triplett,+.59,70.85,71.44
56,0,06332,Neal Lancaster,+.54,71.18,71.72
57,0,01098,Jay Don Blake,+.53,70.72,71.25
57,0,12645,Brent Geiberger,+.53,70.85,71.38
59,0,01905,Joe Ozaki,+.52,71.38,71.90
60,0,01707,Steve Lowery,+.50,71.08,71.58
60,0,02206,David Toms,+.50,70.90,71.40
62,0,10585,Scott McCarron,+.49,71.22,71.71
63,0,01024,Billy Andrade,+.47,71.23,71.70
63,0,01329,Brad Faxon,+.47,71.64,72.11
63,0,01331,Rick Fehr,+.47,71.00,71.47
63,0,06643,Paul Goydos,+.47,70.83,71.30
67,0,01569,Peter Jacobsen,+.45,70.69,71.14
68,0,01063,Ben Bates,+.42,70.93,71.35
68,0,01771,Blaine McCallister,+.42,70.88,71.30
68,0,06078,Esteban Toledo,+.42,70.93,71.35
71,0,11032,Frank Lickliter II,+.41,71.10,71.51
71,0,01941,Tom Pernice Jr.,+.41,71.08,71.49
73,0,08375,Paul Stankowski,+.40,70.92,71.32
74,0,01175,Jim Carter,+.38,71.04,71.42
74,0,06621,Joe Durant,+.38,71.30,71.68
74,0,06012,Greg Kraft,+.38,71.07,71.45
77,0,02267,D.A. Weibring,+.37,71.28,71.65
77,0,02279,Mark Wiebe,+.37,71.01,71.38
79,0,02246,Duffy Waldorf,+.36,71.06,71.42
80,0,01116,Michael Bradley,+.33,71.59,71.92
80,0,01510,Nolan Henke,+.33,70.92,71.25
80,0,01748,Doug Martin,+.33,71.04,71.37
83,0,21805,Harrison Frazar,+.32,71.28,71.60
84,0,01282,Trevor Dodds,+.31,71.56,71.87
84,0,06044,Scott Gump,+.31,71.27,71.58
86,0,01266,Clark Dennis,+.30,71.31,71.61
86,0,02321,Fuzzy Zoeller,+.30,71.31,71.61
88,0,01891,David Ogrin,+.27,71.12,71.39
88,0,02007,Larry Rinker,+.27,71.22,71.49
90,0,01353,Bruce Fleisher,+.26,71.30,71.56
90,0,07749,Brett Quigley,+.26,71.17,71.43
92,0,01376,Bob Friend,+.25,71.43,71.68
92,0,01533,P.H. Horgan III,+.25,71.24,71.49
92,0,02218,Ted Tryba,+.25,71.35,71.60
95,0,06251,Chris DiMarco,+.24,71.31,71.55
96,0,08553,Lee Porter,+.23,71.39,71.62
97,0,02008,Lee Rinker,+.20,71.50,71.70
98,0,01203,Russ Cochran,+.18,71.09,71.27
99,0,01139,Olin Browne,+.16,71.46,71.62
100,0,01191,Barry Cheesman,+.15,71.24,71.39
100,0,06617,Brian Henninger,+.15,71.07,71.22
100,0,07101,Dave Stockton Jr.,+.15,70.89,71.04
100,0,08385,Omar Uresti,+.15,71.21,71.36
104,0,02294,Willie Wood,+.14,71.28,71.42
105,0,20098,Stuart Appleby,+.12,71.83,71.95
106,0,20094,Jonathan Kaye,+.11,71.24,71.35
107,0,01468,Gary Hallberg,+.09,71.13,71.22
108,0,08993,Franklin Langham,+.08,71.48,71.56
108,0,02023,Clarence Rose,+.08,71.59,71.67
110,0,01323,Brad Fabel,+.06,71.41,71.47
110,0,01475,Donnie Hammond,+.06,71.50,71.56
112,0,01132,Mark Brooks,+.05,71.85,71.90
112,0,08537,J.P. Hayes,+.05,71.62,71.67
112,0,01685,J.L. Lewis,+.05,71.34,71.39
115,0,01334,Keith Fergus,+.04,71.09,71.13
116,0,01157,Tom Byrum,+.03,71.43,71.46
116,0,06090,Jim McGovern,+.03,71.31,71.34
118,0,01408,Kelly Gibson,+.02,71.51,71.53
119,0,01261,Jay Delsing,+.01,71.45,71.46
119,0,01326,Nick Faldo,+.01,72.35,72.36
121,0,21584,Richie Coughlan,E,71.42,71.42
