RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,09011,David Duval,69.131,5777,- 39.116,83
2,0,08793,Tiger Woods,69.209,5117,- 64.778,73
3,0,01706,Davis Love III,69.411,5188,- 51.556,74
4,0,10809,Jim Furyk,69.499,7068,- 48.574,101
5,0,01887,Mark O'Meara,69.633,4787,- 51.923,68
6,0,01968,Nick Price,69.636,4391,- 73.551,62
7,0,01553,John Huston,69.651,6525,- 47.444,93
8,0,06522,Ernie Els,69.705,3408,- 62.143,48
9,0,12660,Jesper Parnevik,69.816,4883,- 65.688,69
10,0,06567,Vijay Singh,69.853,6563,- 66.648,93
11,0,01226,Fred Couples,69.870,4798,- 46.862,68
12,0,06527,Steve Stricker,69.890,5771,- 40.023,82
13,0,02223,Bob Tway,69.921,7031,- 38.932,100
14,0,02146,Payne Stewart,69.931,5368,- 53.221,76
15,0,01527,Scott Hoch,69.934,7043,- 49.597,100
16,0,02170,Hal Sutton,70.047,7306,- 21.086,104
17,0,02239,Scott Verplank,70.062,6757,- 31.088,96
18,0,08931,Glen Day,70.080,6484,- 36.630,92
19,0,01161,Mark Calcavecchia,70.107,6766,- 35.738,96
20,0,10860,Justin Leonard,70.119,7070,- 58.061,100
21,0,01677,Tom Lehman,70.148,5595,- 53.292,79
22,0,01577,Lee Janzen,70.192,5810,- 54.250,82
23,0,20229,Stewart Cink,70.214,6838,- 27.283,97
24,0,01724,Jeff Maggert,70.241,5870,- 39.974,83
25,0,01599,Steve Jones,70.246,5633,- 13.296,80
26,0,02010,Loren Roberts,70.247,5642,- 22.249,80
27,0,01810,Phil Mickelson,70.280,5624,- 71.845,79
28,0,01320,Bob Estes,70.288,7334,- 24.023,104
29,0,01381,Fred Funk,70.343,8040,- 20.858,114
30,0,01920,Craig Parry,70.370,3347,- 39.596,47
31,0,01619,Skip Kendall,70.399,7329,- 7.544,104
32,0,07457,Steve Flesch,70.415,6953,18.092,99
33,0,02104,Jeff Sluman,70.439,7479,- 12.465,106
34,0,01042,Paul Azinger,70.441,4966,- 35.138,70
35,0,01945,Kenny Perry,70.450,5771,5.920,82
36,0,01766,Billy Mayfair,70.453,6384,- 43.271,90
37,0,01219,John Cook,70.471,6509,- 25.676,92
38,0,01943,Chris Perry,70.577,7575,- 23.229,107
39,0,01926,Steve Pate,70.622,6016,- 13.112,85
40,0,01035,Tommy Armour III,70.673,6169,- 20.407,87
41,0,01823,Larry Mize,70.680,5740,- 14.938,81
42,0,06004,Stephen Ames,70.688,3705,- 29.230,52
