RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,2ND,3RD
1,0,01457,Jay Haas,11,1,2
2,0,01706,Davis Love III,9,1,1,1
2,0,01876,Greg Norman,9,3,2,1
2,0,06567,Vijay Singh,9,2
5,0,09011,David Duval,8,3,1
5,0,01527,Scott Hoch,8,1,1,1
5,0,01887,Mark O'Meara,8,2
5,0,02223,Bob Tway,8,1
9,0,07867,Woody Austin,7,1
9,0,01313,Steve Elkington,7,2,2
9,0,10860,Justin Leonard,7,2
9,0,02104,Jeff Sluman,7,1,2
9,0,02214,Kirk Triplett,7,2,1
14,0,01161,Mark Calcavecchia,6,1,2
14,0,06522,Ernie Els,6,1,1,2
14,0,01326,Nick Faldo,6,1,1
14,0,01385,Jim Gallagher Jr.,6,2,2,1
14,0,01707,Steve Lowery,6
14,0,01766,Billy Mayfair,6,2,3
14,0,01928,Corey Pavin,6,2,2,1
14,0,02099,Scott Simpson,6,3
14,0,02146,Payne Stewart,6,1,1
23,0,01143,Brad Bryant,5,1
23,0,01320,Bob Estes,5
23,0,01329,Brad Faxon,5,1
23,0,01418,Bill Glasson,5,1
23,0,01553,John Huston,5
23,0,01569,Peter Jacobsen,5,2,2,1
23,0,01677,Tom Lehman,5,1,1,1
23,0,01724,Jeff Maggert,5,1,1
23,0,01945,Kenny Perry,5,1,1,1
23,0,01968,Nick Price,5,1,1
23,0,02010,Loren Roberts,5,1,1,1
34,0,06214,Guy Boros,4
34,0,01201,Lennie Clements,4,1
34,0,01226,Fred Couples,4
34,0,01235,Ben Crenshaw,4,1,1
34,0,01381,Fred Funk,4,2
34,0,01577,Lee Janzen,4,3
34,0,01810,Phil Mickelson,4,1
34,0,01905,Joe Ozaki,4
34,0,02133,Craig Stadler,4,1
34,0,02159,Curtis Strange,4,1
34,0,06527,Steve Stricker,4
34,0,02170,Hal Sutton,4,1,2
34,0,02239,Scott Verplank,4
34,0,02246,Duffy Waldorf,4,1,1
34,0,02267,D.A. Weibring,4,1,1,1
49,0,01006,John Adams,3
49,0,01024,Billy Andrade,3
49,0,01098,Jay Don Blake,3,1
49,0,01132,Mark Brooks,3,1
49,0,01185,Brandel Chamblee,3
49,0,01196,Brian Claar,3
49,0,01378,David Frost,3,1
49,0,10809,Jim Furyk,3,1
49,0,01388,Robert Gamez,3
49,0,01414,Bob Gilder,3
49,0,08337,Mike Heinen,3,2
49,0,01549,Mike Hulbert,3,1
49,0,01723,Andrew Magee,3
49,0,01783,Mark McCumber,3
49,0,06090,Jim McGovern,3,2
49,0,01823,Larry Mize,3
49,0,01837,Gil Morgan,3,1
49,0,07235,John Morse,3,1,1,1
49,0,01891,David Ogrin,3
49,0,01960,Don Pooley,3,1
