RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,24502,Adam Scott,32' 5",32364.500,999,1 Under
2,0,26758,David Hearn,32' 7",47698.583,1465,1 Under
3,0,08075,Jerry Kelly,32' 10",35228.750,1073,Under
4,0,23325,Vaughn Taylor,32' 11",39394.750,1197,Under
5,0,24358,Robert Garrigus,33' 0",32228.417,976,1 Under
5,0,22892,Jason Gore,33' 0",35440.333,1073,Over
7,0,10809,Jim Furyk,33' 1",26178.000,791,Under
7,0,29221,Webb Simpson,33' 1",34187.750,1034,1 Under
7,0,25349,Tim Wilkinson,33' 1",29557.917,893,1 Under
10,0,33122,Russell Knox,33' 4",38802.667,1164,1 Under
11,0,30925,Dustin Johnson,33' 5",37433.667,1121,1 Under
12,0,29222,Billy Hurley III,33' 6",35237.833,1051,Under
12,0,26476,Chez Reavie,33' 6",45459.500,1358,1 Under
12,0,32150,Michael Thompson,33' 6",32147.083,960,Under
15,0,32839,Hideki Matsuyama,33' 7",34683.417,1034,1 Under
16,0,33141,Keegan Bradley,33' 8",37913.333,1126,Under
16,0,26596,Ryan Moore,33' 8",39048.583,1161,1 Under
16,0,31560,Brian Stuard,33' 8",36044.917,1071,Under
19,0,25686,Jason Dufner,33' 9",47712.250,1413,Under
20,0,34098,Russell Henley,33' 10",41698.167,1233,1 Under
20,0,35532,Tom Hoge,33' 10",37994.417,1123,Under
20,0,02206,David Toms,33' 10",32749.500,967,Under
23,0,25240,D.A. Points,33' 11",23651.750,698,Under
24,0,33410,Andrew Landry,34' 1",20031.333,588,Under
25,0,25900,Lucas Glover,34' 2",40692.083,1192,1 Under
25,0,26329,Louis Oosthuizen,34' 2",25654.667,751,Under
25,0,30110,Kyle Stanley,34' 2",48226.500,1410,Under
28,0,25396,Kevin Na,34' 3",42296.333,1234,1 Under
29,0,20572,Rod Pampling,34' 4",22724.167,662,Under
29,0,34264,Hudson Swafford,34' 4",55978.167,1630,1 Under
29,0,26289,Boo Weekley,34' 4",43301.000,1262,Under
