RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,27936,Martin Laird,3,38
1,0,25240,D.A. Points,3,45
3,0,22371,Aaron Baddeley,2,27
3,0,28307,Matt Every,2,50
3,0,35539,Luke Guthrie,2,49
3,0,32448,James Hahn,2,31
3,0,25444,Justin Hicks,2,51
3,0,30852,Ryo Ishikawa,2,39
3,0,28092,D.H. Lee,2,37
3,0,01810,Phil Mickelson,2,22
3,0,26596,Ryan Moore,2,36
3,0,24361,Pat Perez,2,37
3,0,27649,Brandt Snedeker,2,35
3,0,08793,Tiger Woods,2,16
15,0,10885,Robert Allenby,1,33
15,0,28259,Sangmoon Bae,1,55
15,0,24507,Jason Bohn,1,29
15,0,34021,Bud Cauley,1,34
15,0,32366,Kevin Chappell,1,44
15,0,24494,Erik Compton,1,42
15,0,23541,Ben Crane,1,34
15,0,21753,Brian Davis,1,39
15,0,01320,Bob Estes,1,24
15,0,28500,Martin Flores,1,47
15,0,21209,Sergio Garcia,1,20
15,0,27644,Brian Harman,1,32
15,0,34098,Russell Henley,1,33
15,0,34174,John Huh,1,54
15,0,24024,Zach Johnson,1,35
15,0,19970,Robert Karlsson,1,27
15,0,30926,Chris Kirk,1,40
15,0,30711,Colt Knost,1,26
15,0,36884,Ben Kohles,1,39
15,0,23108,Matt Kuchar,1,22
15,0,22806,Doug LaBelle II,1,32
15,0,26851,Marc Leishman,1,36
15,0,01724,Jeff Maggert,1,44
15,0,27120,Troy Matteson,1,27
15,0,28237,Rory McIlroy,1,22
15,0,29289,S.Y. Noh,1,43
15,0,22046,Geoff Ogilvy,1,40
15,0,23320,Ryan Palmer,1,29
15,0,20572,Rod Pampling,1,15
15,0,20443,Jin Park,1,27
15,0,25345,Carl Pettersson,1,30
15,0,27556,Ted Potter Jr.,1,41
15,0,06567,Vijay Singh,1,30
15,0,34046,Jordan Spieth,1,34
15,0,26679,Kevin Stadler,1,38
15,0,27214,Kevin Streelman,1,27
15,0,23623,Bo Van Pelt,1,30
15,0,27770,Camilo Villegas,1,36
15,0,25632,Jimmy Walker,1,34
15,0,26289,Boo Weekley,1,58
15,0,20396,Lee Westwood,1,34
15,0,26497,Casey Wittenberg,1,29
