RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,32839,Hideki Matsuyama,336
2,0,25191,Gonzalo Fernandez-Castaño,276
3,0,33968,Thorbjørn Olesen,223
4,0,28118,Peter Tomasulo,186
5,0,23481,Marcel Siem,168
6,0,25198,Francesco Molinari,155
7,0,35541,John Peterson,128
8,0,24503,Jeff Klauk,115
9,0,19904,Paul Lawrie,107
10,0,19958,Miguel Angel Jiménez,107
11,0,33204,Shane Lowry,99
12,0,28937,George Coetzee,97
13,0,35450,Patrick Cantlay,96
14,0,24459,Richard Sterne,90
15,0,26499,Rafa Cabrera Bello,89
16,0,32139,Danny Willett,84
17,0,25369,Jamie Donaldson,80
18,0,29974,Branden Grace,79
19,0,29476,Kyle Reifers,76
20,0,39531,Ken Looper,65
21,0,25841,Marc Warren,62
22,0,10505,Shane Bertsch,59
22,0,29926,Danny Lee,59
24,0,29484,Peter Uihlein,58
25,0,23790,Eduardo De La Riva,56
25,0,20376,Stephen Gallacher,56
27,0,32800,Franklin Corpening,56
28,0,24511,Thongchai Jaidee,54
29,0,35545,Blayne Barber,52
30,0,19825,Darren Clarke,49
31,0,20574,Mathew Goggin,47
31,0,35879,Kelly Kraft,47
31,0,25892,Steve Wheatcroft,47
34,0,30978,Kiradech Aphibarnrat,45
35,0,35459,Chris Williams,44
36,0,27821,Steven Tiley,43
37,0,32694,Morten Orum Madsen,42
37,0,28723,John Parry,42
39,0,33199,Matteo Manassero,41
40,0,31138,Scott Jamieson,41
41,0,31627,Todd Baek,38
42,0,24083,Marcus Fraser,36
43,0,24940,Edward Loar,35
44,0,28923,Oliver Fisher,34
45,0,34358,Jonathan Randolph,31
46,0,24604,Hunter Haas,28
47,0,37460,Jeremiah Wooding,28
48,0,10944,Thomas Bjørn,25
49,0,34262,Jon Curran,25
50,0,27958,Ryan Blaum,23
50,0,27554,Scott Harrington,23
52,0,20771,Steven Alker,23
52,0,32262,Mark Brown,23
52,0,20218,Shingo Katayama,23
52,0,35087,Bio Kim,23
56,0,26733,John Kimbell,21
57,0,33911,Nate Smith,18
58,0,29223,Sam Saunders,17
59,0,33120,Mark Anderson,16
59,0,21498,Hideto Tanihara,16
61,0,33486,Roger Sloan,15
62,0,24461,Thomas Aiken,12
63,0,29531,Richie Ramsay,11
64,0,26498,Matt Weibring,9
65,0,35469,Sebastián Vázquez,8
66,0,19991,Peter Hedblom,6
66,0,20608,David Howell,6
68,0,26525,Grégory Bourdy,4
68,0,29454,Bernd Wiesberger,4
68,0,22000,Chris Wood,4
71,0,29478,Kevin Kisner,4
72,0,39412,Zack Fischer,3
73,0,21646,David Branshaw,2
74,0,36689,Brooks Koepka,1
75,0,28928,Gareth Wright,1
76,0,24957,Simon Khan,1
77,0,23290,Andrew Johnson,1
78,0,27929,Shiv Kapur,1
78,0,28258,K.T. Kim,1
80,0,32070,Rafael Campos,1
80,0,25863,Rod Perry,1
82,0,22764,Michael Block,1
83,0,24956,Mikko Ilonen,1
83,0,02076,Peter Senior,1
85,0,23778,Brad Adamonis,1
