RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,08793,Tiger Woods,46.01,3059,6650,5,7
2,0,01810,Phil Mickelson,23.80,2166,9100,2,6
3,0,23108,Matt Kuchar,22.59,2293,10150,2,7
4,0,06527,Steve Stricker,22.12,1117,5050,0,5
5,0,27649,Brandt Snedeker,22.07,2218,10050,2,8
6,0,24502,Adam Scott,20.25,1347,6650,1,5
7,0,22405,Justin Rose,20.23,1447,7150,1,5
8,0,21528,Henrik Stenson,19.27,1426,7400,0,6
9,0,34046,Jordan Spieth,15.78,1436,9100,1,7
10,0,28089,Jason Day,14.03,1284,9150,0,6
11,0,24924,Bill Haas,13.50,1505,11150,1,9
12,0,33141,Keegan Bradley,13.29,1416,10650,0,7
13,0,25572,Graeme McDowell,13.16,941,7150,1,4
14,0,25686,Jason Dufner,13.01,1256,9650,1,3
15,0,29420,Billy Horschel,12.98,1487,11450,1,7
16,0,27214,Kevin Streelman,12.88,1333,10350,1,5
17,0,30925,Dustin Johnson,12.70,1226,9650,1,5
18,0,26289,Boo Weekley,11.87,1335,11250,1,4
19,0,10809,Jim Furyk,10.95,1057,9650,0,5
20,0,28237,Rory McIlroy,10.87,777,7150,0,5
21,0,24024,Zach Johnson,10.71,1141,10650,0,6
22,0,26331,Charl Schwartzel,10.69,871,8150,0,4
23,0,29221,Webb Simpson,10.66,1188,11150,0,4
24,0,34099,Harris English,9.99,1134,11350,1,4
25,0,24781,Hunter Mahan,9.92,1101,11100,0,4
26,0,20396,Lee Westwood,9.90,856,8650,0,6
27,0,23983,Luke Donald,9.89,707,7150,0,4
28,0,34360,Patrick Reed,9.83,1062,10800,1,5
29,0,21209,Sergio Garcia,9.57,684,7150,0,4
30,0,34098,Russell Henley,9.39,1048,11150,1,3
31,0,25632,Jimmy Walker,9.22,996,10800,0,5
32,0,20634,Peter Lonard,9.17,28,300,0
32,0,08375,Paul Stankowski,9.17,28,300,0
34,0,30926,Chris Kirk,9.04,904,10000,0,3
35,0,24138,Ian Poulter,9.02,645,7150,0,3
36,0,21961,Charles Howell III,8.97,996,11100,0,5
