RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,40009,Dominic Bozzelli,100.00,15,15
1,0,29535,Brice Garnett,100.00,26,26
1,0,24138,Ian Poulter,100.00,20,20
1,0,29484,Peter Uihlein,100.00,10,10
5,2,47993,Denny McCarthy,97.73,44,43
6,2,47347,Adam Schenk,97.06,34,33
7,2,46717,Viktor Hovland,96.77,31,30
8,2,40026,Daniel Berger,96.67,30,29
9,2,34363,Tyrrell Hatton,96.43,28,27
10,1,51766,Wyndham Clark,96.15,26,25
10,3,29478,Kevin Kisner,96.15,26,25
12,1,28775,Nate Lashley,95.83,24,23
13,2,01810,Phil Mickelson,95.65,23,22
14,2,28089,Jason Day,95.24,21,20
15,2,22371,Aaron Baddeley,94.74,19,18
15,2,48119,Ben Taylor,94.74,19,18
17,2,35732,Wes Roach,94.44,18,17
17,2,48887,Matt Wallace,94.44,18,17
19,2,26329,Louis Oosthuizen,94.12,17,16
20,2,33448,Justin Thomas,93.94,33,31
21,1,27644,Brian Harman,93.75,48,45
21,1,33486,Roger Sloan,93.75,16,15
23,2,23108,Matt Kuchar,93.55,31,29
23,2,32791,K.H. Lee,93.55,31,29
25,2,33449,Zack Sucher,93.33,15,14
26,2,26300,Matt Jones,93.02,43,40
27,2,46970,Jon Rahm,92.86,42,39
28,10,48081,Xander Schauffele,92.11,38,35
29,2,22405,Justin Rose,92.00,25,23
30,7,45526,Abraham Ancer,91.67,36,33
30,2,35449,Adam Long,91.67,48,44
30,2,34256,Andrew Putnam,91.67,12,11
30,2,47128,Richy Werenski,91.67,24,22
34,2,34563,Chesson Hadley,91.43,35,32
34,4,30927,Brendon Todd,91.43,35,32
36,5,35506,Mackenzie Hughes,91.18,34,31
37,1,31557,Jim Herman,90.91,22,20
38,3,30944,Jason Kokrak,90.63,32,29
38,3,37275,Sam Ryder,90.63,32,29
38,3,32150,Michael Thompson,90.63,32,29
41,4,32139,Danny Willett,90.48,21,19
41,4,49964,Aaron Wise,90.48,21,19
43,4,34098,Russell Henley,90.32,31,28
43,4,30163,Henrik Norlander,90.32,31,28
45,5,34255,Joseph Bramlett,90.00,20,18
45,5,30911,Tommy Fleetwood,90.00,10,9
45,5,19846,Brian Gay,90.00,20,18
45,5,32757,Patton Kizzire,90.00,30,27
45,5,33413,Ben Martin,90.00,10,9
45,5,34213,Grayson Murray,90.00,30,27
45,5,27556,Ted Potter Jr.,90.00,20,18
45,5,39953,Chase Seiffert,90.00,20,18
53,-23,30925,Dustin Johnson,89.66,29,26
53,5,23621,Rory Sabbatini,89.66,29,26
55,4,31323,Gary Woodland,89.29,28,25
56,4,33667,Carlos Ortiz,89.19,37,33
56,13,29221,Webb Simpson,89.19,37,33
58,3,29479,Scott Brown,88.89,27,24
58,3,26758,David Hearn,88.89,18,16
58,3,33597,Harry Higgs,88.89,36,32
58,3,32640,Troy Merritt,88.89,18,16
62,4,36871,Matthew NeSmith,88.57,35,31
62,7,35891,Cameron Smith,88.57,35,31
64,4,24024,Zach Johnson,88.46,26,23
65,10,29725,Tony Finau,88.37,43,38
65,14,45486,Joaquin Niemann,88.37,43,38
67,2,48045,Michael Gellerman,88.24,17,15
67,2,22056,Cameron Percy,88.24,17,15
67,2,24361,Pat Perez,88.24,17,15
67,2,32254,Xinjun Zhang,88.24,34,30
71,14,50525,Collin Morikawa,88.10,42,37
72,4,46435,Austin Cook,88.00,25,22
72,4,28679,Fabián Gómez,88.00,25,22
74,-27,34099,Harris English,87.88,33,29
74,4,29518,Brendan Steele,87.88,33,29
76,4,26499,Rafa Cabrera Bello,87.50,24,21
76,4,33204,Shane Lowry,87.50,24,21
76,4,24502,Adam Scott,87.50,16,14
76,4,25493,Nick Taylor,87.50,24,21
76,4,25632,Jimmy Walker,87.50,32,28
81,4,35532,Tom Hoge,87.18,39,34
82,5,39546,Keith Mitchell,87.10,31,27
83,5,33141,Keegan Bradley,86.84,38,33
84,5,29268,Bronson Burgoon,86.67,30,26
84,5,32102,Rickie Fowler,86.67,15,13
84,5,39977,Max Homa,86.67,30,26
84,5,31420,Anirban Lahiri,86.67,15,13
84,10,48822,Sebastián Muñoz,86.67,45,39
89,4,45609,Tyler Duncan,86.49,37,32
89,-23,32839,Hideki Matsuyama,86.49,37,32
91,3,19803,Ryan Armour,86.36,22,19
91,3,40098,Matt Fitzpatrick,86.36,22,19
91,3,34466,Peter Malnati,86.36,22,19
91,3,36699,Patrick Rodgers,86.36,44,38
95,4,29908,C.T. Pan,86.21,29,25
96,4,31560,Brian Stuard,86.11,36,31
97,15,29420,Billy Horschel,85.71,28,24
97,4,36689,Brooks Koepka,85.71,28,24
99,3,27554,Scott Harrington,85.37,41,35
100,3,56278,Matthew Wolff,85.19,27,23
101,3,46550,Brandon Hagy,85.00,20,17
102,3,33410,Andrew Landry,84.85,33,28
103,3,32448,James Hahn,84.62,13,11
104,3,34076,Joel Dahmen,84.44,45,38
105,3,49960,Sepp Straka,84.38,32,27
106,3,47504,Sam Burns,84.21,19,16
106,3,29970,Dylan Frittelli,84.21,38,32
106,3,34431,Robert Streb,84.21,19,16
109,3,30692,Scott Stallings,84.00,25,21
