RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,37212,Paul Barjon,27' 1",948.083,35,-2
2,0,51890,Greyson Sigg,27' 4",1286.250,47,+2
3,0,39971,Sungjae Im,27' 6",1237.500,45,+6
4,0,29908,C.T. Pan,28' 9",775.750,27,-4
5,0,48699,Callum Tarren,29' 9",1456.000,49,+4
6,0,32366,Kevin Chappell,30' 3",877.333,29,+2
6,0,27214,Kevin Streelman,30' 3",1088.750,36,+1
8,0,33448,Justin Thomas,30' 5",1339.000,44,-3
9,0,47663,Kevin Dougherty,30' 6",1188.333,39,-2
10,0,46340,Alex Smalley,30' 7",1528.917,50,+5
11,0,60767,Blaine Hale Jr.,30' 8",1011.500,33,E
12,0,29725,Tony Finau,31' 4",1880.500,60,-7
13,0,51997,Andrew Novak,31' 5",2137.750,68,+5
13,0,37275,Sam Ryder,31' 5",1319.333,42,+2
15,0,40026,Daniel Berger,31' 7",1043.417,33,+2
16,0,51349,Nico Echavarria,31' 9",1524.917,48,+11
17,0,48117,Kurt Kitayama,32' 0",1825.833,57,E
18,0,27349,Alex Noren,32' 2",965.917,30,-4
19,0,46046,Scottie Scheffler,32' 4",968.833,30,+4
20,0,52514,Trace Crowe,32' 5",1197.917,37,-1
21,0,32757,Patton Kizzire,32' 7",976.417,30,+1
22,0,34098,Russell Henley,32' 8",1177.000,36,+2
23,0,47988,Nick Hardy,32' 9",2032.167,62,+7
24,0,55789,Taylor Montgomery,32' 10",984.167,30,-4
25,0,48867,Matti Schmid,32' 11",1448.667,44,+4
26,0,30926,Chris Kirk,33' 0",1155.250,35,E
27,0,29936,Ryan Fox,33' 1",1489.583,45,+2
27,0,37378,Min Woo Lee,33' 1",1751.750,53,+2
29,0,57900,Chandler Phillips,33' 2",1723.667,52,+7
30,0,40162,Justin Lower,33' 4",2034.500,61,-5
31,0,32070,Rafael Campos,33' 5",1003.667,30,E
32,0,28089,Jason Day,33' 6",1140.333,34,-3
33,0,40058,Zac Blair,33' 7",1074.167,32,-1
33,0,34256,Andrew Putnam,33' 7",1141.750,34,-3
35,0,52666,Sami Valimaki,33' 8",1480.000,44,+1
35,0,27770,Camilo Villegas,33' 8",1043.667,31,-3
37,0,58168,Davis Thompson,33' 10",2099.917,62,-5
38,0,32640,Troy Merritt,33' 11",1357.500,40,-1
39,0,59442,Parker Coody,34' 1",1431.833,42,+3
39,0,52513,Carson Young,34' 1",1532.167,45,-2
41,0,51766,Wyndham Clark,34' 3",1783.083,52,E
41,0,57362,Austin Eckroat,34' 3",1130.000,33,+2
41,0,39975,Michael Kim,34' 3",1918.250,56,+2
44,0,47983,Chad Ramey,34' 5",1411.083,41,+7
45,0,33948,Byeong Hun An,34' 6",1792.917,52,E
45,0,54591,Ben Griffin,34' 6",2241.667,65,+5
47,0,22371,Aaron Baddeley,34' 7",1693.500,49,+9
48,0,46441,Robby Shelton,34' 8",1803.833,52,+4
48,0,50484,Hayden Springer,34' 8",1698.583,49,+3
48,0,51634,Sahith Theegala,34' 8",1420.250,41,+2
51,0,30163,Henrik Norlander,34' 9",1356.000,39,+1
52,0,33204,Shane Lowry,34' 11",1152.583,33,+3
52,0,48887,Matt Wallace,34' 11",1535.000,44,E
54,0,38991,Alejandro Tosti,35' 1",2388.000,68,+12
55,0,23108,Matt Kuchar,35' 2",1126.500,32,E
55,0,51894,Vince Whaley,35' 2",1090.500,31,E
57,0,34374,Erik Barnes,35' 3",705.333,20,-1
57,0,57975,Harry Hall,35' 3",2008.417,57,-5
57,0,34587,Chan Kim,35' 3",1620.667,46,+4
60,0,36699,Patrick Rodgers,35' 7",2458.083,69,+8
61,0,33968,ThorbjÃ¸rn Olesen,35' 8",927.000,26,-4
62,0,27139,David Skinns,35' 9",2179.417,61,+4
62,0,50493,Justin Suh,35' 9",1752.833,49,+4
64,0,35450,Patrick Cantlay,35' 10",1289.333,36,+6
64,0,36871,Matt NeSmith,35' 10",1396.000,39,+4
64,0,48153,Matthieu Pavon,35' 10",1255.167,35,-3
67,0,36326,David Lipsky,36' 0",1801.417,50,+8
68,0,32791,K.H. Lee,36' 1",1804.417,50,+3
69,0,36799,Stephan Jaeger,36' 3",1557.833,43,+5
69,0,34466,Peter Malnati,36' 3",2389.917,66,+15
71,0,33408,Tyson Alexander,36' 4",1672.583,46,+6
71,0,47420,Jake Knapp,36' 4",1853.000,51,+7
71,0,47347,Adam Schenk,36' 4",1817.417,50,+1
74,0,52955,Ludvig Ãberg,36' 5",1640.583,45,-2
74,0,48084,Wesley Bryan,36' 5",983.250,27,-2
74,0,28237,Rory McIlroy,36' 5",1201.083,33,+2
74,0,24502,Adam Scott,36' 5",1527.917,42,+1
78,0,52453,Nicolai HÃ¸jgaard,36' 7",1207.833,33,+3
78,0,48119,Ben Taylor,36' 7",1352.833,37,+6
78,0,27330,Josh Teater,36' 7",914.333,25,E
81,0,32839,Hideki Matsuyama,36' 11",2105.750,57,+9
82,0,35310,Lanto Griffin,37' 0",1777.833,48,+6
83,0,54783,Dylan Wu,37' 2",1930.917,52,E
84,0,47504,Sam Burns,37' 4",1344.500,36,+3
84,0,50497,Adrien Dumont de Chassart,37' 4",1605.750,43,+10
84,0,55893,Sam Stevens,37' 4",2128.000,57,+3
87,0,36801,Mark Hubbard,37' 5",1869.500,50,+8
88,0,28775,Nate Lashley,37' 6",1760.917,47,+3
89,0,51977,Max Greyserman,37' 7",1805.417,48,+7
90,0,51696,Rico Hoey,37' 8",1809.750,48,+4
91,0,30911,Tommy Fleetwood,37' 10",1135.583,30,+5
92,0,25900,Lucas Glover,37' 11",1743.000,46,+1
92,0,27129,Luke List,37' 11",1783.583,47,+5
