RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,30163,Henrik Norlander,33' 0",69,2276.250,E
2,0,50484,Hayden Springer,33' 9",91,3073.167,-15.00
3,0,32640,Troy Merritt,37' 11",64,2424.417,-6.00
4,0,39546,Keith Mitchell,38' 6",166,6389.083,+7.00
5,0,60767,Blaine Hale Jr.,39' 0",78,3042.083,+10.00
6,0,31323,Gary Woodland,39' 1",119,4646.667,-3.00
7,0,47504,Sam Burns,39' 7",92,3643.833,+3.00
7,0,50493,Justin Suh,39' 7",74,2932.083,+5.00
9,0,34563,Chesson Hadley,39' 8",112,4443.417,-9.00
10,0,54421,Garrick Higgo,39' 10",110,4381.500,+3.00
10,0,47983,Chad Ramey,39' 10",93,3702.917,+6.00
12,0,33486,Roger Sloan,39' 11",73,2910.917,+4.00
13,0,55893,Sam Stevens,40' 7",151,6125.000,+2.00
14,0,28237,Rory McIlroy,40' 10",80,3264.167,-9.00
14,0,27330,Josh Teater,40' 10",54,2206.083,+14.00
14,0,55454,Carl Yuan,40' 10",101,4120.417,+15.00
17,0,33204,Shane Lowry,41' 0",84,3446.000,+8.00
18,0,51766,Wyndham Clark,41' 1",99,4067.917,-1.00
18,0,39324,J.J. Spaun,41' 1",103,4229.333,+2.00
18,0,38991,Alejandro Tosti,41' 1",128,5256.417,E
21,0,34587,Chan Kim,41' 2",122,5025.667,-3.00
21,0,52666,Sami Valimaki,41' 2",96,3948.250,+15.00
23,0,54591,Ben Griffin,41' 4",152,6283.000,-3.00
24,0,29936,Ryan Fox,41' 5",126,5214.333,+14.00
25,0,52375,Doug Ghim,41' 6",114,4733.417,+5.00
25,0,27644,Brian Harman,41' 6",129,5349.333,+6.00
27,0,40026,Daniel Berger,41' 7",64,2659.167,+6.00
27,0,29725,Tony Finau,41' 7",122,5068.917,-7.00
27,0,35310,Lanto Griffin,41' 7",98,4074.750,+11.00
27,0,48117,Kurt Kitayama,41' 7",96,3988.417,+5.00
31,0,48867,Matti Schmid,41' 9",108,4505.667,+15.00
32,0,33448,Justin Thomas,41' 10",113,4724.833,+10.00
32,0,52374,Brandon Wu,41' 10",69,2885.583,+14.00
34,0,57900,Chandler Phillips,41' 11",126,5284.750,+23.00
35,0,28775,Nate Lashley,42' 3",108,4567.333,+9.00
36,0,46046,Scottie Scheffler,42' 4",101,4279.833,-4.00
37,0,25900,Lucas Glover,42' 5",99,4196.083,+11.00
38,0,47806,Raul Pereda,42' 7",76,3235.333,+7.00
39,0,34255,Joseph Bramlett,42' 9",148,6322.583,+8.00
39,0,31646,Emiliano Grillo,42' 9",111,4741.250,+7.00
39,0,35461,Beau Hossler,42' 9",156,6664.250,+8.00
42,0,39997,Corey Conners,42' 10",103,4412.250,+8.00
42,0,51997,Andrew Novak,42' 10",121,5181.417,+8.00
42,0,52513,Carson Young,42' 10",104,4451.000,-2.00
45,0,39971,Sungjae Im,43' 0",131,5632.333,+11.00
45,0,36871,Matt NeSmith,43' 0",98,4212.667,+10.00
47,0,24024,Zach Johnson,43' 1",70,3017.250,+7.00
47,0,33968,ThorbjÃ¸rn Olesen,43' 1",72,3100.583,-5.00
49,0,40058,Zac Blair,43' 2",64,2763.583,+1.00
49,0,57975,Harry Hall,43' 2",142,6126.167,E
49,0,47988,Nick Hardy,43' 2",106,4572.667,+6.00
52,0,36799,Stephan Jaeger,43' 3",107,4631.750,+16.00
53,0,32367,Jorge Campillo,43' 4",92,3987.083,+1.00
53,0,32366,Kevin Chappell,43' 4",58,2515.250,+6.00
