RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,37275,Sam Ryder,37' 1",111,4114.583,-6.00
2,0,30926,Chris Kirk,39' 6",106,4185.250,-2.00
3,0,51890,Greyson Sigg,40' 2",103,4134.417,+8.00
4,0,32640,Troy Merritt,40' 5",115,4648.000,+12.00
5,0,34587,Chan Kim,41' 2",106,4361.667,+4.00
6,0,46340,Alex Smalley,41' 4",133,5493.833,+11.00
6,0,50493,Justin Suh,41' 4",127,5249.583,+7.00
8,0,34255,Joseph Bramlett,41' 6",149,6177.417,-3.00
8,0,32366,Kevin Chappell,41' 6",89,3695.750,+3.00
10,0,39971,Sungjae Im,41' 7",133,5528.667,-3.00
11,0,52453,Nicolai HÃ¸jgaard,41' 8",91,3794.917,+15.00
12,0,27349,Alex Noren,41' 9",95,3963.917,-4.00
13,0,48117,Kurt Kitayama,41' 10",150,6280.167,-6.00
14,0,57900,Chandler Phillips,42' 0",142,5967.583,+7.00
15,0,32839,Hideki Matsuyama,42' 1",134,5636.333,+5.00
16,0,23108,Matt Kuchar,42' 2",97,4092.500,+10.00
17,0,39546,Keith Mitchell,42' 3",143,6040.750,+7.00
18,0,34466,Peter Malnati,42' 5",137,5814.833,+21.00
19,0,34563,Chesson Hadley,42' 6",112,4762.833,+10.00
20,0,47591,Eric Cole,42' 9",179,7647.833,+8.00
20,0,52514,Trace Crowe,42' 9",90,3847.000,+6.00
22,0,39975,Michael Kim,42' 11",128,5493.417,+6.00
23,0,34374,Erik Barnes,43' 1",74,3190.167,+10.00
23,0,12716,Charley Hoffman,43' 1",148,6381.417,+11.00
23,0,52666,Sami Valimaki,43' 1",109,4700.333,+11.00
26,0,25900,Lucas Glover,43' 2",111,4793.333,-1.00
27,0,47504,Sam Burns,43' 3",103,4453.917,+2.00
27,0,50095,Austin Smotherman,43' 3",78,3372.250,+5.00
29,0,36801,Mark Hubbard,43' 4",167,7240.167,+9.00
30,0,34098,Russell Henley,43' 7",74,3225.833,+9.00
31,0,48699,Callum Tarren,43' 8",162,7074.500,+6.00
32,0,27139,David Skinns,43' 9",135,5905.167,E
32,0,39324,J.J. Spaun,43' 9",160,6998.667,+20.00
32,0,57366,Cameron Young,43' 9",131,5729.167,-2.00
35,0,33948,Byeong Hun An,43' 10",140,6132.250,-12.00
35,0,47988,Nick Hardy,43' 10",192,8418.083,+10.00
35,0,27214,Kevin Streelman,43' 10",105,4600.500,-1.00
38,0,52955,Ludvig Ãberg,44' 0",115,5058.000,+3.00
39,0,35310,Lanto Griffin,44' 1",123,5420.000,+7.00
40,0,51696,Rico Hoey,44' 2",144,6362.750,+11.00
41,0,48084,Wesley Bryan,44' 3",70,3097.250,-8.00
41,0,46113,Ryan McCormick,44' 3",104,4604.083,-6.00
43,0,39997,Corey Conners,44' 4",141,6246.667,-2.00
43,0,40162,Justin Lower,44' 4",145,6424.583,E
43,0,51894,Vince Whaley,44' 4",112,4967.417,+10.00
46,0,37455,Si Woo Kim,44' 5",130,5769.333,+8.00
47,0,32367,Jorge Campillo,44' 6",78,3473.333,+7.00
47,0,56149,Wilson Furr,44' 6",97,4320.083,+8.00
47,0,34046,Jordan Spieth,44' 6",104,4630.917,-4.00
50,0,55708,Hayden Buckley,44' 7",97,4328.417,+24.00
50,0,48081,Xander Schauffele,44' 7",133,5931.500,-4.00
50,0,50484,Hayden Springer,44' 7",143,6373.750,+15.00
50,0,45242,Kevin Yu,44' 7",143,6377.083,+14.00
54,0,40058,Zac Blair,44' 8",142,6348.250,+8.00
54,0,46717,Viktor Hovland,44' 8",100,4470.000,+10.00
54,0,54783,Dylan Wu,44' 8",115,5138.333,-10.00
57,0,60767,Blaine Hale Jr.,44' 9",93,4158.333,+9.00
57,0,27129,Luke List,44' 9",131,5864.750,+12.00
59,0,47679,Victor Perez,44' 11",127,5700.417,+16.00
59,0,34256,Andrew Putnam,44' 11",135,6065.417,+6.00
61,0,37212,Paul Barjon,45' 0",109,4903.000,+5.00
61,0,54576,Patrick Fishburn,45' 0",138,6208.167,-2.00
61,0,35532,Tom Hoge,45' 0",203,9142.667,+6.00
64,0,35450,Patrick Cantlay,45' 1",89,4012.750,-4.00
64,0,32757,Patton Kizzire,45' 1",112,5049.917,-10.00
64,0,33968,ThorbjÃ¸rn Olesen,45' 1",94,4241.083,E
67,0,29725,Tony Finau,45' 2",126,5690.833,-5.00
67,0,29908,C.T. Pan,45' 2",98,4427.167,+12.00
69,0,50497,Adrien Dumont de Chassart,45' 3",123,5565.000,+25.00
69,0,50188,S.H. Kim,45' 3",163,7381.583,+5.00
71,0,46046,Scottie Scheffler,45' 4",75,3402.500,-5.00
72,0,40026,Daniel Berger,45' 5",103,4679.250,+10.00
72,0,48153,Matthieu Pavon,45' 5",78,3542.417,+12.00
74,0,34076,Joel Dahmen,45' 7",129,5875.917,+19.00
74,0,32791,K.H. Lee,45' 7",102,4646.000,+9.00
76,0,28775,Nate Lashley,45' 8",111,5071.417,-1.00
76,0,51997,Andrew Novak,45' 8",157,7175.833,+14.00
76,0,36699,Patrick Rodgers,45' 8",184,8401.417,+5.00
76,0,58168,Davis Thompson,45' 8",129,5895.250,+14.00
76,0,48319,Tom Whitney,45' 8",93,4248.750,+25.00
81,0,31646,Emiliano Grillo,45' 9",120,5488.667,+17.00
82,0,28237,Rory McIlroy,45' 10",130,5961.833,+4.00
82,0,51070,Vincent Norrman,45' 10",99,4535.000,+17.00
84,0,48867,Matti Schmid,45' 11",132,6061.500,+9.00
85,0,51349,Nico Echavarria,46' 0",124,5708.417,-3.00
85,0,27936,Martin Laird,46' 0",113,5201.083,-10.00
85,0,55893,Sam Stevens,46' 0",154,7081.500,-11.00
88,0,57975,Harry Hall,46' 1",136,6261.750,-16.00
88,0,33448,Justin Thomas,46' 1",115,5296.667,-7.00
90,0,52375,Doug Ghim,46' 2",117,5404.667,-6.00
90,0,52374,Brandon Wu,46' 2",142,6555.917,E
90,0,55454,Carl Yuan,46' 2",97,4476.833,+13.00
93,0,33653,Thomas Detry,46' 3",144,6665.833,+22.00
93,0,33204,Shane Lowry,46' 3",71,3284.083,+3.00
93,0,27064,Jhonattan Vegas,46' 3",117,5414.000,-5.00
96,0,28089,Jason Day,46' 4",113,5237.750,-6.00
96,0,47995,Davis Riley,46' 4",123,5700.750,+11.00
96,0,52513,Carson Young,46' 4",108,5005.750,+27.00
99,0,22371,Aaron Baddeley,46' 5",123,5713.417,+15.00
99,0,45522,Christiaan Bezuidenhout,46' 5",119,5527.500,+12.00
101,0,47663,Kevin Dougherty,46' 6",119,5535.083,-2.00
101,0,57362,Austin Eckroat,46' 6",113,5258.833,+21.00
101,0,35461,Beau Hossler,46' 6",125,5812.583,+4.00
101,0,55182,Tom Kim,46' 6",125,5810.417,+4.00
101,0,59143,Mac Meissner,46' 6",107,4973.917,-2.00
101,0,40250,Taylor Pendrith,46' 6",132,6136.083,+11.00
101,0,46441,Robby Shelton,46' 6",131,6087.750,+10.00
108,0,27770,Camilo Villegas,46' 7",106,4936.833,+12.00
109,0,59866,Nick Dunlap,46' 8",127,5925.750,+20.00
109,0,59095,Chris Gotterup,46' 8",189,8820.833,-4.00
109,0,29420,Billy Horschel,46' 8",100,4669.833,E
109,0,36799,Stephan Jaeger,46' 8",137,6398.667,+8.00
109,0,24502,Adam Scott,46' 8",127,5928.583,-10.00
114,0,37378,Min Woo Lee,46' 9",125,5843.167,+2.00
114,0,26476,Chez Reavie,46' 9",94,4394.750,+7.00
114,0,39327,Ben Silverman,46' 9",138,6452.500,+9.00
114,0,40115,Adam Svensson,46' 9",172,8043.500,+9.00
118,0,33408,Tyson Alexander,46' 10",139,6509.500,+12.00
119,0,54421,Garrick Higgo,47' 1",129,6076.833,+9.00
119,0,60067,Joe Highsmith,47' 1",108,5082.917,+1.00
119,0,23320,Ryan Palmer,47' 1",64,3015.750,-4.00
122,0,27649,Brandt Snedeker,47' 3",101,4775.917,+5.00
123,0,47806,Raul Pereda,47' 4",86,4069.417,+15.00
124,0,32102,Rickie Fowler,47' 5",132,6262.583,+17.00
124,0,49771,J.T. Poston,47' 5",145,6873.917,+12.00
124,0,47483,Will Zalatoris,47' 5",120,5689.667,+18.00
127,0,51634,Sahith Theegala,47' 7",180,8557.750,-6.00
128,0,59836,Pierceson Coody,47' 8",132,6290.417,+21.00
129,0,33141,Keegan Bradley,47' 9",89,4249.500,+9.00
130,0,54591,Ben Griffin,47' 11",197,9441.500,+6.00
130,0,33399,Adam Hadwin,47' 11",106,5075.750,+11.00
132,0,52372,Cameron Champ,48' 1",90,4327.250,+13.00
