RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD
1,0,06567,Vijay Singh,41635,2,2,0
2,0,27770,Camilo Villegas,34541,2,3,7094
3,0,21209,Sergio Garcia,31726,0,3,9909
4,0,01810,Phil Mickelson,31192,0,1,10443
5,0,29718,Anthony Kim,30847,0,2,10788
6,0,01945,Kenny Perry,29468,3,7,12167
7,0,10860,Justin Leonard,25997,0,3,15638
8,0,10809,Jim Furyk,24868,0,3,16767
9,0,20229,Stewart Cink,23908,1,7,17727
10,0,10423,Mike Weir,23033,0,3,18602
11,0,08793,Tiger Woods,22695,4,6,18940
12,0,24357,K.J. Choi,21889,0,2,19746
13,0,22621,Ben Curtis,20956,0,2,20679
14,0,10885,Robert Allenby,20205,0,7,21430
15,0,25345,Carl Pettersson,19315,1,5,22320
16,0,06595,Kevin Sutherland,19242,0,1,22393
17,0,06527,Steve Stricker,19163,0,1,22472
18,0,20098,Stuart Appleby,18977,0,1,22658
19,0,22378,Trevor Immelman,18861,0,1,22774
20,0,21350,Ryuji Imada,18856,1,4,22779
21,0,06522,Ernie Els,18723,0,2,22912
22,0,06575,Dudley Hart,18620,0,2,23015
23,0,24781,Hunter Mahan,18312,0,1,23323
24,0,20766,Padraig Harrington,17668,2,6,23967
25,0,23788,D.J. Trahan,17274,0,1,24361
26,0,20104,Ken Duke,16886,0,1,24749
27,0,01766,Billy Mayfair,16805,0,1,24830
28,0,20498,Briny Baird,15865,0,3,25770
29,0,12510,Chad Campbell,15686,0,1,25949
30,0,23135,Tim Clark,15649,0,1,25986
31,0,25562,Andres Romero,15609,1,3,26026
32,0,22046,Geoff Ogilvy,15304,1,6,26331
33,0,25804,Bubba Watson,14850,0,3,26785
34,0,26289,Boo Weekley,14342,1,5,27293
35,0,06004,Stephen Ames,12853,0,1,28782
36,0,27141,J.B. Holmes,12500,1,3,29135
37,0,27649,Brandt Snedeker,12211,0,5,29424
38,0,28158,Steve Marino,12160,0,1,29475
39,0,27214,Kevin Streelman,12048,0,1,29587
40,0,24502,Adam Scott,11777,1,3,29858
41,0,20645,John Senden,11731,0,3,29904
42,0,19846,Brian Gay,11465,1,4,30170
43,0,12602,Dean Wilson,11372,0,3,30263
44,0,01142,Bart Bryant,11356,0,2,30279
45,0,20160,Charlie Wi,11345,0,3,30290
46,0,27933,John Merrick,11344,0,4,30291
47,0,28780,Nicholas Thompson,11302,0,1,30333
48,0,22371,Aaron Baddeley,11250,0,1,30385
49,0,08075,Jerry Kelly,11185,0,4,30450
50,0,21731,Freddie Jacobson,11166,0,1,30469
51,0,07867,Woody Austin,11067,0,4,30568
52,0,21878,Mark Wilson,10913,0,4,30722
53,0,26476,Chez Reavie,10869,1,2,30766
54,0,25900,Lucas Glover,10781,0,2,30854
55,0,02239,Scott Verplank,10779,0,2,30856
56,0,20574,Mathew Goggin,10734,0,1,30901
57,0,12782,Tim Herron,10663,0,1,30972
58,0,23541,Ben Crane,10578,0,1,31057
59,0,24925,Jonathan Byrd,10500,0,2,31135
60,0,26951,Johnson Wagner,10446,1,1,31189
61,0,21753,Brian Davis,10431,0,2,31204
62,0,22293,Heath Slocum,10429,0,5,31206
63,0,01035,Tommy Armour III,10382,0,5,31253
64,0,23048,Eric Axley,10218,0,3,31417
65,0,27060,John Mallinger,10136,0,3,31499
66,0,20848,Ángel Cabrera,10088,0,1,31547
67,0,23621,Rory Sabbatini,10035,0,2,31600
68,0,27936,Martin Laird,9986,0,1,31649
69,0,10425,Jay Williamson,9974,0,1,31661
70,0,12716,Charley Hoffman,9833,0,3,31802
71,0,24140,Sean O'Hair,9029,1,3,32606
72,0,24361,Pat Perez,7611,0,3,34024
73,0,24924,Bill Haas,7384,0,1,34251
74,0,07749,Brett Quigley,7353,0,2,34282
75,0,20634,Peter Lonard,7343,0,3,34292
76,0,25190,Jeff Quinney,7329,0,3,34306
77,0,25364,Paul Casey,7259,0,1,34376
78,0,01797,Rocco Mediate,7251,0,2,34384
79,0,26420,Richard Johnson,7111,1,1,34524
80,0,01941,Tom Pernice Jr.,7069,0,5,34566
81,0,23623,Bo Van Pelt,7006,0,1,34629
82,0,20572,Rod Pampling,6856,0,5,34779
83,0,07457,Steve Flesch,6821,0,2,34814
84,0,01948,Tim Petrovic,6790,0,2,34845
85,0,01313,Steve Elkington,6744,0,3,34891
86,0,28089,Jason Day,6726,0,2,34909
87,0,22348,Nick O'Hern,6671,0,3,34964
88,0,06643,Paul Goydos,6665,0,2,34970
89,0,26596,Ryan Moore,6651,0,3,34984
90,0,06197,Michael Allen,6583,0,1,35052
91,0,10585,Scott McCarron,6538,0,2,35097
92,0,23353,J.J. Henry,6485,0,1,35150
93,0,12660,Jesper Parnevik,6472,0,35163
94,0,23320,Ryan Palmer,6381,0,2,35254
95,0,20850,Daniel Chopra,6375,1,1,35260
96,0,25396,Kevin Na,6336,0,3,35299
97,0,21961,Charles Howell III,6323,0,2,35312
