RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,08793,Tiger Woods,22695,4,6,0
2,0,01945,Kenny Perry,20878,3,7,1817
3,0,01810,Phil Mickelson,18241,2,7,4454
4,0,20766,Padraig Harrington,15555,2,6,7140
5,0,29718,Anthony Kim,15178,2,6,7517
6,0,20229,Stewart Cink,15126,1,7,7569
7,0,06567,Vijay Singh,15034,1,6,7661
8,0,10860,Justin Leonard,12734,1,5,9961
9,0,21350,Ryuji Imada,10903,1,4,11792
10,0,22046,Geoff Ogilvy,10866,1,6,11829
11,0,10885,Robert Allenby,10554,0,7,12141
12,0,21209,Sergio Garcia,10301,1,3,12394
13,0,25345,Carl Pettersson,9821,1,5,12874
14,0,26289,Boo Weekley,9655,1,5,13040
15,0,10809,Jim Furyk,9438,0,6,13257
16,0,24140,Sean O'Hair,9029,1,3,13666
17,0,24357,K.J. Choi,8843,1,3,13852
18,0,23788,D.J. Trahan,8497,1,3,14198
19,0,20098,Stuart Appleby,8403,0,6,14292
20,0,22378,Trevor Immelman,8209,1,2,14486
21,0,06527,Steve Stricker,8082,0,5,14613
22,0,27141,J.B. Holmes,7834,1,3,14861
23,0,12510,Chad Campbell,7574,0,5,15121
24,0,24502,Adam Scott,7558,1,3,15137
25,0,25190,Jeff Quinney,7329,0,3,15366
26,0,25562,Andres Romero,7156,1,3,15539
27,0,22621,Ben Curtis,7105,0,3,15590
28,0,06522,Ernie Els,7023,1,3,15672
29,0,20498,Briny Baird,6956,0,3,15739
30,0,06004,Stephen Ames,6913,0,5,15782
31,0,24781,Hunter Mahan,6903,0,4,15792
32,0,01142,Bart Bryant,6901,0,2,15794
33,0,20572,Rod Pampling,6856,0,5,15839
34,0,07867,Woody Austin,6762,0,4,15933
35,0,26476,Chez Reavie,6494,1,2,16201
36,0,08075,Jerry Kelly,6471,0,4,16224
37,0,01766,Billy Mayfair,6465,0,3,16230
38,0,28158,Steve Marino,6446,0,4,16249
39,0,19846,Brian Gay,6413,1,4,16282
40,0,20850,Daniel Chopra,6375,1,1,16320
41,0,01707,Steve Lowery,6164,1,2,16531
42,0,27770,Camilo Villegas,6141,0,4,16554
43,0,10423,Mike Weir,6026,0,3,16669
44,0,23983,Luke Donald,6001,0,3,16694
45,0,22371,Aaron Baddeley,5905,0,2,16790
46,0,21731,Freddie Jacobson,5814,0,2,16881
47,0,28780,Nicholas Thompson,5695,0,4,17000
48,0,01035,Tommy Armour III,5671,0,5,17024
49,0,27649,Brandt Snedeker,5649,0,5,17046
50,0,20396,Lee Westwood,5626,0,2,17069
51,0,20104,Ken Duke,5594,0,3,17101
52,0,26951,Johnson Wagner,5553,1,1,17142
53,0,22293,Heath Slocum,5503,0,5,17192
54,0,24449,Parker McLachlin,5502,1,3,17193
55,0,23621,Rory Sabbatini,5488,0,2,17207
56,0,25804,Bubba Watson,5437,0,3,17258
57,0,06595,Kevin Sutherland,5414,0,4,17281
58,0,20157,Retief Goosen,5372,0,2,17323
59,0,20634,Peter Lonard,5248,0,3,17447
60,0,23135,Tim Clark,5159,0,2,17536
61,0,01797,Rocco Mediate,5151,0,2,17544
62,0,24361,Pat Perez,5111,0,3,17584
63,0,24138,Ian Poulter,5073,0,1,17622
64,0,20645,John Senden,5064,0,3,17631
65,0,23541,Ben Crane,5058,0,3,17637
66,0,20160,Charlie Wi,4985,0,3,17710
67,0,01941,Tom Pernice Jr.,4954,0,5,17741
68,0,06575,Dudley Hart,4798,0,4,17897
69,0,27933,John Merrick,4787,0,4,17908
70,0,12602,Dean Wilson,4688,0,3,18007
71,0,01313,Steve Elkington,4632,0,3,18063
72,0,06643,Paul Goydos,4567,0,2,18128
73,0,26596,Ryan Moore,4560,0,3,18135
74,0,22348,Nick O'Hern,4520,0,3,18175
75,0,12705,Cliff Kresge,4487,0,4,18208
76,0,20574,Mathew Goggin,4457,0,2,18238
77,0,10585,Scott McCarron,4387,0,2,18308
78,0,22405,Justin Rose,4278,0,2,18417
79,0,21961,Charles Howell III,4237,0,2,18458
80,0,21878,Mark Wilson,4212,0,4,18483
81,0,23108,Matt Kuchar,4084,0,4,18611
82,0,22913,John Rollins,4074,0,2,18621
83,0,25396,Kevin Na,4052,0,3,18643
84,0,07457,Steve Flesch,4046,0,2,18649
85,0,24925,Jonathan Byrd,4011,0,2,18684
86,0,21753,Brian Davis,3916,0,2,18779
87,0,01928,Corey Pavin,3903,0,2,18792
88,0,26695,Michael Letzig,3879,0,4,18816
89,0,01226,Fred Couples,3837,0,3,18858
90,0,25364,Paul Casey,3804,0,3,18891
91,0,20472,Alex Cejka,3802,0,4,18893
92,0,27060,John Mallinger,3793,0,3,18902
93,0,23778,Brad Adamonis,3707,0,2,18988
94,0,23718,Nathan Green,3698,0,1,18997
95,0,25900,Lucas Glover,3617,0,2,19078
96,0,24507,Jason Bohn,3582,0,2,19113
97,0,27120,Troy Matteson,3524,0,3,19171
98,0,10425,Jay Williamson,3483,0,1,19212
99,0,23048,Eric Axley,3478,0,3,19217
100,0,02239,Scott Verplank,3412,0,2,19283
101,0,24490,George McNeill,3409,0,2,19286
102,0,27214,Kevin Streelman,3402,0,2,19293
103,0,06012,Greg Kraft,3319,1,2,19376
104,0,01161,Mark Calcavecchia,3304,0,2,19391
105,0,12716,Charley Hoffman,3276,0,3,19419
106,0,26300,Matt Jones,3273,0,2,19422
107,0,24924,Bill Haas,3172,0,1,19523
108,0,10505,Shane Bertsch,3153,0,1,19542
109,0,21949,Joe Ogilvie,3094,0,3,19601
110,0,25349,Tim Wilkinson,3086,0,2,19609
111,0,27095,Nick Watney,3036,0,1,19659
112,0,24024,Zach Johnson,2968,0,1,19727
113,0,23325,Vaughn Taylor,2901,0,1,19794
114,0,23614,Rich Beem,2833,0,1,19862
115,0,23349,Charles Warren,2769,0,1,19926
116,0,23623,Bo Van Pelt,2756,0,1,19939
117,0,30925,Dustin Johnson,2679,0,2,20016
118,0,07749,Brett Quigley,2663,0,2,20032
119,0,02223,Bob Tway,2615,0,1,20080
120,0,22548,Patrick Sheehan,2540,0,2,20155
121,0,02206,David Toms,2520,0,20175
122,0,26420,Richard Johnson,2510,1,1,20185
123,0,23409,James Driscoll,2457,0,1,20238
124,0,01320,Bob Estes,2423,0,1,20272
125,0,01677,Tom Lehman,2420,0,2,20275
126,0,01948,Tim Petrovic,2400,0,2,20295
127,0,28089,Jason Day,2327,0,2,20368
128,0,27936,Martin Laird,2303,0,2,20392
129,0,06621,Joe Durant,2264,0,1,20431
130,0,22892,Jason Gore,2258,0,2,20437
131,0,20848,Ángel Cabrera,2243,0,1,20452
132,0,23320,Ryan Palmer,2158,0,2,20537
133,0,12782,Tim Herron,2158,0,20537
134,0,06197,Michael Allen,2132,0,1,20563
135,0,23353,J.J. Henry,2026,0,1,20669
136,0,11032,Frank Lickliter II,1986,0,20709
137,0,25842,Jon Mills,1964,0,20731
138,0,06251,Chris DiMarco,1871,0,20824
139,0,12660,Jesper Parnevik,1818,0,20877
140,0,26287,Roland Thatcher,1777,0,2,20918
141,0,24227,Justin Bolli,1769,0,1,20926
142,0,28475,Jeff Overton,1754,0,1,20941
143,0,08931,Glen Day,1727,0,1,20968
144,0,01577,Lee Janzen,1721,0,1,20974
145,0,24663,Y.E. Yang,1701,0,1,20994
146,0,20623,Gavin Coles,1699,0,1,20996
147,0,23497,Tag Ridings,1679,0,1,21016
148,0,01473,Todd Hamilton,1648,0,21047
149,0,23797,Brett Rumford,1624,0,1,21071
150,0,06034,Marco Dawson,1622,0,2,21073
151,0,26679,Kevin Stadler,1622,0,1,21073
152,0,07547,Craig Kanada,1604,0,21091
153,0,01876,Greg Norman,1595,0,1,21100
154,0,01706,Davis Love III,1512,0,21183
155,0,01553,John Huston,1488,0,21207
156,0,24358,Robert Garrigus,1468,0,21227
157,0,08845,Scott Sterling,1467,0,21228
158,0,19803,Ryan Armour,1427,0,21268
159,0,12823,Carlos Franco,1372,0,21323
160,0,27561,Nick Flanagan,1316,0,1,21379
161,0,20105,Jeff Gove,1308,0,1,21387
162,0,24912,Will MacKenzie,1289,0,1,21406
163,0,01724,Jeff Maggert,1287,0,21408
164,0,20127,Chris Riley,1277,0,1,21418
165,0,08537,J.P. Hayes,1275,0,1,21420
166,0,12652,Cameron Beckman,1262,0,21433
167,0,20433,Mark Hensby,1261,0,1,21434
168,0,26668,Marc Turnesa,1174,0,21521
169,0,10117,Bob Heintz,1164,0,21531
170,0,08385,Omar Uresti,1154,0,21541
171,0,22806,Doug LaBelle II,1102,0,1,21593
172,0,25686,Jason Dufner,1082,0,21613
173,0,20443,Jin Park,1047,0,21648
174,0,21805,Harrison Frazar,1043,0,1,21652
175,0,01381,Fred Funk,1038,0,1,21657
176,0,19972,José Coceres,1008,0,21687
177,0,21461,Kenneth Ferrie,1000,0,21695
178,0,02002,John Riegger,993,0,21702
179,0,20663,Brenden Pappas,962,0,1,21733
180,0,21959,Ted Purdy,962,0,1,21733
181,0,10733,Kent Jones,957,0,21738
182,0,01024,Billy Andrade,949,0,21746
183,0,06573,Brandt Jobe,940,0,21755
184,0,12309,Bob Sowards,920,0,1,21775
185,0,07223,Brian Bateman,832,0,21863
186,0,20628,Arron Oberholser,775,0,21920
187,0,20436,Garrett Willis,766,0,21929
188,0,01388,Robert Gamez,749,0,21946
189,0,12680,Shigeki Maruyama,721,0,21974
190,0,20378,Mathias Grönberg,715,0,21980
191,0,01823,Larry Mize,704,0,1,21991
192,0,25632,Jimmy Walker,703,0,21992
193,0,12645,Brent Geiberger,694,0,1,22001
194,0,25273,Andrew Buckle,693,0,22002
195,0,20382,Stephen Leaney,678,0,22017
196,0,06515,Shaun Micheel,641,0,22054
197,0,25720,Chad Collins,632,0,22063
198,0,01361,Dan Forsman,623,0,22072
199,0,21633,Steve Allan,595,0,1,22100
200,0,19824,Craig Barlow,567,0,22128
201,0,27613,David Lutterus,566,0,22129
202,0,10875,Todd Demsey,551,0,22144
203,0,23157,Richard Johnson,544,0,22151
204,0,01139,Olin Browne,515,0,22180
205,0,27963,Chris Stroud,499,0,22196
206,0,26500,Alejandro Cañizares,497,0,22198
207,0,08375,Paul Stankowski,488,0,22207
208,0,06090,Jim McGovern,488,0,22207
209,0,22582,Kyle Thompson,461,0,22234
210,0,06350,Bob May,450,0,22245
211,0,01666,Bernhard Langer,426,0,22269
212,0,12826,Paul Claxton,420,0,22275
213,0,23322,Brett Wetterich,417,0,22278
214,0,21470,Daisuke Maruyama,417,0,22278
215,0,01132,Mark Brooks,410,0,22285
216,0,19881,Robert Damron,365,0,22330
217,0,01157,Tom Byrum,343,0,22352
218,0,10213,Dicky Pride,322,0,22373
219,0,01116,Michael Bradley,321,0,22374
220,0,23540,Jason Allred,286,0,22409
221,0,10565,Ian Leggatt,269,0,22426
222,0,10649,Tom Scherrer,267,0,22428
223,0,26882,Michael Sim,256,0,22439
224,0,06373,José María Olazábal,235,0,22460
225,0,06332,Neal Lancaster,227,0,22468
226,0,26631,Cody Freeman,214,0,22481
227,0,23125,Brad Elder,212,0,22483
228,0,01261,Jay Delsing,200,0,22495
229,0,01042,Paul Azinger,190,0,22505
230,0,01249,John Daly,182,0,22513
231,0,20094,Jonathan Kaye,177,0,22518
232,0,25594,Travis Perkins,152,0,22543
233,0,01920,Craig Parry,152,0,22543
234,0,09011,David Duval,149,0,22546
235,0,19913,Ron Whittaker,140,0,22555
236,0,30750,Tommy Gainey,119,0,22576
237,0,01761,Len Mattiace,116,0,22579
238,0,01685,J.L. Lewis,114,0,22581
239,0,07235,John Morse,103,0,22592
240,0,01717,Sandy Lyle,91,0,22604
241,0,02214,Kirk Triplett,87,0,22608
242,0,20029,Notah Begay III,82,0,22613
243,0,02106,Chris Smith,81,0,22614
244,0,02101,Joey Sindelar,80,0,22615
245,0,01378,David Frost,64,0,22631
246,0,06214,Guy Boros,57,0,22638
247,0,21007,Gabriel Hjertstedt,52,0,22643
247,0,01723,Andrew Magee,52,0,22643
247,0,02245,Grant Waite,52,0,22643
250,0,01887,Mark O'Meara,52,0,22643
251,0,01527,Scott Hoch,52,0,22643
252,0,01014,Fulton Allem,47,0,22648
253,0,01093,Ronnie Black,44,0,22651
254,0,01968,Nick Price,43,0,22652
255,0,01619,Skip Kendall,28,0,22667
256,0,01927,Dennis Paulson,27,0,22668
256,0,02067,Ted Schulz,27,0,22668
258,0,02246,Duffy Waldorf,26,0,22669
259,0,08339,Spike McRoy,26,0,22669
260,0,01331,Rick Fehr,25,0,22670
261,0,06809,Bob Burns,24,0,22671
262,0,01385,Jim Gallagher Jr.,24,0,22671
