RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,21961,Charles Howell III,70,4,66
2,0,02106,Chris Smith,83,9,74
3,0,10885,Robert Allenby,85,36,49
4,0,21209,Sergio Garcia,99,14,85
4,0,23353,J.J. Henry,99,26,73
6,0,20548,Hidemichi Tanaka,104,86,18
7,0,26289,Boo Weekley,110,2,108
8,0,20498,Briny Baird,111,71,40
8,0,08633,Per-Ulrik Johansson,111,66,45
10,0,20029,Notah Begay III,112,90,22
11,0,08793,Tiger Woods,113,6,107
12,0,20645,John Senden,115,19,96
13,0,12510,Chad Campbell,117,82,35
14,0,24925,Jonathan Byrd,119,14,105
15,0,01388,Robert Gamez,120,68,52
16,0,01569,Peter Jacobsen,121,82,39
17,0,01945,Kenny Perry,124,37,87
18,0,20095,Carl Paulson,127,30,97
19,0,02246,Duffy Waldorf,128,52,76
20,0,07223,Brian Bateman,130,26,104
21,0,01577,Lee Janzen,131,60,71
21,0,23177,Kenneth Staton,131,32,99
23,0,23338,David Gossett,132,89,43
23,0,10962,Bradley Hughes,132,86,46
25,0,20094,Jonathan Kaye,134,39,95
26,0,22913,John Rollins,141,112,29
27,0,01475,Donnie Hammond,143,117,26
27,0,10860,Justin Leonard,143,119,24
27,0,06567,Vijay Singh,143,46,97
30,0,01797,Rocco Mediate,146,126,20
31,0,12652,Cameron Beckman,147,71,76
31,0,07457,Steve Flesch,147,45,102
33,0,02002,John Riegger,150,109,41
34,0,01553,John Huston,151,81,70
35,0,08545,Glen Hnatiuk,152,144,8
35,0,06573,Brandt Jobe,152,42,110
35,0,01677,Tom Lehman,152,63,89
38,0,01142,Bart Bryant,153,142,11
39,0,01810,Phil Mickelson,154,25,129
40,0,11032,Frank Lickliter II,155,63,92
41,0,12823,Carlos Franco,156,13,143
41,0,02101,Joey Sindelar,156,42,114
41,0,02133,Craig Stadler,156,98,58
44,0,01685,J.L. Lewis,157,42,115
45,0,01307,Joel Edwards,158,125,33
46,0,23614,Rich Beem,159,10,149
46,0,19881,Robert Damron,159,123,36
48,0,02214,Kirk Triplett,160,145,15
49,0,07003,David Berganio Jr.,161,55,106
49,0,23135,Tim Clark,161,140,21
49,0,20572,Rod Pampling,161,41,120
52,0,06621,Joe Durant,162,152,10
52,0,01320,Bob Estes,162,105,57
52,0,01706,Davis Love III,162,30,132
55,0,01724,Jeff Maggert,163,150,13
55,0,01948,Tim Petrovic,163,92,71
57,0,01381,Fred Funk,164,163,1
57,0,02170,Hal Sutton,164,126,38
59,0,06515,Shaun Micheel,165,53,112
60,0,06004,Stephen Ames,167,73,94
61,0,08123,Jeff Brehaut,168,99,69
61,0,02206,David Toms,168,114,54
61,0,23623,Bo Van Pelt,168,11,157
64,0,01161,Mark Calcavecchia,170,47,123
65,0,01938,David Peoples,171,92,79
66,0,08881,Tripp Isenhour,172,33,139
67,0,21805,Harrison Frazar,173,14,159
67,0,20436,Garrett Willis,173,111,62
69,0,12388,Michael Clark II,174,55,119
69,0,02223,Bob Tway,174,61,113
71,0,01968,Nick Price,175,166,9
71,0,23322,Brett Wetterich,175,8,167
73,0,20634,Peter Lonard,176,84,92
74,0,23541,Ben Crane,177,39,138
74,0,10809,Jim Furyk,177,173,4
76,0,20574,Mathew Goggin,178,3,175
76,0,01707,Steve Lowery,178,94,84
78,0,01771,Blaine McCallister,181,150,31
79,0,01175,Jim Carter,183,141,42
80,0,12645,Brent Geiberger,184,66,118
80,0,20566,Kaname Yokoo,184,94,90
82,0,20157,Retief Goosen,185,105,80
82,0,24361,Pat Perez,185,94,91
84,0,10565,Ian Leggatt,186,35,151
85,0,09011,David Duval,187,11,176
86,0,08375,Paul Stankowski,188,34,154
87,0,23108,Matt Kuchar,189,161,28
87,0,01920,Craig Parry,189,121,68
89,0,20098,Stuart Appleby,190,23,167
89,0,08931,Glen Day,190,184,6
89,0,06251,Chris DiMarco,190,108,82
92,0,07721,Pat Bates,191,174,17
92,0,02239,Scott Verplank,191,189,2
94,0,10585,Scott McCarron,192,47,145
94,0,22293,Heath Slocum,192,189,3
96,0,23983,Luke Donald,193,156,37
97,0,01203,Russ Cochran,194,69,125
98,0,01035,Tommy Armour III,195,74,121
98,0,06643,Paul Goydos,195,176,19
100,0,01157,Tom Byrum,196,182,14
100,0,01249,John Daly,196,1,195
100,0,20043,Edward Fryatt,196,55,141
100,0,01927,Dennis Paulson,196,4,192
104,0,12753,David Morland IV,197,136,61
105,0,01139,Olin Browne,198,191,7
