RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,08793,Tiger Woods,58.63,9941563,16957480
2,0,10809,Jim Furyk,27.61,7213315,26128480
3,0,29718,Anthony Kim,26.83,338066,1260000
4,0,24502,Adam Scott,23.11,4978857,21547480
5,0,01810,Phil Mickelson,20.34,4256505,20931480
6,0,22046,Geoff Ogilvy,19.59,4354969,22227480
7,0,06567,Vijay Singh,15.86,4602416,29017480
8,0,22378,Trevor Immelman,15.76,3844188,24399000
9,0,23983,Luke Donald,15.50,3177408,20494480
10,0,20098,Stuart Appleby,13.70,3470457,25327480
11,0,20157,Retief Goosen,12.63,2617452,20719480
12,0,02206,David Toms,12.19,2911186,23890000
13,0,21498,Hideto Tanihara,12.13,310830,2562480
14,0,23322,Brett Wetterich,12.11,3023184,24962480
15,0,06527,Steve Stricker,11.46,1811811,15805000
16,0,06522,Ernie Els,11.27,2326220,20638480
17,0,01706,Davis Love III,11.10,2747205,24738480
18,0,23621,Rory Sabbatini,10.94,2861750,26155480
19,0,06621,Joe Durant,10.74,2811139,26172000
20,0,06373,José María Olazábal,10.55,2120422,20089480
21,0,12510,Chad Campbell,10.47,2811067,26848480
22,0,06004,Stephen Ames,10.40,2395155,23032480
23,0,20572,Rod Pampling,10.14,2664673,26281480
24,0,20229,Stewart Cink,9.99,2755911,27586480
25,0,20628,Arron Oberholser,9.87,2467771,25012480
26,0,24138,Ian Poulter,9.06,1553906,17155480
27,0,25345,Carl Pettersson,8.83,2647982,29989480
28,0,24357,K.J. Choi,8.67,2376547,27424480
29,0,24024,Zach Johnson,8.56,2452250,28648480
30,0,22621,Ben Curtis,8.43,2256325,26768480
31,0,23135,Tim Clark,8.21,1974931,24067480
32,0,21209,Sergio Garcia,8.08,1560733,19311480
33,0,25900,Lucas Glover,7.89,2587982,32815480
34,0,07749,Brett Quigley,7.85,2617418,33347480
35,0,23353,J.J. Henry,7.84,2301480,29373480
36,0,20766,Padraig Harrington,7.73,1339675,17326480
36,0,01677,Tom Lehman,7.73,1692080,21876480
38,0,12602,Dean Wilson,7.58,2509857,33111000
39,0,26287,Roland Thatcher,7.50,74250,990000
40,0,24925,Jonathan Byrd,7.44,1408418,18918000
41,0,10423,Mike Weir,7.43,1883724,25341480
42,0,01941,Tom Pernice Jr.,7.25,2396547,33077480
43,0,20848,Ángel Cabrera,7.13,1021420,14320480
44,0,25562,Andres Romero,6.92,177224,2562480
45,0,21528,Henrik Stenson,6.70,821677,12259480
46,0,02239,Scott Verplank,6.67,1729318,25912480
47,0,23325,Vaughn Taylor,6.66,1783944,26794480
48,0,11032,Frank Lickliter II,6.56,1655678,25227000
49,0,20104,Ken Duke,6.51,138230,2124000
50,0,10885,Robert Allenby,6.38,1503581,23554480
51,0,08635,Colin Montgomerie,6.34,638749,10077480
52,0,12782,Tim Herron,6.27,1776142,28324480
52,0,27120,Troy Matteson,6.27,1778597,28377000
54,0,24956,Mikko Ilonen,6.25,83655,1338480
54,0,26539,Robert Rock,6.25,83655,1338480
54,0,23797,Brett Rumford,6.25,83655,1338480
57,0,27770,Camilo Villegas,6.21,1742111,28054000
58,0,22371,Aaron Baddeley,6.10,1516512,24877480
59,0,22405,Justin Rose,6.09,1629288,26766000
60,0,24507,Jason Bohn,6.08,1676892,27576000
61,0,20645,John Senden,6.01,1650673,27465480
62,0,22348,Nick O'Hern,5.96,995235,16687480
63,0,23718,Nathan Green,5.94,1700803,28621000
64,0,08075,Jerry Kelly,5.87,1737799,29580480
65,0,24511,Thongchai Jaidee,5.86,150000,2560000
66,0,06515,Shaun Micheel,5.81,1632842,28096480
67,0,01320,Bob Estes,5.79,1340243,23158000
68,0,01928,Corey Pavin,5.70,1308084,22946000
69,0,06251,Chris DiMarco,5.69,1537925,27037480
69,0,27141,J.B. Holmes,5.69,1487603,26129480
69,0,22913,John Rollins,5.69,1498827,26353000
72,0,12660,Jesper Parnevik,5.68,1308309,23040000
73,0,20608,David Howell,5.66,912437,16111480
74,0,26420,Richard Johnson,5.65,1555376,27549000
75,0,26758,David Hearn,5.60,50437,900000
76,0,26596,Ryan Moore,5.59,1122117,20079000
77,0,01724,Jeff Maggert,5.50,1430376,26020480
77,0,20691,Greg Owen,5.50,1316684,23955480
79,0,25364,Paul Casey,5.45,529151,9712480
80,0,23541,Ben Crane,5.41,1489092,27523480
80,0,01381,Fred Funk,5.41,1579837,29184480
82,0,11123,Chris Couch,5.36,1356731,25294000
83,0,21961,Charles Howell III,5.21,1553104,29831000
84,0,23623,Bo Van Pelt,5.18,1389926,26827480
85,0,23048,Eric Axley,5.16,1274579,24678000
86,0,19972,José Coceres,5.14,522591,10170000
87,0,19825,Darren Clarke,5.05,660897,13087480
88,0,25732,S.K. Ho,5.03,128890,2562480
89,0,20850,Daniel Chopra,4.96,1530454,30825000
90,0,01766,Billy Mayfair,4.87,1367997,28099000
91,0,01142,Bart Bryant,4.85,1316131,27136480
92,0,21461,Kenneth Ferrie,4.84,183255,3787480
93,0,19824,Craig Barlow,4.76,1006537,21160000
94,0,27095,Nick Watney,4.72,1243816,26379000
95,0,24140,Sean O'Hair,4.59,1411387,30777480
96,0,07457,Steve Flesch,4.58,1417615,30924000
96,0,08537,J.P. Hayes,4.58,701432,15327000
98,0,19958,Miguel Angel Jiménez,4.57,458511,10041480
99,0,21470,Daisuke Maruyama,4.51,956873,21213000
100,0,02214,Kirk Triplett,4.48,766593,17127000
100,0,22540,Anthony Wall,4.48,172890,3862480
102,0,21731,Freddie Jacobson,4.47,788763,17649000
102,0,02104,Jeff Sluman,4.47,1252024,27979480
104,0,01024,Billy Andrade,4.43,1057926,23874480
105,0,20574,Mathew Goggin,4.34,1076141,24784480
105,0,20859,Anders Hansen,4.34,53100,1224000
107,0,12716,Charley Hoffman,4.26,1115192,26182000
108,0,22293,Heath Slocum,4.24,1180681,27837000
109,0,06643,Paul Goydos,4.23,890391,21051000
109,0,25804,Bubba Watson,4.23,1019263,24120000
111,0,24781,Hunter Mahan,4.17,1107456,26547480
112,0,01226,Fred Couples,4.15,780361,18789480
113,0,20400,Michael Campbell,4.14,515982,12457480
114,0,07867,Woody Austin,4.08,1179321,28891000
114,0,12680,Shigeki Maruyama,4.08,1154115,28264000
116,0,25321,Lee Slattery,4.04,54096,1338480
117,0,21949,Joe Ogilvie,3.97,1073110,27036000
117,0,24361,Pat Perez,3.97,719507,18108000
119,0,20498,Briny Baird,3.90,844547,21681000
120,0,23349,Charles Warren,3.89,1018840,26163000
120,0,20396,Lee Westwood,3.89,630565,16209480
122,0,23320,Ryan Palmer,3.86,1092853,28278000
