RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,20157,Retief Goosen,94.12
2,0,25364,Paul Casey,92.31
3,0,23541,Ben Crane,88.89
4,0,23409,James Driscoll,83.33
4,0,20127,Chris Riley,83.33
4,0,23788,D.J. Trahan,83.33
7,0,10885,Robert Allenby,82.35
8,0,23108,Matt Kuchar,81.82
9,0,23320,Ryan Palmer,78.57
10,0,21961,Charles Howell III,78.26
11,0,23613,Rich Barcelo,77.78
11,0,26881,Jarrod Lyle,77.78
11,0,06527,Steve Stricker,77.78
11,0,12602,Dean Wilson,77.78
15,0,24925,Jonathan Byrd,75.00
15,0,21731,Freddie Jacobson,75.00
15,0,26882,Michael Sim,75.00
15,0,25632,Jimmy Walker,75.00
19,0,27330,Josh Teater,73.68
20,0,26596,Ryan Moore,73.33
20,0,06567,Vijay Singh,73.33
20,0,20436,Garrett Willis,73.33
20,0,21878,Mark Wilson,73.33
24,0,28237,Rory McIlroy,72.73
24,0,23349,Charles Warren,72.73
26,0,25686,Jason Dufner,72.22
27,0,29221,Webb Simpson,70.59
28,0,20686,Jeev Milkha Singh,70.00
29,0,01766,Billy Mayfair,69.23
29,0,23621,Rory Sabbatini,69.23
31,0,06522,Ernie Els,68.75
31,0,24140,Sean O'Hair,68.75
31,0,25190,Jeff Quinney,68.75
31,0,22405,Justin Rose,68.75
31,0,27963,Chris Stroud,68.75
36,0,28087,Kris Blanks,66.67
36,0,23983,Luke Donald,66.67
36,0,01313,Steve Elkington,66.67
36,0,01320,Bob Estes,66.67
36,0,27936,Martin Laird,66.67
36,0,02206,David Toms,66.67
36,0,02239,Scott Verplank,66.67
36,0,25892,Steve Wheatcroft,66.67
44,0,23623,Bo Van Pelt,65.22
45,0,32102,Rickie Fowler,65.00
46,0,26851,Marc Leishman,64.71
46,0,27214,Kevin Streelman,64.71
46,0,23325,Vaughn Taylor,64.71
49,0,27120,Troy Matteson,64.29
49,0,06515,Shaun Micheel,64.29
51,0,24846,Ricky Barnes,63.64
52,0,23673,Michael Connell,63.16
53,0,20378,Mathias Grönberg,62.50
53,0,27613,David Lutterus,62.50
53,0,23800,Bryce Molder,62.50
53,0,25804,Bubba Watson,62.50
57,0,27095,Nick Watney,61.90
58,0,07457,Steve Flesch,61.54
58,0,28780,Nicholas Thompson,61.54
