RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01928,Corey Pavin,16.32,150,919,+0.060
2,0,12682,Hirofumi Miyase,11.01,86,781,+0.337
3,0,01329,Brad Faxon,10.49,101,963,+0.228
4,0,01219,John Cook,10.31,69,669,+0.087
5,0,02099,Scott Simpson,10.30,73,709,+0.123
6,0,01320,Bob Estes,10.19,71,697,+0.141
7,0,02223,Bob Tway,10.18,94,923,+0.106
8,0,02010,Loren Roberts,9.53,90,944,-0.011
9,0,01378,David Frost,9.11,93,1021,+0.290
10,0,02214,Kirk Triplett,9.00,82,911,-0.049
11,0,25237,Kevin Muncrief,8.99,56,623,+0.232
12,0,01473,Todd Hamilton,8.76,86,982,+0.233
13,0,01926,Steve Pate,8.71,72,827,+0.125
14,0,01771,Blaine McCallister,8.51,72,846,+0.153
15,0,06078,Esteban Toledo,8.45,93,1101,+0.194
16,0,10733,Kent Jones,8.37,100,1195,+0.080
17,0,01139,Olin Browne,8.33,91,1093,+0.055
18,0,07721,Pat Bates,8.31,103,1240,+0.204
19,0,01157,Tom Byrum,8.18,82,1002,+0.073
19,0,01920,Craig Parry,8.18,41,501,+0.024
21,0,23983,Luke Donald,8.11,70,863,+0.171
22,0,21878,Mark Wilson,8.07,64,793,+0.047
23,0,26420,Richard Johnson,8.05,103,1280,+0.107
24,0,07363,Craig Bowden,8.04,83,1032,+0.096
25,0,07223,Brian Bateman,8.03,81,1009,-0.074
26,0,01968,Nick Price,7.91,40,506,+0.100
27,0,06373,José María Olazábal,7.89,46,583,+0.109
28,0,01132,Mark Brooks,7.86,62,789,+0.339
29,0,01887,Mark O'Meara,7.85,45,573,+0.178
30,0,22548,Patrick Sheehan,7.82,108,1381,+0.093
31,0,20382,Stephen Leaney,7.81,62,794,+0.177
32,0,01313,Steve Elkington,7.79,60,770,+0.200
33,0,01761,Len Mattiace,7.67,74,965,+0.284
34,0,06527,Steve Stricker,7.66,72,940,+0.194
35,0,02049,Gene Sauers,7.62,77,1011,+0.117
36,0,10425,Jay Williamson,7.61,95,1248,+0.126
37,0,23108,Matt Kuchar,7.59,80,1054,+0.113
38,0,08385,Omar Uresti,7.54,79,1048,+0.063
39,0,01361,Dan Forsman,7.40,67,905,+0.075
40,0,12660,Jesper Parnevik,7.36,75,1019,+0.173
41,0,20548,Hidemichi Tanaka,7.31,79,1080,-0.051
42,0,22621,Ben Curtis,7.18,41,571,-0.024
43,0,12645,Brent Geiberger,7.17,83,1158,-0.024
44,0,01261,Jay Delsing,7.05,62,879,+0.145
45,0,23338,David Gossett,6.99,49,701,+0.694
46,0,01024,Billy Andrade,6.96,88,1265,-0.023
46,0,20645,John Senden,6.96,83,1193,+0.120
48,0,23541,Ben Crane,6.87,77,1121,+0.117
48,0,07939,Dan Olsen,6.87,61,888,+0.115
50,0,10213,Dicky Pride,6.86,56,816,+0.161
51,0,01042,Paul Azinger,6.82,61,895,+0.279
52,0,08537,J.P. Hayes,6.80,60,883,+0.250
53,0,08339,Spike McRoy,6.79,72,1061,+0.139
54,0,21646,David Branshaw,6.71,67,999,+0.209
55,0,01724,Jeff Maggert,6.70,47,702,-0.128
56,0,12705,Cliff Kresge,6.69,69,1032,+0.319
57,0,10201,Matt Gogel,6.61,64,968,+0.094
58,0,06613,Tommy Tolles,6.57,55,837,+0.309
59,0,12510,Chad Campbell,6.51,70,1076,+0.114
60,0,22371,Aaron Baddeley,6.50,69,1062,+0.261
61,0,02239,Scott Verplank,6.49,61,940,+0.033
62,0,21731,Freddie Jacobson,6.47,56,865,+0.304
63,0,12823,Carlos Franco,6.46,80,1239,-0.013
64,0,01619,Skip Kendall,6.43,70,1088,+0.157
65,0,06197,Michael Allen,6.41,68,1061,+0.059
66,0,08337,Mike Heinen,6.39,45,704,+0.222
67,0,10860,Justin Leonard,6.37,58,910,+0.155
68,0,20127,Chris Riley,6.29,46,731,+0.283
69,0,24290,D.J. Brigman,6.24,59,946,+0.017
70,0,01035,Tommy Armour III,6.21,66,1063,+0.136
71,0,01577,Lee Janzen,6.20,60,968,+0.133
72,0,12652,Cameron Beckman,6.19,74,1196,+0.257
73,0,20104,Ken Duke,6.18,68,1100,+0.191
74,0,12602,Dean Wilson,6.16,77,1251,+0.169
75,0,22913,John Rollins,6.12,61,997,+0.230
76,0,12394,Tom Carter,6.02,80,1328,+0.063
76,0,10585,Scott McCarron,6.02,63,1046,+0.127
78,0,01666,Bernhard Langer,6.01,35,582,+0.057
78,0,01706,Davis Love III,6.01,51,849,+0.235
78,0,01938,David Peoples,6.01,63,1049,+0.333
81,0,01161,Mark Calcavecchia,6.00,49,816,+0.041
81,0,19846,Brian Gay,6.00,73,1217,+0.164
83,0,01941,Tom Pernice Jr.,5.99,71,1185,+0.113
84,0,01457,Jay Haas,5.95,50,841,+0.180
85,0,23623,Bo Van Pelt,5.94,67,1127,+0.030
86,0,25345,Carl Pettersson,5.93,64,1080,+0.109
87,0,20157,Retief Goosen,5.91,33,558,-0.061
88,0,12680,Shigeki Maruyama,5.90,64,1084,+0.250
89,0,24925,Jonathan Byrd,5.89,59,1002,+0.220
90,0,01553,John Huston,5.88,37,629,+0.216
91,0,19972,José Coceres,5.85,49,837,+0.041
92,0,10423,Mike Weir,5.83,45,772,+0.022
93,0,23320,Ryan Palmer,5.82,72,1237,+0.083
94,0,25396,Kevin Na,5.81,69,1187,+0.014
95,0,21961,Charles Howell III,5.80,61,1052,E
95,0,02101,Joey Sindelar,5.80,71,1225,-0.028
97,0,20593,Greg Chalmers,5.79,52,898,+0.365
97,0,22046,Geoff Ogilvy,5.79,60,1036,+0.267
99,0,06621,Joe Durant,5.74,60,1046,-0.017
100,0,19881,Robert Damron,5.73,66,1152,+0.106
100,0,12760,Danny Ellis,5.73,54,942,+0.111
102,0,08075,Jerry Kelly,5.72,69,1206,+0.087
103,0,01381,Fred Funk,5.70,65,1141,+0.062
103,0,21893,Brian Kortan,5.70,45,789,-0.067
103,0,01685,J.L. Lewis,5.70,70,1228,+0.271
106,0,20850,Daniel Chopra,5.65,72,1274,+0.167
107,0,20121,Todd Fischer,5.59,71,1269,-0.070
107,0,12753,David Morland IV,5.59,48,858,+0.250
109,0,01797,Rocco Mediate,5.57,27,485,+0.296
110,0,07867,Woody Austin,5.54,64,1155,+0.109
111,0,01142,Bart Bryant,5.53,50,904,+0.140
112,0,24357,K.J. Choi,5.51,48,871,+0.083
112,0,02104,Jeff Sluman,5.51,62,1126,+0.129
112,0,06595,Kevin Sutherland,5.51,51,925,+0.294
115,0,06214,Guy Boros,5.49,44,802,+0.227
116,0,01203,Russ Cochran,5.42,41,757,+0.024
116,0,20634,Peter Lonard,5.42,41,756,+0.171
118,0,20628,Arron Oberholser,5.40,46,852,-0.022
118,0,20572,Rod Pampling,5.40,58,1075,+0.017
120,0,01707,Steve Lowery,5.38,55,1023,+0.164
120,0,07749,Brett Quigley,5.38,65,1209,+0.277
122,0,20663,Brenden Pappas,5.36,73,1363,+0.110
123,0,20229,Stewart Cink,5.35,59,1102,+0.203
124,0,01527,Scott Hoch,5.34,34,637,+0.088
125,0,20585,Niclas Fasth,5.33,38,713,+0.079
126,0,06809,Bob Burns,5.31,57,1073,+0.123
126,0,22293,Heath Slocum,5.31,61,1149,+0.082
126,0,02245,Grant Waite,5.31,50,942,+0.440
129,0,08793,Tiger Woods,5.25,40,762,+0.125
130,0,01766,Billy Mayfair,5.22,67,1284,+0.119
131,0,21805,Harrison Frazar,5.21,51,979,E
132,0,06004,Stephen Ames,5.15,57,1106,+0.123
133,0,20029,Notah Begay III,5.12,45,879,+0.156
134,0,23325,Vaughn Taylor,5.10,54,1059,+0.259
135,0,08931,Glen Day,5.09,62,1219,E
136,0,20094,Jonathan Kaye,5.07,44,867,+0.318
137,0,10107,Deane Pappas,5.03,44,875,+0.295
137,0,01927,Dennis Paulson,5.03,46,914,+0.043
137,0,02002,John Riegger,5.03,34,676,+0.088
140,0,06575,Dudley Hart,5.02,32,637,+0.250
141,0,12782,Tim Herron,4.99,46,921,+0.348
142,0,06332,Neal Lancaster,4.97,64,1288,+0.281
142,0,20580,Andre Stolz,4.97,33,664,+0.273
144,0,21407,Arjun Atwal,4.94,51,1032,+0.157
145,0,23497,Tag Ridings,4.91,30,611,+0.200
146,0,01945,Kenny Perry,4.87,42,862,-0.048
147,0,01948,Tim Petrovic,4.83,58,1202,+0.069
148,0,20378,Mathias Grönberg,4.82,49,1016,+0.306
149,0,20433,Mark Hensby,4.80,55,1147,-0.036
150,0,06515,Shaun Micheel,4.79,47,982,+0.106
151,0,23613,Rich Barcelo,4.78,39,816,+0.333
151,0,24361,Pat Perez,4.78,57,1193,+0.193
153,0,06251,Chris DiMarco,4.76,51,1072,+0.059
153,0,01677,Tom Lehman,4.76,38,799,+0.105
153,0,10912,Craig Perks,4.76,42,882,+0.262
156,0,20498,Briny Baird,4.75,53,1116,+0.019
156,0,22405,Justin Rose,4.75,41,863,+0.024
158,0,23307,Roger Tambellini,4.74,46,970,+0.130
159,0,01127,Danny Briggs,4.72,49,1039,+0.163
160,0,21633,Steve Allan,4.68,57,1219,+0.070
161,0,20472,Alex Cejka,4.67,37,793,+0.054
162,0,23552,Hank Kuehne,4.65,54,1162,+0.296
163,0,08881,Tripp Isenhour,4.58,30,655,+0.467
164,0,07457,Steve Flesch,4.55,52,1143,+0.365
165,0,10885,Robert Allenby,4.53,45,993,-0.133
166,0,11032,Frank Lickliter II,4.36,47,1079,+0.213
167,0,02206,David Toms,4.23,34,804,-0.029
168,0,23621,Rory Sabbatini,4.22,44,1042,-0.114
169,0,24781,Hunter Mahan,4.20,48,1144,+0.021
170,0,25686,Jason Dufner,4.13,41,992,+0.293
170,0,21209,Sergio Garcia,4.13,29,702,+0.241
172,0,02106,Chris Smith,4.08,52,1275,+0.269
173,0,23353,J.J. Henry,4.05,51,1259,+0.216
174,0,24507,Jason Bohn,4.03,49,1216,+0.306
174,0,08835,Kris Cox,4.03,34,844,+0.206
176,0,06522,Ernie Els,3.97,23,580,+0.130
176,0,25900,Lucas Glover,3.97,46,1158,+0.043
178,0,23135,Tim Clark,3.96,39,985,+0.077
179,0,02246,Duffy Waldorf,3.93,32,815,+0.219
180,0,21959,Ted Purdy,3.88,55,1417,+0.145
181,0,19825,Darren Clarke,3.85,19,494,-0.158
182,0,21949,Joe Ogilvie,3.78,44,1165,+0.136
183,0,08123,Jeff Brehaut,3.73,48,1288,E
184,0,23614,Rich Beem,3.65,31,849,+0.161
185,0,01388,Robert Gamez,3.61,45,1246,+0.200
186,0,26287,Roland Thatcher,3.58,30,837,+0.167
187,0,24024,Zach Johnson,3.57,44,1233,+0.114
188,0,01226,Fred Couples,3.55,22,620,+0.682
189,0,01810,Phil Mickelson,3.48,26,747,+0.077
190,0,20098,Stuart Appleby,3.38,28,828,+0.214
191,0,19824,Craig Barlow,3.24,31,958,+0.065
192,0,24502,Adam Scott,3.19,18,564,E
193,0,11123,Chris Couch,3.15,20,634,+0.700
194,0,06567,Vijay Singh,3.06,38,1241,+0.053
195,0,23063,Scott Hend,3.00,29,966,+0.379
