RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,23063,Scott Hend,298.4,288288,966
2,0,23552,Hank Kuehne,298.3,346576,1162
3,0,01249,John Daly,296.2,275781,931
4,0,06567,Vijay Singh,295.3,366461,1241
5,0,23497,Tag Ridings,294.2,179751,611
6,0,11123,Chris Couch,294.1,186477,634
7,0,25900,Lucas Glover,292.1,338275,1158
7,0,02106,Chris Smith,292.1,372463,1275
9,0,08337,Mike Heinen,290.2,204288,704
10,0,23353,J.J. Henry,289.0,363861,1259
11,0,21633,Steve Allan,288.9,352145,1219
12,0,26287,Roland Thatcher,288.7,241605,837
13,0,20663,Brenden Pappas,288.4,393033,1363
14,0,01927,Dennis Paulson,288.3,263461,914
15,0,23614,Rich Beem,288.1,244585,849
16,0,06522,Ernie Els,288.0,167068,580
17,0,01706,Davis Love III,287.9,244411,849
18,0,01226,Fred Couples,287.8,178450,620
18,0,08793,Tiger Woods,287.8,219327,762
20,0,01810,Phil Mickelson,287.6,214841,747
20,0,01945,Kenny Perry,287.6,247929,862
22,0,22046,Geoff Ogilvy,287.5,297847,1036
23,0,08835,Kris Cox,287.1,242326,844
23,0,23307,Roger Tambellini,287.1,278480,970
25,0,21209,Sergio Garcia,287.0,201497,702
25,0,24781,Hunter Mahan,287.0,328330,1144
27,0,21805,Harrison Frazar,286.8,280769,979
28,0,23621,Rory Sabbatini,286.4,298412,1042
29,0,20580,Andre Stolz,286.3,190080,664
30,0,20850,Daniel Chopra,286.2,364621,1274
31,0,20098,Stuart Appleby,286.1,236872,828
31,0,19824,Craig Barlow,286.1,274074,958
31,0,24507,Jason Bohn,286.1,347894,1216
31,0,10107,Deane Pappas,286.1,250312,875
35,0,20572,Rod Pampling,286.0,307461,1075
36,0,24502,Adam Scott,285.9,161248,564
37,0,07939,Dan Olsen,285.7,253728,888
38,0,06332,Neal Lancaster,285.5,367756,1288
39,0,12394,Tom Carter,285.2,378685,1328
39,0,23320,Ryan Palmer,285.2,352838,1237
41,0,01035,Tommy Armour III,285.1,303076,1063
41,0,12782,Tim Herron,285.1,262584,921
43,0,25686,Jason Dufner,284.9,282659,992
43,0,20094,Jonathan Kaye,284.9,246983,867
45,0,20645,John Senden,284.7,339612,1193
45,0,23325,Vaughn Taylor,284.7,301457,1059
47,0,07867,Woody Austin,284.6,328693,1155
47,0,24925,Jonathan Byrd,284.6,285171,1002
49,0,10885,Robert Allenby,284.5,282469,993
49,0,23613,Rich Barcelo,284.5,232150,816
51,0,20378,Mathias Grönberg,284.4,288990,1016
52,0,24361,Pat Perez,284.3,339170,1193
53,0,10585,Scott McCarron,284.1,297143,1046
54,0,25345,Carl Pettersson,283.7,306360,1080
55,0,20498,Briny Baird,283.6,316508,1116
55,0,20157,Retief Goosen,283.6,158234,558
57,0,01707,Steve Lowery,283.4,289869,1023
58,0,01161,Mark Calcavecchia,283.2,231109,816
59,0,08123,Jeff Brehaut,283.1,364630,1288
59,0,21893,Brian Kortan,283.1,223401,789
59,0,21949,Joe Ogilvie,283.1,329796,1165
62,0,19825,Darren Clarke,283.0,139786,494
63,0,22405,Justin Rose,282.9,244177,863
64,0,07749,Brett Quigley,282.8,341960,1209
64,0,23623,Bo Van Pelt,282.8,318688,1127
66,0,24290,D.J. Brigman,282.5,267281,946
66,0,11032,Frank Lickliter II,282.5,304782,1079
68,0,21407,Arjun Atwal,282.4,291413,1032
68,0,01677,Tom Lehman,282.4,225677,799
70,0,12823,Carlos Franco,282.1,349523,1239
70,0,06515,Shaun Micheel,282.1,277062,982
72,0,10912,Craig Perks,282.0,248707,882
73,0,21959,Ted Purdy,281.9,399508,1417
74,0,12652,Cameron Beckman,281.8,336986,1196
75,0,12660,Jesper Parnevik,281.7,287037,1019
76,0,06197,Michael Allen,281.5,298619,1061
76,0,01388,Robert Gamez,281.5,350763,1246
78,0,21961,Charles Howell III,281.4,296076,1052
78,0,21731,Freddie Jacobson,281.4,243418,865
80,0,24024,Zach Johnson,281.3,346826,1233
80,0,02245,Grant Waite,281.3,264966,942
82,0,20634,Peter Lonard,281.2,212622,756
83,0,22913,John Rollins,281.1,280226,997
83,0,02101,Joey Sindelar,281.1,344306,1225
85,0,06613,Tommy Tolles,281.0,235186,837
86,0,12760,Danny Ellis,280.9,264655,942
86,0,01553,John Huston,280.9,176693,629
88,0,12510,Chad Campbell,280.7,302068,1076
89,0,12645,Brent Geiberger,280.6,324918,1158
90,0,07223,Brian Bateman,280.5,283035,1009
90,0,01685,J.L. Lewis,280.5,344485,1228
92,0,20585,Niclas Fasth,280.4,199947,713
92,0,02206,David Toms,280.4,225460,804
94,0,06595,Kevin Sutherland,280.3,259259,925
95,0,23108,Matt Kuchar,280.2,295381,1054
96,0,01948,Tim Petrovic,280.0,336612,1202
97,0,22371,Aaron Baddeley,279.9,297250,1062
97,0,20229,Stewart Cink,279.9,308464,1102
97,0,20433,Mark Hensby,279.9,321059,1147
100,0,08881,Tripp Isenhour,279.8,183251,655
100,0,25237,Kevin Muncrief,279.8,174323,623
102,0,01313,Steve Elkington,279.7,215346,770
103,0,06621,Joe Durant,279.6,292441,1046
104,0,22548,Patrick Sheehan,279.5,385960,1381
105,0,24357,K.J. Choi,279.4,243372,871
105,0,08931,Glen Day,279.4,340633,1219
107,0,06004,Stephen Ames,279.2,308740,1106
108,0,20593,Greg Chalmers,279.1,250632,898
108,0,20628,Arron Oberholser,279.1,237822,852
110,0,02002,John Riegger,279.0,188608,676
111,0,01797,Rocco Mediate,278.7,135173,485
111,0,02246,Duffy Waldorf,278.7,227100,815
113,0,23541,Ben Crane,278.6,312365,1121
113,0,01261,Jay Delsing,278.6,244908,879
115,0,10423,Mike Weir,278.5,214977,772
116,0,01941,Tom Pernice Jr.,278.3,329824,1185
117,0,06575,Dudley Hart,278.1,177150,637
117,0,01577,Lee Janzen,278.1,269227,968
119,0,20029,Notah Begay III,278.0,244365,879
120,0,21646,David Branshaw,277.9,277574,999
120,0,22621,Ben Curtis,277.9,158657,571
122,0,01042,Paul Azinger,277.7,248562,895
123,0,01127,Danny Briggs,277.5,288272,1039
123,0,20472,Alex Cejka,277.5,220044,793
123,0,10201,Matt Gogel,277.5,268590,968
126,0,01766,Billy Mayfair,277.3,356097,1284
127,0,01938,David Peoples,277.2,290792,1049
127,0,10425,Jay Williamson,277.2,345935,1248
129,0,20104,Ken Duke,277.1,304790,1100
130,0,06214,Guy Boros,277.0,222155,802
130,0,10733,Kent Jones,277.0,331041,1195
130,0,10860,Justin Leonard,277.0,252090,910
133,0,07457,Steve Flesch,276.6,316156,1143
133,0,01724,Jeff Maggert,276.6,194204,702
135,0,23338,David Gossett,276.4,193753,701
136,0,01473,Todd Hamilton,276.3,271360,982
137,0,20121,Todd Fischer,276.2,350489,1269
137,0,08339,Spike McRoy,276.2,293085,1061
139,0,01024,Billy Andrade,276.1,349214,1265
139,0,08537,J.P. Hayes,276.1,243812,883
139,0,12602,Dean Wilson,276.1,345384,1251
142,0,02104,Jeff Sluman,276.0,310791,1126
143,0,01666,Bernhard Langer,275.9,160551,582
144,0,06251,Chris DiMarco,275.6,295409,1072
144,0,12680,Shigeki Maruyama,275.6,298718,1084
146,0,01142,Bart Bryant,275.5,249019,904
147,0,23135,Tim Clark,275.2,271027,985
147,0,21878,Mark Wilson,275.2,218255,793
149,0,01361,Dan Forsman,274.9,248745,905
149,0,12705,Cliff Kresge,274.9,283688,1032
149,0,10213,Dicky Pride,274.9,224350,816
149,0,22293,Heath Slocum,274.9,315859,1149
153,0,06527,Steve Stricker,274.8,258327,940
154,0,01527,Scott Hoch,274.6,174902,637
155,0,01203,Russ Cochran,274.5,207816,757
155,0,25396,Kevin Na,274.5,325852,1187
155,0,02214,Kirk Triplett,274.5,250089,911
