RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,21528,Henrik Stenson,2.210,97.245,78.041,19.205,44
2,0,34046,Jordan Spieth,2.154,142.131,104.470,37.666,66
3,0,28089,Jason Day,2.106,120.054,86.649,33.407,57
4,0,25804,Bubba Watson,2.088,116.927,105.053,11.876,56
5,0,10809,Jim Furyk,1.634,84.986,86.239,-1.252,52
6,0,22405,Justin Rose,1.493,73.180,72.060,1.123,49
7,0,32839,Hideki Matsuyama,1.464,102.473,97.135,5.340,70
8,0,30925,Dustin Johnson,1.455,78.552,71.623,6.933,54
9,0,25364,Paul Casey,1.216,76.616,75.709,.912,63
10,0,34265,Will Wilcox,1.186,48.615,35.396,13.221,41
11,0,23108,Matt Kuchar,1.133,87.212,62.892,24.323,77
12,0,24024,Zach Johnson,1.120,78.417,75.643,2.779,70
13,0,34431,Robert Streb,1.093,104.938,68.382,36.561,96
14,0,32102,Rickie Fowler,1.088,62.024,44.412,17.616,57
15,0,36689,Brooks Koepka,1.081,70.245,42.877,27.372,65
16,0,21209,Sergio Garcia,1.045,37.624,38.412,-.785,36
17,0,33141,Keegan Bradley,1.018,65.156,69.635,-4.474,64
18,0,33448,Justin Thomas,.968,92.893,88.883,4.012,96
19,0,23320,Ryan Palmer,.960,51.852,43.921,7.937,54
20,0,29518,Brendan Steele,.958,72.798,76.351,-3.548,76
21,0,27141,J.B. Holmes,.944,62.313,62.613,-.297,66
21,0,25396,Kevin Na,.944,67.027,50.485,16.545,71
23,0,25632,Jimmy Walker,.933,59.711,15.449,44.265,64
24,0,20396,Lee Westwood,.879,28.112,9.067,19.047,32
25,0,34360,Patrick Reed,.859,65.248,35.333,29.919,76
26,0,30927,Brendon Todd,.830,63.067,18.851,44.219,76
27,0,33122,Russell Knox,.806,70.153,71.984,-1.827,87
28,0,24507,Jason Bohn,.777,67.614,46.844,20.776,87
28,0,34099,Harris English,.777,68.373,19.079,49.298,88
30,0,29926,Danny Lee,.729,72.890,35.448,37.447,100
31,0,29221,Webb Simpson,.700,44.777,86.154,-41.375,64
32,0,26300,Matt Jones,.664,44.474,17.609,26.870,67
33,0,29725,Tony Finau,.628,57.797,58.336,-.534,92
33,0,29478,Kevin Kisner,.628,59.060,36.548,22.517,94
35,0,27649,Brandt Snedeker,.607,45.544,1.471,44.075,75
36,0,26329,Louis Oosthuizen,.605,28.413,38.757,-10.342,47
37,0,25198,Francesco Molinari,.604,25.981,36.930,-10.949,43
38,0,24361,Pat Perez,.586,48.638,18.418,30.224,83
39,0,23983,Luke Donald,.584,31.525,15.948,15.579,54
40,0,01810,Phil Mickelson,.581,31.955,17.541,14.421,55
41,0,26596,Ryan Moore,.578,35.241,25.501,9.742,61
42,0,24490,George McNeill,.563,50.107,31.233,18.880,89
43,0,24138,Ian Poulter,.554,26.602,15.785,10.821,48
44,0,25834,Daniel Summerhays,.541,48.137,-9.194,57.334,89
45,0,33418,Shawn Stefani,.497,43.779,37.244,6.539,88
46,0,40026,Daniel Berger,.489,40.570,56.604,-16.031,83
47,0,20229,Stewart Cink,.468,30.900,24.191,6.713,66
48,0,34098,Russell Henley,.462,30.964,-7.805,38.773,67
49,0,23621,Rory Sabbatini,.461,30.396,37.393,-6.994,66
50,0,24924,Bill Haas,.460,32.670,48.916,-16.244,71
51,0,31202,William McGirt,.455,44.167,38.354,5.817,97
52,0,29420,Billy Horschel,.446,32.594,14.757,17.842,73
53,0,12510,Chad Campbell,.437,39.742,43.819,-4.074,91
54,0,08075,Jerry Kelly,.436,28.793,12.305,16.491,66
55,0,26289,Boo Weekley,.425,28.496,44.965,-16.467,67
56,0,35532,Tom Hoge,.415,26.965,26.671,.297,65
57,0,30926,Chris Kirk,.414,23.201,19.572,3.633,56
58,0,27644,Brian Harman,.413,32.185,13.799,18.390,78
59,0,34409,David Lingmerth,.405,29.985,27.089,2.900,74
60,0,25274,Steven Bowditch,.400,35.219,22.536,12.688,88
61,0,21961,Charles Howell III,.383,37.878,59.277,-21.395,99
62,0,31557,Jim Herman,.376,28.983,31.329,-2.342,77
63,0,32366,Kevin Chappell,.370,27.785,15.162,12.629,75
64,0,33419,Cameron Tringale,.369,29.152,19.283,9.874,79
65,0,26758,David Hearn,.356,30.278,-.159,30.442,85
66,0,32448,James Hahn,.355,27.682,23.949,3.736,78
67,0,25369,Jamie Donaldson,.341,10.915,-.263,11.182,32
68,0,34264,Hudson Swafford,.338,28.065,-1.829,29.897,83
69,0,12716,Charley Hoffman,.335,25.442,20.473,4.973,76
70,0,25818,Scott Piercy,.329,27.272,26.744,.535,83
71,0,23638,Brendon de Jonge,.312,28.734,29.421,-.684,92
72,0,27936,Martin Laird,.306,22.332,15.017,7.320,73
73,0,26851,Marc Leishman,.302,16.304,17.400,-1.093,54
73,0,06567,Vijay Singh,.302,20.808,56.047,-35.238,69
75,0,30944,Jason Kokrak,.293,23.479,24.475,-.993,80
76,0,27436,Graham DeLaet,.287,15.487,16.126,-.636,54
77,0,33413,Ben Martin,.280,21.530,11.785,9.749,77
78,0,27095,Nick Watney,.258,20.876,53.541,-32.658,81
79,0,24357,K.J. Choi,.256,14.595,-9.082,23.678,57
80,0,35541,John Peterson,.251,19.311,33.475,-14.163,77
81,0,25345,Carl Pettersson,.236,22.652,-9.549,32.205,96
82,0,24925,Jonathan Byrd,.232,11.854,7.559,4.296,51
83,0,25686,Jason Dufner,.222,10.634,44.236,-33.599,48
84,0,25720,Chad Collins,.214,13.454,12.679,.778,63
85,0,24502,Adam Scott,.206,6.577,19.240,-12.662,32
86,0,31323,Gary Woodland,.198,10.685,6.514,4.173,54
87,0,33461,Morgan Hoffmann,.196,13.547,-2.432,15.981,69
87,0,30711,Colt Knost,.196,14.488,-11.244,25.734,74
89,0,23800,Bryce Molder,.189,14.528,-24.572,39.105,77
90,0,29479,Scott Brown,.185,14.987,17.487,-2.495,81
91,0,33399,Adam Hadwin,.183,14.861,-4.165,19.029,81
92,0,24140,Sean O'Hair,.180,14.606,.953,13.657,81
93,0,27770,Camilo Villegas,.176,13.034,-1.409,14.447,74
94,0,40058,Zac Blair,.171,15.011,-31.344,46.359,88
95,0,29476,Kyle Reifers,.136,10.903,8.050,2.855,80
96,0,27214,Kevin Streelman,.133,9.713,25.694,-15.978,73
97,0,36699,Patrick Rodgers,.129,5.956,6.113,-.153,46
98,0,34261,Scott Langley,.126,9.981,8.559,1.424,79
99,0,33667,Carlos Ortiz,.124,10.287,-4.006,14.294,83
100,0,24781,Hunter Mahan,.120,7.805,-17.541,25.349,65
101,0,26951,Johnson Wagner,.095,5.419,-6.150,11.571,57
102,0,28475,Jeff Overton,.091,6.825,-1.024,7.852,75
103,0,22892,Jason Gore,.089,5.189,9.104,-3.911,58
104,0,34174,John Huh,.088,7.865,-17.001,24.869,89
105,0,24494,Erik Compton,.084,5.892,-26.969,32.863,70
106,0,20645,John Senden,.082,4.159,7.265,-3.103,51
107,0,26476,Chez Reavie,.080,4.021,17.114,-13.091,50
108,0,02206,David Toms,.076,4.198,9.806,-5.604,55
109,0,26331,Charl Schwartzel,.073,3.011,25.782,-22.769,41
110,0,27466,Spencer Levin,.070,5.794,11.205,-5.409,83
111,0,28259,Sangmoon Bae,.059,5.186,-17.677,22.865,88
112,0,28500,Martin Flores,.038,3.038,20.111,-17.069,79
113,0,21878,Mark Wilson,.026,2.118,7.415,-5.295,81
114,0,22056,Cameron Percy,.020,1.179,9.445,-8.263,58
115,0,20771,Steven Alker,.017,.838,8.136,-7.295,50
116,0,35545,Blayne Barber,.015,.970,-18.726,19.697,63
117,0,27963,Chris Stroud,.002,.154,12.108,-11.951,68
118,0,30946,Alex Prugh,-.004,-.254,3.675,-3.926,72
119,0,37454,Whee Kim,-.013,-.726,4.513,-5.235,56
120,0,35539,Luke Guthrie,-.037,-2.504,-9.973,7.472,68
