RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,25804,Bubba Watson,1.194,66.847,56
2,0,30925,Dustin Johnson,.960,51.834,54
3,0,28089,Jason Day,.772,44.027,57
4,0,24502,Adam Scott,.682,21.818,32
5,0,36699,Patrick Rodgers,.680,31.268,46
6,0,37273,Derek Ernst,.676,42.578,63
7,0,26331,Charl Schwartzel,.669,27.445,41
8,0,34265,Will Wilcox,.662,27.132,41
9,0,25900,Lucas Glover,.591,42.520,72
10,0,32334,Charlie Beljan,.583,33.212,57
11,0,27214,Kevin Streelman,.563,41.072,73
12,0,22405,Justin Rose,.550,26.937,49
13,0,26289,Boo Weekley,.548,36.730,67
14,0,32839,Hideki Matsuyama,.496,34.719,70
15,0,34046,Jordan Spieth,.494,32.635,66
16,0,12716,Charley Hoffman,.470,35.724,76
17,0,31557,Jim Herman,.467,35.930,77
18,0,30944,Jason Kokrak,.464,37.110,80
19,0,21528,Henrik Stenson,.448,19.704,44
20,0,21209,Sergio Garcia,.442,15.901,36
21,0,33141,Keegan Bradley,.436,27.888,64
22,0,27141,J.B. Holmes,.427,28.194,66
23,0,36689,Brooks Koepka,.407,26.468,65
24,0,25364,Paul Casey,.392,24.690,63
25,0,26476,Chez Reavie,.384,19.221,50
26,0,29725,Tony Finau,.383,35.194,92
27,0,34409,David Lingmerth,.379,28.016,74
28,0,40026,Daniel Berger,.372,30.893,83
29,0,28780,Nicholas Thompson,.370,25.909,70
30,0,29420,Billy Horschel,.366,26.705,73
31,0,29518,Brendan Steele,.363,27.623,76
32,0,23320,Ryan Palmer,.356,19.246,54
33,0,33667,Carlos Ortiz,.355,29.503,83
34,0,33448,Justin Thomas,.352,33.812,96
35,0,28500,Martin Flores,.349,27.601,79
36,0,24358,Robert Garrigus,.345,19.002,55
37,0,34098,Russell Henley,.343,22.976,67
38,0,21961,Charles Howell III,.340,33.678,99
39,0,26329,Louis Oosthuizen,.339,15.951,47
40,0,35541,John Peterson,.333,25.661,77
41,0,33418,Shawn Stefani,.332,29.246,88
42,0,20645,John Senden,.331,16.863,51
43,0,25198,Francesco Molinari,.324,13.933,43
44,0,27644,Brian Harman,.322,25.140,78
45,0,30946,Alex Prugh,.319,22.941,72
46,0,29478,Kevin Kisner,.316,29.676,94
47,0,27095,Nick Watney,.310,25.136,81
48,0,34431,Robert Streb,.309,29.669,96
49,0,29223,Sam Saunders,.307,19.318,63
50,0,29479,Scott Brown,.296,23.939,81
51,0,22892,Jason Gore,.284,16.470,58
52,0,23638,Brendon de Jonge,.276,25.357,92
53,0,34264,Hudson Swafford,.273,22.637,83
54,0,25818,Scott Piercy,.270,22.417,83
55,0,30736,Oscar Fraustro,.259,10.347,40
56,0,28259,Sangmoon Bae,.251,22.059,88
57,0,26300,Matt Jones,.249,16.681,67
58,0,25686,Jason Dufner,.242,11.609,48
59,0,24024,Zach Johnson,.240,16.777,70
60,0,29221,Webb Simpson,.225,14.431,64
61,0,35545,Blayne Barber,.208,13.135,63
62,0,27466,Spencer Levin,.204,16.947,83
63,0,01706,Davis Love III,.189,7.939,42
64,0,25191,Gonzalo Fernandez-Castaño,.187,11.768,63
65,0,31323,Gary Woodland,.177,9.574,54
66,0,27064,Jhonattan Vegas,.173,12.474,72
67,0,32366,Kevin Chappell,.160,11.972,75
68,0,24140,Sean O'Hair,.153,12.401,81
69,0,06567,Vijay Singh,.152,10.479,69
70,0,25892,Steve Wheatcroft,.148,10.668,72
71,0,24924,Bill Haas,.140,9.960,71
72,0,22046,Geoff Ogilvy,.138,4.841,35
73,0,23108,Matt Kuchar,.136,10.495,77
74,0,12510,Chad Campbell,.130,11.838,91
75,0,22056,Cameron Percy,.128,7.437,58
76,0,32102,Rickie Fowler,.123,6.999,57
76,0,35451,Scott Pinckney,.123,9.126,74
