RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,08375,Paul Stankowski,121' 0",2782' 9",23
2,0,25273,Andrew Buckle,117' 0",5969' 0",51
3,0,22046,Geoff Ogilvy,116' 9",5488' 5",47
4,0,29718,Anthony Kim,116' 7",6177' 1",53
5,0,27141,J.B. Holmes,116' 0",3944',34
6,0,22295,Darron Stiles,115' 8",3816' 0",33
7,0,24358,Robert Garrigus,111' 0",6104',55
8,0,20472,Alex Cejka,108' 0",4966' 2",46
9,0,24924,Bill Haas,106' 9",5338' 6",50
10,0,20766,Padraig Harrington,106' 6",3621' 2",34
11,0,23349,Charles Warren,106' 5",6596' 1",62
12,0,01797,Rocco Mediate,104' 6",5643' 7",54
13,0,01249,John Daly,103' 11",2181',21
14,0,10885,Robert Allenby,103' 3",5267' 2",51
15,0,21528,Henrik Stenson,102' 4",2865' 0",28
16,0,01706,Davis Love III,101' 8",4168' 3",41
17,0,26679,Kevin Stadler,101' 7",4877' 9",48
18,0,12716,Charley Hoffman,100' 7",5932' 7",59
19,0,10733,Kent Jones,100' 6",6130' 3",61
20,0,21949,Joe Ogilvie,100' 4",6820' 6",68
21,0,01024,Billy Andrade,100' 2",5607' 3",56
22,0,06567,Vijay Singh,100' 1",6605' 8",66
23,0,23800,Bryce Molder,100' 0",2699' 3",27
24,0,24980,Scott Gutschewski,99' 11",2696',27
25,0,22892,Jason Gore,99' 8",4784' 0",48
26,0,02214,Kirk Triplett,99' 7",5677' 2",57
27,0,07749,Brett Quigley,98' 11",3560' 3",36
28,0,21805,Harrison Frazar,98' 9",3951' 5",40
29,0,07223,Brian Bateman,98' 8",3257' 3",33
30,0,02101,Joey Sindelar,98' 7",4733' 5",48
31,0,27770,Camilo Villegas,98' 6",3938' 7",40
32,0,01945,Kenny Perry,98' 5",5214' 6",53
33,0,10213,Dicky Pride,98' 1",4119' 9",42
34,0,21753,Brian Davis,97' 11",5580' 3",57
34,0,28158,Steve Marino,97' 11",5289' 6",54
36,0,01132,Mark Brooks,97' 7",2635' 1",27
37,0,27649,Brandt Snedeker,97' 4",5838' 4",60
37,0,21878,Mark Wilson,97' 4",6036' 8",62
39,0,20105,Jeff Gove,97' 2",6606' 6",68
40,0,24781,Hunter Mahan,97' 1",4467' 2",46
41,0,23983,Luke Donald,96' 7",3862' 7",40
41,0,21959,Ted Purdy,96' 7",4926' 9",51
41,0,06527,Steve Stricker,96' 7",5312' 7",55
44,0,22913,John Rollins,96' 6",5887' 5",61
45,0,23320,Ryan Palmer,96' 5",4725' 8",49
45,0,24457,Jaco Van Zyl,96' 5",3086' 6",32
47,0,27120,Troy Matteson,96' 4",4622' 2",48
48,0,25804,Bubba Watson,96' 1",3073' 8",32
49,0,06595,Kevin Sutherland,95' 11",4989' 8",52
50,0,06522,Ernie Els,95' 7",2866' 8",30
50,0,23325,Vaughn Taylor,95' 7",5351' 7",56
52,0,12782,Tim Herron,95' 6",5727' 7",60
53,0,20229,Stewart Cink,95' 3",5812' 9",61
53,0,12195,Tom Johnson,95' 3",4192' 9",44
55,0,20645,John Senden,94' 9",5306' 2",56
56,0,24361,Pat Perez,94' 8",3408' 0",36
56,0,27095,Nick Watney,94' 8",4826' 1",51
58,0,10117,Bob Heintz,94' 7",4162',44
59,0,12602,Dean Wilson,94' 2",4801' 7",51
60,0,24290,D.J. Brigman,94' 0",3664' 5",39
61,0,23788,D.J. Trahan,93' 9",4874' 5",52
62,0,26951,Johnson Wagner,93' 5",5139' 2",55
63,0,20498,Briny Baird,93' 4",6718' 2",72
64,0,24925,Jonathan Byrd,93' 0",4279' 6",46
64,0,08537,J.P. Hayes,93' 0",5114' 1",55
66,0,23497,Tag Ridings,92' 9",2318' 4",25
67,0,11123,Chris Couch,92' 6",4717' 7",51
