RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,124.18,4346.33,35
2,0,08793,Tiger Woods,123.95,4090.34,33
3,0,27141,J.B. Holmes,123.79,4456.59,36
4,0,01249,John Daly,122.25,3056.25,25
5,0,01810,Phil Mickelson,122.04,3905.43,32
6,0,24358,Robert Garrigus,121.61,7053.20,58
7,0,23322,Brett Wetterich,121.43,5949.97,49
8,0,11123,Chris Couch,120.83,6525.03,54
9,0,21528,Henrik Stenson,120.33,3369.32,28
10,0,21961,Charles Howell III,119.96,6358.02,53
11,0,21209,Sergio Garcia,119.95,5157.98,43
12,0,27095,Nick Watney,119.90,6354.92,53
13,0,12716,Charley Hoffman,119.64,7776.46,65
14,0,25900,Lucas Glover,119.63,6460.12,54
15,0,24980,Scott Gutschewski,119.49,3226.25,27
16,0,23497,Tag Ridings,119.28,3101.35,26
17,0,22892,Jason Gore,118.85,6655.76,56
18,0,29718,Anthony Kim,118.64,6525.23,55
19,0,24924,Bill Haas,118.60,6285.66,53
20,0,22371,Aaron Baddeley,118.45,4619.61,39
21,0,24361,Pat Perez,118.38,4261.71,36
22,0,24502,Adam Scott,118.33,5324.93,45
23,0,01706,Davis Love III,118.29,5086.46,43
24,0,21805,Harrison Frazar,117.93,5070.90,43
25,0,20645,John Senden,117.91,7310.11,62
26,0,20691,Greg Owen,117.89,4951.30,42
27,0,20157,Retief Goosen,117.83,3181.40,27
28,0,27120,Troy Matteson,117.49,6461.96,55
29,0,23349,Charles Warren,117.40,7748.14,66
30,0,24490,George McNeill,117.37,6572.85,56
31,0,26289,Boo Weekley,117.17,5623.93,48
32,0,06522,Ernie Els,117.09,3863.85,33
33,0,20850,Daniel Chopra,116.74,7938.45,68
34,0,26882,Michael Sim,116.69,3734.20,32
35,0,29476,Kyle Reifers,116.60,3498.12,30
36,0,10885,Robert Allenby,116.58,6178.55,53
37,0,22046,Geoff Ogilvy,116.35,6049.95,52
38,0,20766,Padraig Harrington,116.24,3952.04,34
39,0,28486,Michael Putnam,116.18,5344.20,46
40,0,23353,J.J. Henry,116.10,5572.64,48
41,0,24925,Jonathan Byrd,116.03,5685.60,49
42,0,23320,Ryan Palmer,115.91,6143.26,53
43,0,24140,Sean O'Hair,115.87,7415.80,64
44,0,27770,Camilo Villegas,115.81,4979.80,43
45,0,27702,Matt Hendrix,115.71,4281.32,37
46,0,08375,Paul Stankowski,115.69,2892.23,25
47,0,26679,Kevin Stadler,115.56,5893.79,51
48,0,23638,Brendon de Jonge,115.55,4853.11,42
49,0,22378,Trevor Immelman,115.51,4389.55,38
50,0,06373,José María Olazábal,115.26,2996.77,26
51,0,25892,Steve Wheatcroft,115.23,4494.14,39
52,0,23623,Bo Van Pelt,115.21,7604.10,66
53,0,20098,Stuart Appleby,115.13,6792.93,59
54,0,24912,Will MacKenzie,115.07,7939.69,69
55,0,28475,Jeff Overton,114.99,4369.57,38
56,0,20574,Mathew Goggin,114.97,7127.86,62
57,0,21959,Ted Purdy,114.89,6319.13,55
58,0,21633,Steve Allan,114.72,4359.54,38
59,0,22913,John Rollins,114.68,7339.60,64
60,0,20229,Stewart Cink,114.63,7451.05,65
61,0,06621,Joe Durant,114.59,6531.41,57
62,0,23621,Rory Sabbatini,114.53,5039.49,44
63,0,20378,Mathias Grönberg,114.47,7097.04,62
64,0,12714,Chris Tidland,114.31,4915.31,43
65,0,23788,D.J. Trahan,114.29,6514.69,57
66,0,07749,Brett Quigley,114.27,4456.64,39
67,0,24781,Hunter Mahan,114.26,5827.07,51
68,0,06567,Vijay Singh,114.20,7765.68,68
69,0,06197,Michael Allen,114.17,4909.45,43
70,0,01161,Mark Calcavecchia,114.10,6503.66,57
71,0,21660,Jason Schultz,114.02,3306.63,29
72,0,06034,Marco Dawson,113.90,4783.83,42
73,0,12510,Chad Campbell,113.89,6491.69,57
74,0,26596,Ryan Moore,113.83,7171.08,63
75,0,20572,Rod Pampling,113.81,6601.12,58
76,0,20104,Ken Duke,113.78,6371.74,56
76,0,25345,Carl Pettersson,113.78,8647.21,76
78,0,25273,Andrew Buckle,113.77,6029.78,53
79,0,01945,Kenny Perry,113.59,6247.49,55
80,0,26360,Bubba Dickerson,113.56,3066.04,27
81,0,02036,Jim Rutledge,113.55,3065.82,27
82,0,07223,Brian Bateman,113.53,3746.62,33
83,0,01577,Lee Janzen,113.51,4313.19,38
84,0,19824,Craig Barlow,113.43,2949.13,26
85,0,08123,Jeff Brehaut,113.40,4195.74,37
86,0,28158,Steve Marino,113.37,6348.89,56
87,0,26951,Johnson Wagner,113.35,6574.58,58
88,0,23800,Bryce Molder,113.29,3285.41,29
88,0,01948,Tim Petrovic,113.29,6570.85,58
90,0,22405,Justin Rose,113.27,3964.41,35
91,0,23613,Rich Barcelo,113.26,5323.43,47
92,0,27933,John Merrick,113.16,6563.23,58
93,0,23614,Rich Beem,113.08,6671.97,59
94,0,27963,Chris Stroud,113.07,4296.82,38
95,0,20160,Charlie Wi,112.97,6665.12,59
96,0,01473,Todd Hamilton,112.85,4626.79,41
97,0,06515,Shaun Micheel,112.84,5077.64,45
98,0,26881,Jarrod Lyle,112.72,5410.55,48
99,0,20634,Peter Lonard,112.71,5973.45,53
100,0,12782,Tim Herron,112.70,7100.17,63
100,0,01677,Tom Lehman,112.70,4282.59,38
102,0,07867,Woody Austin,112.67,7549.05,67
103,0,11032,Frank Lickliter II,112.58,7317.65,65
