RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.615,1.021,1.194,0.399,74
2,0,28237,Rory McIlroy,1.938,0.907,0.721,0.309,58
3,0,35450,Patrick Cantlay,1.564,0.852,0.564,0.147,62
4,0,50525,Collin Morikawa,1.547,0.487,1.012,0.047,62
5,0,46717,Viktor Hovland,1.412,0.741,0.610,0.060,70
6,0,46970,Jon Rahm,1.343,0.360,0.878,0.104,60
7,0,29725,Tony Finau,1.257,0.288,0.789,0.178,73
8,0,30911,Tommy Fleetwood,1.205,0.388,0.462,0.355,62
9,0,48081,Xander Schauffele,1.201,0.265,0.880,0.056,62
10,0,52955,Ludvig Åberg,1.185,0.982,-0.006,0.209,45
11,0,32102,Rickie Fowler,1.136,0.126,0.740,0.269,81
12,0,34363,Tyrrell Hatton,1.081,0.533,0.419,0.128,66
13,0,39997,Corey Conners,1.055,0.586,0.534,-0.066,75
14,0,45242,Kevin Yu,1.040,0.803,0.204,0.033,48
15,0,39977,Max Homa,1.026,0.317,0.475,0.233,77
16,0,32839,Hideki Matsuyama,1.020,0.086,0.609,0.324,70
17,0,34098,Russell Henley,1.003,0.197,0.556,0.249,73
18,0,33448,Justin Thomas,0.998,0.198,0.362,0.436,67
19,0,37455,Si Woo Kim,0.984,0.462,0.321,0.201,86
20,0,33204,Shane Lowry,0.937,0.408,0.461,0.067,56
21,0,31323,Gary Woodland,0.926,0.533,0.741,-0.349,74
22,0,36799,Stephan Jaeger,0.924,0.332,0.213,0.387,107
23,0,33948,Byeong Hun An,0.892,0.447,0.048,0.396,89
24,0,46414,Aaron Rai,0.877,0.343,0.384,0.149,87
25,0,45157,Cam Davis,0.865,0.514,0.160,0.191,80
26,0,39971,Sungjae Im,0.842,0.467,0.095,0.279,85
27,0,55182,Tom Kim,0.834,0.128,0.655,0.050,76
28,0,51766,Wyndham Clark,0.831,0.139,0.436,0.255,86
29,0,39324,J.J. Spaun,0.799,0.293,0.268,0.237,83
30,0,22405,Justin Rose,0.789,-0.044,0.560,0.272,54
31,0,25900,Lucas Glover,0.787,0.282,0.566,-0.061,80
31,0,27129,Luke List,0.787,0.641,0.267,-0.123,83
33,0,34255,Joseph Bramlett,0.751,0.226,0.368,0.157,68
34,0,56630,Akshay Bhatia,0.746,0.389,0.394,-0.037,58
