RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,24925,Jonathan Byrd,0.527,19.493,37
2,0,22371,Aaron Baddeley,0.479,28.249,59
3,0,30927,Brendon Todd,0.454,39.066,86
4,0,33448,Justin Thomas,0.436,29.239,67
5,0,46046,Scottie Scheffler,0.399,29.555,74
6,0,33948,Byeong Hun An,0.396,35.269,89
7,0,36799,Stephan Jaeger,0.387,41.455,107
8,0,35506,Mackenzie Hughes,0.383,27.166,71
9,0,23108,Matt Kuchar,0.359,28.375,79
10,0,30911,Tommy Fleetwood,0.355,21.993,62
11,0,27349,Alex Noren,0.341,24.899,73
12,0,54591,Ben Griffin,0.330,29.721,90
13,0,32839,Hideki Matsuyama,0.324,22.672,70
14,0,28237,Rory McIlroy,0.309,17.937,58
15,0,30926,Chris Kirk,0.283,21.540,76
16,0,47591,Eric Cole,0.282,30.728,109
17,0,39971,Sungjae Im,0.279,23.756,85
18,0,48084,Wesley Bryan,0.278,8.625,31
18,0,55789,Taylor Montgomery,0.278,23.614,85
20,0,22405,Justin Rose,0.272,14.698,54
21,0,32102,Rickie Fowler,0.269,21.752,81
22,0,51634,Sahith Theegala,0.267,22.975,86
23,0,34466,Peter Malnati,0.265,20.103,76
24,0,46435,Austin Cook,0.261,14.599,56
25,0,35461,Beau Hossler,0.259,22.789,88
26,0,32791,K.H. Lee,0.257,21.060,82
27,0,51766,Wyndham Clark,0.255,21.933,86
28,0,34046,Jordan Spieth,0.250,15.522,62
29,0,34098,Russell Henley,0.249,18.195,73
30,0,34610,Matthias Schwab,0.242,19.578,81
31,0,40098,Matt Fitzpatrick,0.238,14.982,63
32,0,39324,J.J. Spaun,0.237,19.693,83
33,0,39977,Max Homa,0.233,17.945,77
34,0,48887,Matt Wallace,0.228,15.260,67
35,0,46441,Robby Shelton,0.219,18.152,83
36,0,40058,Zac Blair,0.218,13.724,63
37,0,24502,Adam Scott,0.212,11.023,52
38,0,50188,S.H. Kim,0.210,20.413,97
39,0,52955,Ludvig Åberg,0.209,9.399,45
39,0,35449,Adam Long,0.209,17.961,86
41,0,32640,Troy Merritt,0.206,14.436,70
42,0,45522,Christiaan Bezuidenhout,0.205,16.219,79
43,0,36801,Mark Hubbard,0.203,18.073,89
44,0,37455,Si Woo Kim,0.201,17.286,86
