RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
134,0,55789,Taylor Montgomery,197,381,51.7
134,0,33486,Roger Sloan,197,397,49.6
136,0,50484,Hayden Springer,196,404,48.5
136,0,27064,Jhonattan Vegas,196,411,47.7
138,0,47679,Victor Perez,195,404,48.3
138,0,29221,Webb Simpson,195,365,53.4
140,0,40026,Daniel Berger,193,377,51.2
140,0,46717,Viktor Hovland,193,397,48.6
142,0,45609,Tyler Duncan,191,347,55.0
143,0,50497,Adrien Dumont de Chassart,189,366,51.6
143,0,32757,Patton Kizzire,189,363,52.1
143,0,26476,Chez Reavie,189,374,50.5
146,0,30163,Henrik Norlander,187,340,55.0
147,0,48153,Matthieu Pavon,186,382,48.7
147,0,48119,Ben Taylor,186,361,51.5
149,0,48699,Callum Tarren,185,373,49.6
150,0,52666,Sami Valimaki,184,415,44.3
151,0,27214,Kevin Streelman,182,379,48.0
152,0,50493,Justin Suh,181,422,42.9
153,0,59442,Parker Coody,177,338,52.4
154,0,28420,Ryan Brehm,174,301,57.8
154,0,27649,Brandt Snedeker,174,378,46.0
156,0,34021,Bud Cauley,171,339,50.4
156,0,35310,Lanto Griffin,171,360,47.5
156,0,46113,Ryan McCormick,171,338,50.6
156,0,36871,Matt NeSmith,171,363,47.1
160,0,34374,Erik Barnes,170,315,54.0
161,0,48319,Tom Whitney,166,325,51.1
162,0,47663,Kevin Dougherty,163,317,51.4
163,0,52372,Cameron Champ,158,324,48.8
164,0,54576,Patrick Fishburn,155,345,44.9
165,0,56149,Wilson Furr,153,316,48.4
165,0,52453,Nicolai HÃ¸jgaard,153,304,50.3
167,0,32070,Rafael Campos,152,296,51.4
168,0,37212,Paul Barjon,150,291,51.5
168,0,32367,Jorge Campillo,150,291,51.5
170,0,29478,Kevin Kisner,147,324,45.4
170,0,32333,Kevin Tway,147,302,48.7
172,0,35617,Martin Trainer,143,303,47.2
173,0,51070,Vincent Norrman,141,259,54.4
174,0,29535,Brice Garnett,139,290,47.9
175,0,27330,Josh Teater,138,255,54.1
176,0,32366,Kevin Chappell,137,277,49.5
176,0,24024,Zach Johnson,137,310,44.2
178,0,33968,ThorbjÃ¸rn Olesen,134,286,46.9
179,0,23320,Ryan Palmer,132,254,52.0
179,0,27770,Camilo Villegas,132,270,48.9
181,0,48084,Wesley Bryan,128,243,52.7
181,0,50095,Austin Smotherman,128,242,52.9
183,0,47806,Raul Pereda,127,266,47.7
184,0,60767,Blaine Hale Jr.,122,252,48.4
