RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,29936,Ryan Fox,88' 10",WM Phoenix Open,1,13
2,0,46035,Callum Shinkwin,86' 3",Genesis Scottish Open,1,7
3,0,34256,Andrew Putnam,82' 5",3M Open,1,6
4,0,40006,Erik van Rooyen,80' 5",Genesis Scottish Open,3,15
5,0,28775,Nate Lashley,79' 5",THE PLAYERS,3,12
6,0,27139,David Skinns,77' 2",3M Open,4,18
7,0,54628,Lee Hodges,75' 9",Genesis,4,6
8,0,32333,Kevin Tway,74' 10",Procore,2,5
9,0,51977,Max Greyserman,74' 7",Wyndham,2,14
10,0,54783,Dylan Wu,74' 1",Sony Open,3,13
11,0,32839,Hideki Matsuyama,73' 10",BMW Championship,1,4
12,0,47993,Denny McCarthy,73' 4",Wells Fargo,1,17
13,0,36699,Patrick Rodgers,72' 9",The RSM Classic,1,12
14,0,39324,J.J. Spaun,72' 7",THE CJ CUP,2,1
15,0,35461,Beau Hossler,72' 0",Wyndham,4,11
16,0,35506,Mackenzie Hughes,69' 4",Genesis Scottish Open,2,11
17,0,56555,Myles Creighton,68' 5",RBC Canadian,1,7
18,0,57900,Chandler Phillips,68' 2",RBC Canadian,3,6
19,0,27214,Kevin Streelman,67' 7",Charles Schwab,1,11
20,0,34563,Chesson Hadley,67' 4",WM Phoenix Open,2,14
21,0,36326,David Lipsky,67' 3",Mexico Open,1,17
22,0,46442,Maverick McNealy,67' 0",Shriners Children's Open,2,6
23,0,27506,Oliver Wilson,66' 11",Genesis Scottish Open,1,12
24,0,24024,Zach Johnson,66' 10",THE CJ CUP,3,2
25,0,51287,Ryo Hisatsune,66' 9",Sony Open,4,10
26,0,30927,Brendon Todd,66' 7",Valero,1,6
27,0,34099,Harris English,65' 11",WM Phoenix Open,3,10
28,0,47079,Harrison Endycott,65' 8",RBC Canadian,2,17
29,0,48119,Ben Taylor,65' 7",John Deere,2,15
30,0,46464,Jordan Smith,65' 5",Genesis Scottish Open,1,12
31,0,32366,Kevin Chappell,65' 4",WM Phoenix Open,3,5
32,0,35314,Andy Sullivan,65' 2",ISCO Championship,3,11
33,0,31323,Gary Woodland,65' 1",WM Phoenix Open,2,6
34,0,23320,Ryan Palmer,64' 9",Cognizant Classic,2,13
35,0,51997,Andrew Novak,64' 6",Cognizant Classic,4,3
36,0,39971,Sungjae Im,64' 5",TOUR Championship,4,2
37,0,37378,Min Woo Lee,64' 1",Arnold Palmer,1,1
38,0,37157,Renato Paratore,63' 11",ISCO Championship,1,4
39,0,46414,Aaron Rai,63' 10",Charles Schwab,1,11
40,0,29420,Billy Horschel,63' 9",Cognizant Classic,3,16
41,0,39977,Max Homa,63' 7",Arnold Palmer,2,2
42,0,35532,Tom Hoge,63' 6",Sony Open,2,1
43,0,39997,Corey Conners,63' 0",THE PLAYERS,2,11
44,0,27747,Hiroshi Iwata,62' 10",ZOZO CHAMPIONSHIP,4,17
45,0,49036,Lorenzo Scalise,62' 9",ISCO Championship,1,5
46,0,50095,Austin Smotherman,62' 2",Myrtle Beach,2,3
47,0,27644,Brian Harman,62' 1",Valero,4,7
48,0,55893,Sam Stevens,61' 10",Genesis Scottish Open,2,14
49,0,50497,Adrien Dumont de Chassart,61' 9",Sony Open,2,7
50,0,60767,Blaine Hale Jr.,61' 8",Mexico Open,1,6
50,0,49947,Taylor Moore,61' 8",Genesis Scottish Open,2,8
52,0,36689,Brooks Koepka,61' 5",PGA Championship,2,3
53,0,34374,Erik Barnes,61' 4",Charles Schwab,2,12
54,0,35449,Adam Long,61' 2",John Deere,1,9
55,0,45242,Kevin Yu,60' 8",Cognizant Classic,3,5
56,0,29908,C.T. Pan,60' 1",Sony Open,2,14
57,0,39954,Cody Gribble,59' 7",THE CJ CUP,1,16
58,0,52215,Robert MacIntyre,59' 5",Sony Open,3,6
58,0,39327,Ben Silverman,59' 5",Wyndham,2,6
60,0,47806,Raul Pereda,59' 3",Sanderson Farms,1,9
61,0,45522,Christiaan Bezuidenhout,59' 1",Genesis,2,5
61,0,51349,Nico Echavarria,59' 1",Charles Schwab,1,11
63,0,45157,Cam Davis,58' 9",Wyndham,2,12
64,0,64267,Blaze Akana,58' 7",Sony Open,2,5
65,0,52372,Cameron Champ,58' 6",3M Open,2,13
66,0,54591,Ben Griffin,58' 4",Myrtle Beach,3,3
66,0,47347,Adam Schenk,58' 4",WM Phoenix Open,4,11
66,0,52513,Carson Young,58' 4",Farmers,2,11
69,0,40162,Justin Lower,58' 3",Genesis Scottish Open,3,9
70,0,19803,Ryan Armour,58' 2",Sanderson Farms,2,16
71,0,48081,Xander Schauffele,58' 0",THE PLAYERS,3,14
72,0,51680,Alistair Docherty,57' 11",Myrtle Beach,4,11
72,0,59143,Mac Meissner,57' 11",Myrtle Beach,4,13
74,0,31646,Emiliano Grillo,57' 9",WM Phoenix Open,2,16
75,0,27936,Martin Laird,57' 7",THE CJ CUP,2,13
76,0,48632,Yuto Katsuragawa,57' 6",Sony Open,4,2
77,0,29478,Kevin Kisner,57' 3",3M Open,4,8
78,0,33204,Shane Lowry,57' 2",FedEx St. Jude,3,16
78,0,26476,Chez Reavie,57' 2",THE CJ CUP,2,13
80,0,57975,Harry Hall,57' 1",Cognizant Classic,1,17
81,0,54421,Garrick Higgo,57' 0",Charles Schwab,1,3
82,0,59836,Pierceson Coody,56' 11",Valero,1,6
83,0,51894,Vince Whaley,56' 10",Sanderson Farms,3,4
84,0,30911,Tommy Fleetwood,56' 8",Genesis Scottish Open,4,13
85,0,59866,Nick Dunlap,56' 7",Wyndham,2,13
86,0,20229,Stewart Cink,56' 3",Sony Open,1,9
87,0,32757,Patton Kizzire,56' 2",Rocket Mortgage,1,3
88,0,48887,Matt Wallace,56' 1",PGA Championship,3,2
89,0,35310,Lanto Griffin,56' 0",Valero,4,12
89,0,32815,Masahiro Kawamura,56' 0",Genesis Scottish Open,2,17
91,0,46340,Alex Smalley,55' 11",Wyndham,1,6
92,0,52453,Nicolai HÃ¸jgaard,55' 10",PGA Championship,1,14
93,0,51634,Sahith Theegala,55' 8",PGA Championship,4,1
94,0,29970,Dylan Frittelli,55' 7",The RSM Classic,2,14
