RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,26420,Richard Johnson,102.76,617,31,603
2,0,01329,Brad Faxon,102.38,756,33,741
3,0,01810,Phil Mickelson,101.78,673,32,653
3,0,02223,Bob Tway,101.78,900,40,876
5,0,20229,Stewart Cink,101.76,964,35,946
6,0,06575,Dudley Hart,101.75,972,40,949
7,0,20623,Gavin Coles,101.64,856,40,830
8,0,10201,Matt Gogel,101.61,934,40,909
9,0,08123,Jeff Brehaut,101.60,877,35,856
10,0,10585,Scott McCarron,101.54,845,39,819
11,0,21731,Freddie Jacobson,101.50,732,30,713
12,0,08725,Tom Gillis,101.47,954,40,928
13,0,01219,John Cook,101.37,804,27,788
14,0,22548,Patrick Sheehan,101.36,1319,55,1282
15,0,08793,Tiger Woods,101.31,762,29,743
16,0,12454,Mario Tiziani,101.30,848,31,828
17,0,20628,Arron Oberholser,101.27,711,29,691
18,0,23036,Chris Anderson,101.23,812,34,788
18,0,24781,Hunter Mahan,101.23,1298,51,1263
20,0,24024,Zach Johnson,101.22,1145,40,1119
21,0,02206,David Toms,101.20,833,34,809
22,0,01142,Bart Bryant,101.15,1042,38,1016
23,0,06527,Steve Stricker,101.14,788,24,773
24,0,01361,Dan Forsman,101.07,657,39,625
25,0,01941,Tom Pernice Jr.,101.06,1227,47,1193
25,0,02010,Loren Roberts,101.06,663,23,647
27,0,24138,Ian Poulter,101.04,483,14,474
28,0,23320,Ryan Palmer,101.03,1068,39,1040
29,0,01313,Steve Elkington,101.02,787,29,766
30,0,01707,Steve Lowery,100.99,1210,50,1172
31,0,12510,Chad Campbell,100.97,1026,43,993
32,0,01666,Bernhard Langer,100.94,641,26,621
33,0,23541,Ben Crane,100.93,864,34,838
33,0,12782,Tim Herron,100.93,1070,45,1035
35,0,20474,Phillip Price,100.91,879,32,855
36,0,12660,Jesper Parnevik,100.87,924,32,900
37,0,10733,Kent Jones,100.84,1195,48,1157
38,0,01139,Olin Browne,100.79,1140,38,1111
39,0,07749,Brett Quigley,100.78,1160,39,1130
40,0,20663,Brenden Pappas,100.75,671,29,647
41,0,01761,Len Mattiace,100.70,999,42,964
42,0,24357,K.J. Choi,100.67,750,28,727
43,0,08075,Jerry Kelly,100.65,1073,33,1047
44,0,19846,Brian Gay,100.63,1270,40,1238
45,0,01320,Bob Estes,100.62,1126,37,1096
46,0,20098,Stuart Appleby,100.57,883,36,852
46,0,01157,Tom Byrum,100.57,1044,41,1009
48,0,26679,Kevin Stadler,100.52,1163,47,1122
49,0,01928,Corey Pavin,100.47,857,32,829
49,0,23623,Bo Van Pelt,100.47,1285,51,1240
51,0,01887,Mark O'Meara,100.43,702,27,678
52,0,10809,Jim Furyk,100.41,971,32,943
52,0,12645,Brent Geiberger,100.41,724,22,705
52,0,06567,Vijay Singh,100.41,1208,33,1180
55,0,20160,Charlie Wi,100.38,800,25,778
56,0,21407,Arjun Atwal,100.37,816,33,786
56,0,12602,Dean Wilson,100.37,1079,33,1050
58,0,01381,Fred Funk,100.35,1131,32,1103
