RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,23983,Luke Donald,33.53,57,170
2,0,24781,Hunter Mahan,30.04,85,283
3,0,23800,Bryce Molder,29.67,81,273
4,0,29221,Webb Simpson,29.61,98,331
5,0,21753,Brian Davis,29.24,100,342
6,0,06527,Steve Stricker,29.18,68,233
7,0,12716,Charley Hoffman,29.14,88,302
8,0,24357,K.J. Choi,29.11,62,213
9,0,23108,Matt Kuchar,28.62,79,276
10,0,20593,Greg Chalmers,28.57,84,294
11,0,25572,Graeme McDowell,28.48,45,158
12,0,33413,Ben Martin,28.02,65,232
13,0,06643,Paul Goydos,27.95,90,322
14,0,24358,Robert Garrigus,27.74,81,292
15,0,24024,Zach Johnson,27.62,66,239
16,0,29910,Blake Adams,27.46,117,426
17,0,25818,Scott Piercy,27.35,67,245
18,0,30110,Kyle Stanley,27.24,82,301
19,0,27770,Camilo Villegas,26.88,50,186
20,0,07867,Woody Austin,26.87,54,201
21,0,22371,Aaron Baddeley,26.72,62,232
22,0,27649,Brandt Snedeker,26.69,63,236
23,0,26289,Boo Weekley,26.57,55,207
23,0,12602,Dean Wilson,26.57,55,207
25,0,22046,Geoff Ogilvy,26.50,53,200
26,0,24361,Pat Perez,26.37,72,273
27,0,21731,Freddie Jacobson,26.32,65,247
28,0,10733,Kent Jones,26.17,67,256
29,0,23621,Rory Sabbatini,26.16,62,237
30,0,24507,Jason Bohn,25.84,69,267
31,0,25632,Jimmy Walker,25.63,71,277
32,0,02206,David Toms,25.62,52,203
33,0,30750,Tommy Gainey,25.60,96,375
34,0,01810,Phil Mickelson,25.57,56,219
34,0,21878,Mark Wilson,25.57,67,262
36,0,25345,Carl Pettersson,25.48,92,361
37,0,26758,David Hearn,25.33,77,304
38,0,20229,Stewart Cink,25.25,50,198
39,0,27466,Spencer Levin,25.07,85,339
40,0,07457,Steve Flesch,25.00,73,292
40,0,08075,Jerry Kelly,25.00,55,220
40,0,23623,Bo Van Pelt,25.00,69,276
43,0,29518,Brendan Steele,24.91,66,265
44,0,10505,Shane Bertsch,24.88,53,213
45,0,19846,Brian Gay,24.68,78,316
46,0,22405,Justin Rose,24.64,51,207
47,0,27095,Nick Watney,24.61,63,256
48,0,10885,Robert Allenby,24.57,57,232
49,0,25686,Jason Dufner,24.49,60,245
50,0,22621,Ben Curtis,24.35,56,230
50,0,21961,Charles Howell III,24.35,84,345
52,0,22348,Nick O'Hern,24.26,74,305
53,0,20436,Garrett Willis,24.24,56,231
54,0,01116,Michael Bradley,24.12,62,257
55,0,30926,Chris Kirk,23.99,71,296
56,0,25562,Andres Romero,23.88,64,268
57,0,08725,Tom Gillis,23.86,47,197
58,0,32102,Rickie Fowler,23.68,63,266
59,0,26851,Marc Leishman,23.66,66,279
60,0,30692,Scott Stallings,23.60,76,322
61,0,26596,Ryan Moore,23.53,44,187
62,0,23548,Bill Lunde,23.49,74,315
63,0,23541,Ben Crane,23.48,54,230
64,0,28158,Steve Marino,23.46,61,260
65,0,27214,Kevin Streelman,23.43,67,286
65,0,25804,Bubba Watson,23.43,56,239
67,0,23409,James Driscoll,23.42,52,222
68,0,08537,J.P. Hayes,23.40,44,188
69,0,20160,Charlie Wi,23.39,69,295
70,0,24924,Bill Haas,23.33,63,270
70,0,31557,Jim Herman,23.33,56,240
72,0,20498,Briny Baird,23.24,43,185
72,0,26951,Johnson Wagner,23.24,56,241
74,0,01766,Billy Mayfair,23.21,68,293
75,0,28620,Aron Price,23.20,42,181
76,0,28679,Fabián Gómez,23.17,57,246
77,0,24490,George McNeill,23.11,49,212
78,0,24138,Ian Poulter,23.08,36,156
79,0,28087,Kris Blanks,23.03,73,317
80,0,12652,Cameron Beckman,23.02,64,278
81,0,10809,Jim Furyk,22.81,60,263
82,0,21407,Arjun Atwal,22.74,68,299
83,0,28089,Jason Day,22.64,48,212
83,0,29478,Kevin Kisner,22.64,48,212
85,0,27120,Troy Matteson,22.62,83,367
86,0,01577,Lee Janzen,22.56,44,195
87,0,29720,Andres Gonzales,22.46,42,187
88,0,29718,Anthony Kim,22.45,55,245
89,0,25396,Kevin Na,22.31,54,242
90,0,23497,Tag Ridings,22.26,69,310
91,0,22293,Heath Slocum,22.19,67,302
92,0,30925,Dustin Johnson,22.17,51,230
93,0,27939,Matt McQuillan,22.03,39,177
94,0,21350,Ryuji Imada,22.01,59,268
95,0,19970,Robert Karlsson,21.94,34,155
96,0,20472,Alex Cejka,21.82,36,165
97,0,20766,Padraig Harrington,21.71,38,175
98,0,06251,Chris DiMarco,21.70,74,341
