RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,32839,Hideki Matsuyama,$690473,771639
2,0,25191,Gonzalo Fernandez-Castaño,$589653,858653
3,0,33968,Thorbjørn Olesen,$513700,713300
4,0,23481,Marcel Siem,$291606,402106
5,0,35541,John Peterson,$259679,259679
6,0,25198,Francesco Molinari,$245463,423963
7,0,28118,Peter Tomasulo,$218240,218240
8,0,35450,Patrick Cantlay,$195411,195411
9,0,28937,George Coetzee,$171161,267761
10,0,29974,Branden Grace,$170459,313759
11,0,19958,Miguel Angel Jiménez,$169881,491547
12,0,24503,Jeff Klauk,$149830,149830
13,0,33204,Shane Lowry,$148551,345551
14,0,19904,Paul Lawrie,$136119,304369
15,0,25841,Marc Warren,$132786,132786
16,0,29476,Kyle Reifers,$128400,128400
17,0,24459,Richard Sterne,$128258,483758
18,0,32139,Danny Willett,$123043,123043
19,0,29484,Peter Uihlein,$121625,121625
20,0,26499,Rafa Cabrera Bello,$120718,262968
21,0,10505,Shane Bertsch,$112000,112000
21,0,32800,Franklin Corpening,$112000,112000
21,0,29926,Danny Lee,$112000,112000
24,0,25369,Jamie Donaldson,$99697,284947
25,0,23790,Eduardo De La Riva,$95043,95043
26,0,20376,Stephen Gallacher,$87918,242018
27,0,19825,Darren Clarke,$86718,86718
28,0,20574,Mathew Goggin,$86579,86579
29,0,39531,Ken Looper,$73530,73530
30,0,33199,Matteo Manassero,$64809,242684
31,0,32694,Morten Orum Madsen,$60183,60183
31,0,28723,John Parry,$60183,60183
33,0,25892,Steve Wheatcroft,$59520,59520
34,0,30978,Kiradech Aphibarnrat,$58750,120250
35,0,24511,Thongchai Jaidee,$58126,104126
36,0,27821,Steven Tiley,$56873,56873
37,0,34358,Jonathan Randolph,$54000,54000
38,0,35545,Blayne Barber,$52110,52110
39,0,31138,Scott Jamieson,$48500,131500
40,0,24940,Edward Loar,$47246,47246
41,0,24604,Hunter Haas,$42929,42929
42,0,10944,Thomas Bjørn,$41171,87171
43,0,24083,Marcus Fraser,$39830,183330
44,0,35879,Kelly Kraft,$39539,39539
45,0,35459,Chris Williams,$39304,39304
46,0,28923,Oliver Fisher,$39251,39251
47,0,31627,Todd Baek,$35960,35960
48,0,20771,Steven Alker,$28961,28961
48,0,35087,Bio Kim,$28961,28961
50,0,34262,Jon Curran,$28350,28350
51,0,32262,Mark Brown,$24641,24641
51,0,20218,Shingo Katayama,$24641,24641
53,0,37460,Jeremiah Wooding,$23760,23760
54,0,27958,Ryan Blaum,$20417,20417
55,0,29531,Richie Ramsay,$20077,119077
56,0,26498,Matt Weibring,$19406,19406
57,0,26525,Grégory Bourdy,$19085,19085
57,0,29454,Bernd Wiesberger,$19085,19085
57,0,22000,Chris Wood,$19085,330585
60,0,19991,Peter Hedblom,$18926,18926
60,0,20608,David Howell,$18926,18926
62,0,28928,Gareth Wright,$18398,18398
63,0,27554,Scott Harrington,$18295,18295
64,0,27929,Shiv Kapur,$17864,17864
64,0,28258,K.T. Kim,$17864,17864
66,0,24956,Mikko Ilonen,$17253,60053
66,0,02076,Peter Senior,$17253,17253
68,0,24957,Simon Khan,$16844,16844
69,0,33911,Nate Smith,$15829,15829
70,0,29223,Sam Saunders,$15184,15184
71,0,36689,Brooks Koepka,$14950,14950
72,0,39412,Zack Fischer,$13601,13601
73,0,33120,Mark Anderson,$12824,12824
73,0,21498,Hideto Tanihara,$12824,12824
75,0,33486,Roger Sloan,$12805,12805
76,0,21646,David Branshaw,$12444,12444
77,0,22764,Michael Block,$12342,12342
78,0,26733,John Kimbell,$12162,12162
79,0,25863,Rod Perry,$11656,11656
80,0,23778,Brad Adamonis,$11340,11340
81,0,35469,Sebastián Vázquez,$7700,7700
82,0,24461,Thomas Aiken,$7104,7104
83,0,32070,Rafael Campos,$6650,6650
84,0,29478,Kevin Kisner,$6180,6180
85,0,23290,Andrew Johnson,$5850,5850
