RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,20127,Chris Riley,7.77,653,84
2,0,10585,Scott McCarron,7.69,677,88
3,0,19881,Robert Damron,7.67,836,109
4,0,01329,Brad Faxon,7.63,481,63
4,0,12663,Phil Tataurangi,7.63,542,71
6,0,01096,Phil Blackmar,7.56,673,89
7,0,02242,Lanny Wadkins,7.51,428,57
8,0,11032,Frank Lickliter II,7.49,779,104
9,0,01378,David Frost,7.45,618,83
10,0,07749,Brett Quigley,7.43,446,60
11,0,01549,Mike Hulbert,7.40,747,101
12,0,01619,Skip Kendall,7.38,775,105
12,0,06012,Greg Kraft,7.38,701,95
12,0,02294,Willie Wood,7.38,531,72
15,0,01072,Chip Beck,7.35,544,74
16,0,06617,Brian Henninger,7.33,704,96
17,0,02146,Payne Stewart,7.28,495,68
18,0,01996,Mike Reid,7.27,545,75
19,0,06014,Eric Booker,7.26,653,90
19,0,20124,Alan Bratton,7.26,523,72
19,0,01320,Bob Estes,7.26,784,108
22,0,08993,Franklin Langham,7.25,718,99
23,0,20098,Stuart Appleby,7.22,650,90
24,0,10107,Deane Pappas,7.21,591,82
24,0,23621,Rory Sabbatini,7.21,562,78
26,0,01928,Corey Pavin,7.20,590,82
26,0,01941,Tom Pernice Jr.,7.20,641,89
28,0,01707,Steve Lowery,7.18,711,99
28,0,10213,Dicky Pride,7.18,603,84
28,0,06613,Tommy Tolles,7.18,553,77
31,0,01040,Emlyn Aubrey,7.16,365,51
32,0,20593,Greg Chalmers,7.15,758,106
33,0,02131,Mike Springer,7.14,621,87
34,0,06575,Dudley Hart,7.13,627,88
35,0,01098,Jay Don Blake,7.12,655,92
35,0,02010,Loren Roberts,7.12,634,89
35,0,08375,Paul Stankowski,7.12,548,77
35,0,08385,Omar Uresti,7.12,733,103
39,0,01323,Brad Fabel,7.09,624,88
39,0,01920,Craig Parry,7.09,454,64
41,0,01175,Jim Carter,7.08,680,96
41,0,01249,John Daly,7.08,446,63
43,0,06064,Jeff Gallagher,7.07,650,92
43,0,01510,Nolan Henke,7.07,587,83
43,0,21949,Joe Ogilvie,7.07,650,92
46,0,01376,Bob Friend,7.06,805,114
46,0,06643,Paul Goydos,7.06,671,95
46,0,06527,Steve Stricker,7.06,487,69
49,0,01724,Jeff Maggert,7.05,578,82
50,0,10569,Mike Brisky,7.04,542,77
50,0,20229,Stewart Cink,7.04,648,92
50,0,01891,David Ogrin,7.04,401,57
53,0,01361,Dan Forsman,7.03,647,92
53,0,10860,Justin Leonard,7.03,731,104
53,0,02007,Larry Rinker,7.03,619,88
53,0,06078,Esteban Toledo,7.03,752,107
57,0,01748,Doug Martin,7.02,674,96
57,0,10649,Tom Scherrer,7.02,653,93
57,0,02214,Kirk Triplett,7.02,604,86
60,0,01132,Mark Brooks,7.01,792,113
60,0,12645,Brent Geiberger,7.01,722,103
60,0,01569,Peter Jacobsen,7.01,512,73
63,0,01024,Billy Andrade,7.00,616,88
63,0,01127,Danny Briggs,7.00,532,76
63,0,01261,Jay Delsing,7.00,532,76
63,0,01457,Jay Haas,7.00,532,76
63,0,08547,John Maginnes,7.00,637,91
