RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,21209,Sergio Garcia,69.83,500,716,-0.15
2,0,06621,Joe Durant,69.66,760,1091,-0.15
3,0,06567,Vijay Singh,69.07,795,1151,-0.20
4,0,10885,Robert Allenby,68.17,709,1040,-0.18
5,0,20498,Briny Baird,68.04,790,1161,-0.17
6,0,02246,Duffy Waldorf,67.70,568,839,-0.19
7,0,02206,David Toms,67.66,565,835,-0.19
8,0,01677,Tom Lehman,67.52,551,816,-0.14
9,0,02239,Scott Verplank,66.70,659,988,-0.23
10,0,02106,Chris Smith,66.59,835,1254,-0.13
11,0,23983,Luke Donald,66.52,600,902,-0.18
12,0,20157,Retief Goosen,66.36,365,550,-0.17
13,0,01139,Olin Browne,66.26,756,1141,-0.20
14,0,02104,Jeff Sluman,65.72,767,1167,-0.19
15,0,21878,Mark Wilson,65.68,557,848,-0.16
16,0,08075,Jerry Kelly,65.57,819,1249,-0.21
17,0,01142,Bart Bryant,65.55,624,952,-0.19
18,0,01553,John Huston,65.53,403,615,-0.16
19,0,06004,Stephen Ames,65.48,770,1176,-0.21
20,0,24024,Zach Johnson,65.46,834,1274,-0.20
21,0,01810,Phil Mickelson,65.26,481,737,-0.17
22,0,20645,John Senden,65.19,764,1172,-0.15
22,0,02101,Joey Sindelar,65.19,824,1264,-0.15
24,0,22405,Justin Rose,64.69,566,875,-0.22
25,0,01527,Scott Hoch,64.58,403,624,-0.18
26,0,01945,Kenny Perry,64.54,546,846,-0.17
27,0,24502,Adam Scott,64.50,358,555,-0.23
28,0,02214,Kirk Triplett,64.20,590,919,-0.21
29,0,01724,Jeff Maggert,64.14,456,711,-0.13
30,0,06515,Shaun Micheel,64.04,627,979,-0.17
31,0,08793,Tiger Woods,64.02,475,742,-0.24
32,0,01127,Danny Briggs,64.01,683,1067,-0.16
33,0,22293,Heath Slocum,63.99,782,1222,-0.18
34,0,23353,J.J. Henry,63.82,801,1255,-0.15
35,0,12823,Carlos Franco,63.77,808,1267,-0.14
36,0,20548,Hidemichi Tanaka,63.66,734,1153,-0.18
37,0,01577,Lee Janzen,63.63,635,998,-0.15
38,0,01219,John Cook,63.62,460,723,-0.17
39,0,12652,Cameron Beckman,63.54,772,1215,-0.16
39,0,23135,Tim Clark,63.54,636,1001,-0.20
39,0,10860,Justin Leonard,63.54,596,938,-0.17
42,0,12510,Chad Campbell,63.53,716,1127,-0.16
43,0,23325,Vaughn Taylor,63.50,675,1063,-0.20
44,0,01457,Jay Haas,63.44,576,908,-0.18
45,0,12782,Tim Herron,63.32,599,946,-0.16
46,0,01381,Fred Funk,63.23,772,1221,-0.18
47,0,06251,Chris DiMarco,63.18,676,1070,-0.21
48,0,21633,Steve Allan,62.99,766,1216,-0.14
49,0,26287,Roland Thatcher,62.95,508,807,-0.14
50,0,01203,Russ Cochran,62.94,496,788,-0.18
51,0,06332,Neal Lancaster,62.91,814,1294,-0.17
52,0,02002,John Riegger,62.87,442,703,-0.17
53,0,07721,Pat Bates,62.80,822,1309,-0.15
54,0,07867,Woody Austin,62.77,715,1139,-0.16
54,0,20229,Stewart Cink,62.77,725,1155,-0.23
56,0,20628,Arron Oberholser,62.56,558,892,-0.17
57,0,23623,Bo Van Pelt,62.55,730,1167,-0.20
58,0,24357,K.J. Choi,62.49,568,909,-0.19
59,0,01766,Billy Mayfair,62.43,839,1344,-0.11
60,0,21959,Ted Purdy,62.41,890,1426,-0.18
61,0,07223,Brian Bateman,62.37,663,1063,-0.19
62,0,02010,Loren Roberts,62.34,644,1033,-0.23
63,0,10733,Kent Jones,62.31,782,1255,-0.18
64,0,20094,Jonathan Kaye,62.30,519,833,-0.13
65,0,01388,Robert Gamez,62.27,797,1280,-0.19
66,0,21646,David Branshaw,62.26,655,1052,-0.16
67,0,25900,Lucas Glover,62.22,690,1109,-0.14
67,0,20382,Stephen Leaney,62.22,522,839,-0.16
69,0,21961,Charles Howell III,62.14,678,1091,-0.16
70,0,24361,Pat Perez,62.10,734,1182,-0.19
71,0,01161,Mark Calcavecchia,62.06,512,825,-0.19
72,0,12645,Brent Geiberger,62.05,752,1212,-0.18
73,0,06575,Dudley Hart,61.96,417,673,-0.18
74,0,07749,Brett Quigley,61.89,765,1236,-0.17
75,0,22046,Geoff Ogilvy,61.88,651,1052,-0.20
76,0,24507,Jason Bohn,61.83,755,1221,-0.19
77,0,01226,Fred Couples,61.81,356,576,-0.15
78,0,01313,Steve Elkington,61.79,503,814,-0.18
79,0,23108,Matt Kuchar,61.72,669,1084,-0.14
80,0,20029,Notah Begay III,61.65,545,884,-0.16
81,0,10425,Jay Williamson,61.61,812,1318,-0.18
82,0,20098,Stuart Appleby,61.55,501,814,-0.20
83,0,01941,Tom Pernice Jr.,61.53,734,1193,-0.17
84,0,25686,Jason Dufner,61.52,614,998,-0.19
85,0,08123,Jeff Brehaut,61.48,795,1293,-0.12
86,0,23621,Rory Sabbatini,61.46,625,1017,-0.17
87,0,19824,Craig Barlow,61.37,572,932,-0.15
88,0,01035,Tommy Armour III,61.31,653,1065,-0.15
89,0,01261,Jay Delsing,61.28,565,922,-0.16
89,0,20572,Rod Pampling,61.28,682,1113,-0.17
91,0,24290,D.J. Brigman,61.19,596,974,-0.15
91,0,07457,Steve Flesch,61.19,711,1162,-0.21
93,0,12680,Shigeki Maruyama,61.13,673,1101,-0.23
93,0,23320,Ryan Palmer,61.13,758,1240,-0.16
95,0,12660,Jesper Parnevik,61.02,645,1057,-0.18
96,0,01320,Bob Estes,61.01,457,749,-0.20
