RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,33448,Justin Thomas,10,3,2,1
2,-1,47959,Bryson DeChambeau,9,1,1,1
3,1,46970,Jon Rahm,8,2,1,1
3,1,34360,Patrick Reed,8,1,1
3,0,29221,Webb Simpson,8,2,1,2
6,-2,40026,Daniel Berger,7,1,1,2
6,-2,29725,Tony Finau,7,1,1
6,-2,39971,Sungjae Im,7,1,1,2
6,3,30925,Dustin Johnson,7,3,2
6,3,28237,Rory McIlroy,7,1,2
6,3,50525,Collin Morikawa,7,2,1
6,3,48081,Xander Schauffele,7,3,1
6,3,46046,Scottie Scheffler,7,2
14,-5,34099,Harris English,6,1,1
14,3,34363,Tyrrell Hatton,6,1,1
14,-5,29420,Billy Horschel,6,1
14,-5,31323,Gary Woodland,6,1
18,-1,33948,Byeong Hun An,5,1
18,-1,34076,Joel Dahmen,5
18,-1,28089,Jason Day,5
18,-1,40098,Matt Fitzpatrick,5,1
18,-1,32839,Hideki Matsuyama,5,1,2
18,6,48822,Sebastián Muñoz,5,1,1
18,-1,23320,Ryan Palmer,5,1
25,-1,45526,Abraham Ancer,4,2
25,-1,35310,Lanto Griffin,4,1
25,-1,34098,Russell Henley,4
25,-1,39977,Max Homa,4,1
25,-1,35506,Mackenzie Hughes,4,1,1
25,-1,29478,Kevin Kisner,4,2
25,-1,47993,Denny McCarthy,4
25,-1,25396,Kevin Na,4,1
25,-1,45486,Joaquin Niemann,4,1,1
25,-1,27349,Alex Noren,4,1
25,-1,27214,Kevin Streelman,4,2
25,-1,30927,Brendon Todd,4,2
37,0,19803,Ryan Armour,3
37,0,35450,Patrick Cantlay,3,1
37,0,29970,Dylan Frittelli,3
37,0,31646,Emiliano Grillo,3,2
37,0,33399,Adam Hadwin,3,1
37,0,35532,Tom Hoge,3,1
37,0,46717,Viktor Hovland,3,1,1
37,0,21961,Charles Howell III,3,1
37,0,36801,Mark Hubbard,3,1
37,0,30944,Jason Kokrak,3,1
37,0,29926,Danny Lee,3,1
37,0,26851,Marc Leishman,3,1,1,1
37,0,35449,Adam Long,3,2
37,0,46442,Maverick McNealy,3
37,0,30163,Henrik Norlander,3
37,0,33667,Carlos Ortiz,3,1
37,0,46441,Robby Shelton,3,1
37,0,34046,Jordan Spieth,3
37,0,29518,Brendan Steele,3,1
37,0,49960,Sepp Straka,3
37,0,25804,Bubba Watson,3,1
37,0,47128,Richy Werenski,3,1,2
37,0,32254,Xinjun Zhang,3
60,0,34021,Bud Cauley,2
60,0,52372,Cameron Champ,2,1
60,0,45157,Cam Davis,2
60,0,32102,Rickie Fowler,2
60,0,19846,Brian Gay,2,1
60,0,28679,Fabián Gómez,2,1
60,0,46402,Talor Gooch,2
60,0,56762,Will Gordon,2,1
60,0,33597,Harry Higgs,2,1
60,0,12716,Charley Hoffman,2
60,0,26300,Matt Jones,2
60,0,27974,Sung Kang,2,1
60,0,36689,Brooks Koepka,2,1
60,0,28775,Nate Lashley,2,2
60,0,32640,Troy Merritt,2,1
60,0,01810,Phil Mickelson,2,1,1
60,0,26596,Ryan Moore,2
60,0,26329,Louis Oosthuizen,2,1
60,0,24361,Pat Perez,2,1
60,0,49771,J.T. Poston,2
60,0,27556,Ted Potter Jr.,2
