RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,27895,Jonas Blixt,7.89,552,70
2,0,32102,Rickie Fowler,7.86,597,76
2,0,33448,Justin Thomas,7.86,621,79
4,0,28089,Jason Day,7.79,514,66
4,0,27770,Camilo Villegas,7.79,561,72
6,0,34409,David Lingmerth,7.77,583,75
7,0,25191,Gonzalo Fernandez-Castaño,7.75,434,56
8,0,48084,Wesley Bryan,7.74,704,91
9,0,25572,Graeme McDowell,7.73,433,56
10,0,37454,Whee Kim,7.68,553,72
11,0,33399,Adam Hadwin,7.65,750,98
12,0,25892,Steve Wheatcroft,7.64,359,47
13,0,20593,Greg Chalmers,7.61,540,71
13,0,25720,Chad Collins,7.61,472,62
13,0,36689,Brooks Koepka,7.61,609,80
13,0,28252,Seamus Power,7.61,609,80
17,0,27644,Brian Harman,7.60,760,100
17,0,29223,Sam Saunders,7.60,532,70
19,0,19846,Brian Gay,7.56,590,78
19,0,34466,Peter Malnati,7.56,643,85
19,0,34360,Patrick Reed,7.56,756,100
22,0,26331,Charl Schwartzel,7.55,453,60
23,0,24024,Zach Johnson,7.52,579,77
23,0,35891,Cameron Smith,7.52,617,82
25,0,31420,Anirban Lahiri,7.51,541,72
26,0,23983,Luke Donald,7.48,359,48
26,0,35532,Tom Hoge,7.48,344,46
28,0,06522,Ernie Els,7.46,388,52
28,0,34046,Jordan Spieth,7.46,582,78
30,0,25345,Carl Pettersson,7.44,439,59
31,0,01810,Phil Mickelson,7.41,593,80
32,0,29479,Scott Brown,7.40,673,91
32,0,24138,Ian Poulter,7.40,503,68
32,0,27649,Brandt Snedeker,7.40,370,50
35,0,46443,Brian Campbell,7.39,377,51
36,0,37278,Nicholas Lindheim,7.38,413,56
36,0,24361,Pat Perez,7.38,664,90
38,0,22371,Aaron Baddeley,7.37,420,57
39,0,24846,Ricky Barnes,7.36,677,92
39,0,25349,Tim Wilkinson,7.36,427,58
41,0,28237,Rory McIlroy,7.33,352,48
41,0,29289,S.Y. Noh,7.33,638,87
41,0,29221,Webb Simpson,7.33,726,99
44,0,27958,Ryan Blaum,7.30,701,96
44,0,33461,Morgan Hoffmann,7.30,642,88
44,0,27141,J.B. Holmes,7.30,555,76
44,0,39975,Michael Kim,7.30,657,90
44,0,32839,Hideki Matsuyama,7.30,555,76
49,0,39954,Cody Gribble,7.29,561,77
49,0,29222,Billy Hurley III,7.29,583,80
49,0,23325,Vaughn Taylor,7.29,612,84
52,0,40009,Dominic Bozzelli,7.28,473,65
53,0,23800,Bryce Molder,7.27,538,74
54,0,28307,Matt Every,7.26,508,70
54,0,25396,Kevin Na,7.26,595,82
56,0,30852,Ryo Ishikawa,7.25,406,56
57,0,29926,Danny Lee,7.24,644,89
57,0,49771,J.T. Poston,7.24,630,87
57,0,46970,Jon Rahm,7.24,601,83
57,0,33419,Cameron Tringale,7.24,601,83
61,0,40026,Daniel Berger,7.23,622,86
61,0,30925,Dustin Johnson,7.23,506,70
63,0,40058,Zac Blair,7.22,715,99
63,0,48822,Sebastián Muñoz,7.22,354,49
65,0,26300,Matt Jones,7.21,404,56
66,0,25686,Jason Dufner,7.20,590,82
66,0,31416,Derek Fathauer,7.20,540,75
66,0,23108,Matt Kuchar,7.20,662,92
66,0,32150,Michael Thompson,7.20,403,56
70,0,34213,Grayson Murray,7.19,647,90
71,0,35545,Blayne Barber,7.18,510,71
71,0,32333,Kevin Tway,7.18,632,88
73,0,29720,Andres Gonzales,7.17,495,69
73,0,48081,Xander Schauffele,7.17,660,92
73,0,34431,Robert Streb,7.17,674,94
76,0,26329,Louis Oosthuizen,7.16,444,62
77,0,26499,Rafa Cabrera Bello,7.15,429,60
77,0,27963,Chris Stroud,7.15,422,59
79,0,31560,Brian Stuard,7.14,621,87
80,0,24357,K.J. Choi,7.12,470,66
80,0,46550,Brandon Hagy,7.12,548,77
80,0,32757,Patton Kizzire,7.12,541,76
80,0,26476,Chez Reavie,7.12,676,95
84,0,33948,Byeong Hun An,7.11,512,72
84,0,29461,Jamie Lovemark,7.11,683,96
84,0,26596,Ryan Moore,7.11,562,79
87,0,46601,Trey Mullinax,7.10,582,82
87,0,23497,Tag Ridings,7.10,419,59
89,0,37455,Si Woo Kim,7.09,532,75
89,0,29478,Kevin Kisner,7.09,695,98
91,0,34174,John Huh,7.08,623,88
92,0,46440,Smylie Kaufman,7.06,501,71
92,0,34358,Jonathan Randolph,7.06,445,63
94,0,35506,Mackenzie Hughes,7.05,733,104
95,0,35110,Brett Drewitt,7.04,373,53
95,0,34099,Harris English,7.04,535,76
95,0,22986,Søren Kjeldsen,7.04,345,49
95,0,32640,Troy Merritt,7.04,535,76
99,0,26851,Marc Leishman,7.02,632,90
99,0,25804,Bubba Watson,7.02,442,63
101,0,24781,Hunter Mahan,7.00,497,71
101,0,25198,Francesco Molinari,7.00,504,72
103,0,32366,Kevin Chappell,6.98,628,90
103,0,20229,Stewart Cink,6.98,649,93
103,0,30191,Julián Etulain,6.98,440,63
103,0,27974,Sung Kang,6.98,712,102
107,0,25274,Steven Bowditch,6.96,383,55
107,0,27936,Martin Laird,6.96,578,83
107,0,24140,Sean O'Hair,6.96,585,84
110,0,12716,Charley Hoffman,6.95,751,108
110,0,25632,Jimmy Walker,6.95,452,65
112,0,32200,Roberto Castro,6.94,472,68
112,0,26758,David Hearn,6.94,590,85
112,0,27466,Spencer Levin,6.94,590,85
115,0,28679,Fabián Gómez,6.93,409,59
116,0,33120,Mark Anderson,6.92,360,52
116,0,35879,Kelly Kraft,6.92,491,71
116,0,47128,Richy Werenski,6.92,512,74
119,0,47959,Bryson DeChambeau,6.91,615,89
119,0,29725,Tony Finau,6.91,719,104
119,0,21961,Charles Howell III,6.91,567,82
119,0,24502,Adam Scott,6.91,401,58
119,0,25834,Daniel Summerhays,6.91,650,94
124,0,30926,Chris Kirk,6.90,573,83
125,0,20771,Steven Alker,6.89,434,63
125,0,25364,Paul Casey,6.89,620,90
125,0,34098,Russell Henley,6.89,668,97
125,0,46501,Ollie Schniederjans,6.89,599,87
125,0,27214,Kevin Streelman,6.89,606,88
130,0,23621,Rory Sabbatini,6.88,447,65
131,0,23541,Ben Crane,6.87,543,79
131,0,20157,Retief Goosen,6.87,316,46
133,0,31646,Emiliano Grillo,6.86,597,87
133,0,25493,Nick Taylor,6.86,652,95
135,0,33413,Ben Martin,6.85,541,79
136,0,10809,Jim Furyk,6.84,349,51
136,0,21209,Sergio Garcia,6.84,424,62
136,0,46732,Rick Lamb,6.84,342,50
