RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
1,0,36689,Brooks Koepka,38.93%,5057192,12990000
2,0,46046,Scottie Scheffler,33.01%,21014342,63659000
3,0,45426,Nathan Kimsey,32.56%,445423,1368000
4,0,46970,Jon Rahm,28.11%,16522608,58772000
5,0,28237,Rory McIlroy,25.37%,13921008,54875000
6,0,46717,Viktor Hovland,21.32%,14112235,66197000
7,0,36884,Ben Kohles,20.56%,310800,1512000
8,0,57259,Daniel Brown,18.06%,123500,684000
9,0,35450,Patrick Cantlay,16.79%,10372998,61787700
10,0,28340,Julien Guerrier,16.39%,224200,1368000
10,0,34371,Adrien Saddier,16.39%,224200,1368000
12,0,39977,Max Homa,16.23%,10761517,66305700
13,0,51766,Wyndham Clark,16.02%,10757490,67143700
14,0,52287,David Ravetto,14.03%,95950,684000
15,0,34363,Tyrrell Hatton,13.86%,8336912,60167000
16,0,52955,Ludvig Åberg,13.37%,3144994,23517000
17,0,33141,Keegan Bradley,13.35%,9010040,67484000
18,0,52215,Robert MacIntyre,13.24%,1023050,7725000
19,0,48081,Xander Schauffele,12.93%,8459066,65423700
20,0,35891,Cameron Smith,12.60%,1637180,12990000
21,0,27644,Brian Harman,12.58%,9175262,72911000
22,0,37066,Grant Forrest,12.51%,197100,1575000
23,0,01810,Phil Mickelson,12.45%,1617250,12990000
24,0,40098,Matt Fitzpatrick,12.44%,8144543,65495700
25,0,51287,Ryo Hisatsune,12.06%,588502,4878000
26,0,34046,Jordan Spieth,11.67%,7240044,62021000
27,0,32102,Rickie Fowler,11.61%,7864161,67763000
28,0,27770,Camilo Villegas,11.26%,1951764,17334000
29,0,50525,Collin Morikawa,10.99%,7573198,68924700
30,0,30911,Tommy Fleetwood,10.87%,6510641,59879000
31,0,28089,Jason Day,10.86%,6922758,63722000
32,0,55182,Tom Kim,10.82%,7774918,71885700
33,0,47504,Sam Burns,10.56%,7139050,67583700
33,0,63121,William Mouw,10.56%,140600,1332000
35,0,25900,Lucas Glover,9.98%,6399296,64152000
36,0,48117,Kurt Kitayama,9.88%,6840062,69221700
37,0,34098,Russell Henley,9.60%,6332282,65990000
38,0,25493,Nick Taylor,9.50%,6242461,65729700
39,0,47993,Denny McCarthy,9.47%,6760012,71354700
40,0,51634,Sahith Theegala,9.20%,7284670,79157700
41,0,22405,Justin Rose,9.13%,4635120,50781000
42,0,29725,Tony Finau,9.11%,5867652,64424000
43,0,39113,Shubhankar Sharma,8.82%,403350,4575000
44,0,36514,Yuki Inamori,8.76%,133960,1530000
45,0,39971,Sungjae Im,8.59%,6665921,77609700
46,0,45847,JC Ritchie,8.40%,114964,1368000
47,0,46404,Marcus Kinhult,8.37%,114456,1368000
47,0,34360,Patrick Reed,8.37%,1086934,12990000
49,0,39524,Sean Crocker,8.33%,188129,2259000
50,0,39997,Corey Conners,8.02%,5545721,69131000
51,0,56781,Isaiah Salinda,7.97%,238000,2988000
52,0,57366,Cameron Young,7.84%,5392961,68744000
53,0,21528,Henrik Stenson,7.76%,232875,3000000
54,0,34579,Alexander Levy,7.70%,105306,1368000
55,0,52095,Christoffer Bring,7.65%,52345,684000
55,0,57737,Jayden Schaper,7.65%,52345,684000
57,0,49960,Sepp Straka,7.42%,5287574,71228000
58,0,34099,Harris English,7.40%,5600689,75656700
59,0,47959,Bryson DeChambeau,7.39%,960052,12990000
60,0,47591,Eric Cole,7.36%,5457030,74133700
61,0,31646,Emiliano Grillo,7.33%,5476302,74694000
62,0,37455,Si Woo Kim,7.18%,5397030,75152700
63,0,45157,Cam Davis,7.16%,5001208,69893000
64,0,55955,Matthew Jordan,7.13%,326220,4575000
65,0,37378,Min Woo Lee,7.09%,2812281,39683000
66,0,49947,Taylor Moore,7.04%,5077211,72138700
67,0,32815,Masahiro Kawamura,7.01%,95950,1368000
68,0,33399,Adam Hadwin,6.98%,4713995,67526700
69,0,51696,Rico Hoey,6.32%,43206,684000
70,0,30852,Ryo Ishikawa,6.30%,416080,6606000
71,0,34362,Laurie Canter,6.26%,187900,3000000
72,0,47347,Adam Schenk,6.25%,4987135,79806000
73,0,33448,Justin Thomas,6.18%,3566403,57747000
74,0,24502,Adam Scott,6.16%,3329394,54065000
75,0,47483,Will Zalatoris,6.11%,1474780,24146000
76,0,23108,Matt Kuchar,5.97%,3840222,64304000
77,0,30926,Chris Kirk,5.92%,4150252,70130000
78,0,35532,Tom Hoge,5.89%,4723610,80255700
79,0,35506,Mackenzie Hughes,5.84%,4318591,73907000
80,0,40115,Adam Svensson,5.83%,4844402,83132000
81,0,56630,Akshay Bhatia,5.72%,2346959,41022700
82,0,32839,Hideki Matsuyama,5.71%,3874772,67898000
83,0,34656,Mikumu Horikawa,5.64%,197841,3510000
84,0,34256,Andrew Putnam,5.63%,4459264,79247000
85,0,30927,Brendon Todd,5.53%,3935870,71166700
86,0,40058,Zac Blair,5.41%,2469218,45657700
87,0,28521,Ryutaro Nagano,5.34%,273762,5130000
88,0,28252,Seamus Power,5.33%,3792807,71183000
89,0,55721,Alex Fitzpatrick,5.28%,224020,4242700
90,0,46405,Sebastian Soderberg,5.25%,118634,2259000
91,0,47529,Mito Pereira,5.16%,789784,15300000
92,0,33948,Byeong Hun An,5.11%,3231760,63291700
93,0,35461,Beau Hossler,5.01%,3586109,71514700
93,0,40006,Erik van Rooyen,5.01%,2457390,49005700
95,0,52453,Nicolai Hojgaard,4.91%,1239111,25257700
96,0,54628,Lee Hodges,4.89%,3749468,76629700
97,0,49771,J.T. Poston,4.85%,3699409,76277000
98,0,33204,Shane Lowry,4.78%,2588707,54155000
99,0,55707,Calum Hill,4.67%,73598,1575000
100,0,58696,Peter Kuest,4.60%,950647,20646000
101,0,49120,Kensei Hirata,4.58%,275188,6006000
102,0,57362,Austin Eckroat,4.57%,2476429,54225700
103,0,46340,Alex Smalley,4.54%,3128514,68931000
104,0,33459,Jens Dantorp,4.51%,224200,4968000
105,0,55708,Hayden Buckley,4.46%,2929779,65682700
106,0,39546,Keith Mitchell,4.42%,3062484,69299700
107,0,55573,John VanDerLaan,4.38%,145108,3312000
108,0,27129,Luke List,4.36%,3029125,69489700
109,0,55789,Taylor Montgomery,4.31%,3079378,71423700
110,0,39324,J.J. Spaun,4.23%,3060779,72314700
111,0,50493,Justin Suh,4.21%,3075821,73106700
112,0,36699,Patrick Rodgers,4.14%,3026193,73125000
113,0,39975,Michael Kim,4.13%,2206882,53427700
114,0,33653,Thomas Detry,4.09%,2481116,60645700
114,0,38991,Alejandro Tosti,4.09%,262242,6408000
116,0,33974,Dean Burmester,4.06%,612165,15084000
117,0,30925,Dustin Johnson,4.01%,520778,12990000
117,0,37275,Sam Ryder,4.01%,2946215,73413700
119,0,46646,Antoine Rozner,3.98%,182237,4575000
120,0,27349,Alex Noren,3.93%,2591982,65945000
121,0,29936,Ryan Fox,3.91%,1485104,37937000
122,0,36801,Mark Hubbard,3.89%,2932685,75402700
