RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,23983,Luke Donald,67.00,268,4
2,0,21209,Sergio Garcia,68.00,476,7
3,0,06527,Steve Stricker,68.60,686,10
4,0,06567,Vijay Singh,68.63,549,8
5,0,02239,Scott Verplank,68.89,620,9
6,0,06575,Dudley Hart,69.09,760,11
7,0,06573,Brandt Jobe,69.20,692,10
7,0,26420,Richard Johnson,69.20,692,10
9,0,12662,Thomas Levet,69.29,485,7
10,0,23135,Tim Clark,69.33,832,12
11,0,10809,Jim Furyk,69.42,833,12
12,0,01810,Phil Mickelson,69.50,695,10
12,0,01945,Kenny Perry,69.50,556,8
14,0,06595,Kevin Sutherland,69.56,1113,16
15,0,20229,Stewart Cink,69.60,696,10
16,0,07867,Woody Austin,69.67,1463,21
17,0,20548,Hidemichi Tanaka,69.68,1324,19
18,0,08123,Jeff Brehaut,69.69,906,13
19,0,01042,Paul Azinger,69.71,488,7
19,0,02104,Jeff Sluman,69.71,976,14
21,0,01381,Fred Funk,69.73,767,11
22,0,01139,Olin Browne,69.80,1396,20
23,0,25345,Carl Pettersson,69.85,1397,20
24,0,06034,Marco Dawson,69.86,978,14
25,0,24140,Sean O'Hair,69.88,559,8
26,0,01577,Lee Janzen,69.90,699,10
27,0,20498,Briny Baird,69.92,839,12
28,0,21753,Brian Davis,69.93,979,14
29,0,01320,Bob Estes,69.94,1189,17
30,0,01161,Mark Calcavecchia,70.00,1050,15
30,0,07749,Brett Quigley,70.00,1050,15
30,0,02214,Kirk Triplett,70.00,490,7
33,0,01766,Billy Mayfair,70.06,1261,18
34,0,01706,Davis Love III,70.11,631,9
35,0,20623,Gavin Coles,70.13,1052,15
36,0,20094,Jonathan Kaye,70.14,982,14
37,0,23325,Vaughn Taylor,70.15,1403,20
38,0,24925,Jonathan Byrd,70.21,1334,19
39,0,22293,Heath Slocum,70.25,843,12
40,0,01685,J.L. Lewis,70.26,1616,23
41,0,10425,Jay Williamson,70.27,773,11
42,0,21633,Steve Allan,70.29,1195,17
42,0,23725,Brendan Jones,70.29,1195,17
44,0,10885,Robert Allenby,70.36,985,14
45,0,10860,Justin Leonard,70.38,915,13
46,0,22295,Darron Stiles,70.40,1056,15
46,0,27095,Nick Watney,70.40,1408,20
48,0,20474,Phillip Price,70.42,845,12
49,0,20382,Stephen Leaney,70.45,775,11
50,0,19846,Brian Gay,70.47,1339,19
50,0,02246,Duffy Waldorf,70.47,1198,17
52,0,01035,Tommy Armour III,70.50,1410,20
52,0,24361,Pat Perez,70.50,1128,16
52,0,24138,Ian Poulter,70.50,564,8
55,0,01928,Corey Pavin,70.56,1129,16
56,0,12510,Chad Campbell,70.58,847,12
57,0,24980,Scott Gutschewski,70.60,706,10
57,0,20663,Brenden Pappas,70.60,353,5
57,0,01941,Tom Pernice Jr.,70.60,1059,15
60,0,01361,Dan Forsman,70.67,848,12
61,0,23623,Bo Van Pelt,70.69,1131,16
62,0,20157,Retief Goosen,70.71,495,7
63,0,06621,Joe Durant,70.75,1132,16
63,0,24024,Zach Johnson,70.75,849,12
63,0,01948,Tim Petrovic,70.75,1698,24
66,0,20098,Stuart Appleby,70.77,920,13
67,0,25240,D.A. Points,70.78,1628,23
68,0,23353,J.J. Henry,70.79,991,14
68,0,01553,John Huston,70.79,1345,19
70,0,20121,Todd Fischer,70.80,1062,15
70,0,12782,Tim Herron,70.80,708,10
72,0,12645,Brent Geiberger,70.82,1204,17
72,0,20645,John Senden,70.82,1204,17
74,0,21407,Arjun Atwal,70.83,425,6
74,0,01418,Bill Glasson,70.83,850,12
74,0,20378,Mathias Grönberg,70.83,850,12
74,0,23320,Ryan Palmer,70.83,850,12
74,0,02010,Loren Roberts,70.83,850,12
79,0,02101,Joey Sindelar,70.84,1771,25
80,0,22046,Geoff Ogilvy,70.85,921,13
81,0,06004,Stephen Ames,70.88,567,8
81,0,24357,K.J. Choi,70.88,567,8
81,0,12660,Jesper Parnevik,70.88,1134,16
84,0,20572,Rod Pampling,70.90,709,10
84,0,22548,Patrick Sheehan,70.90,1418,20
86,0,01024,Billy Andrade,70.92,851,12
86,0,24227,Justin Bolli,70.92,851,12
88,0,08075,Jerry Kelly,70.93,1064,15
89,0,20628,Arron Oberholser,70.94,1135,16
89,0,21951,Joey Snyder III,70.94,1135,16
91,0,24507,Jason Bohn,70.95,1419,20
92,0,01226,Fred Couples,71.00,497,7
92,0,23541,Ben Crane,71.00,781,11
92,0,06332,Neal Lancaster,71.00,923,13
92,0,01666,Bernhard Langer,71.00,781,11
92,0,06373,José María Olazábal,71.00,568,8
92,0,20396,Lee Westwood,71.00,639,9
98,0,12454,Mario Tiziani,71.06,1208,17
99,0,01313,Steve Elkington,71.08,853,12
100,0,10201,Matt Gogel,71.13,1138,16
101,0,22405,Justin Rose,71.14,996,14
102,0,25396,Kevin Na,71.15,925,13
102,0,12602,Dean Wilson,71.15,925,13
104,0,22371,Aaron Baddeley,71.16,1352,19
105,0,25900,Lucas Glover,71.18,783,11
106,0,06251,Chris DiMarco,71.20,1068,15
107,0,19881,Robert Damron,71.24,1211,17
108,0,21805,Harrison Frazar,71.29,1212,17
108,0,26758,David Hearn,71.29,998,14
108,0,23497,Tag Ridings,71.29,1212,17
111,0,21961,Charles Howell III,71.31,927,13
111,0,23788,D.J. Trahan,71.31,927,13
113,0,23621,Rory Sabbatini,71.33,642,9
113,0,24502,Adam Scott,71.33,428,6
115,0,23349,Charles Warren,71.36,1570,22
116,0,21878,Mark Wilson,71.38,1142,16
117,0,21949,Joe Ogilvie,71.40,1071,15
117,0,10423,Mike Weir,71.40,1071,15
119,0,02106,Chris Smith,71.42,1357,19
120,0,12652,Cameron Beckman,71.44,1786,25
120,0,08931,Glen Day,71.44,1286,18
120,0,08725,Tom Gillis,71.44,1286,18
120,0,23552,Hank Kuehne,71.44,1286,18
120,0,01724,Jeff Maggert,71.44,1143,16
125,0,06197,Michael Allen,71.46,929,13
126,0,12823,Carlos Franco,71.47,1215,17
127,0,11032,Frank Lickliter II,71.53,1359,19
127,0,01723,Andrew Magee,71.53,1359,19
129,0,21731,Freddie Jacobson,71.54,930,13
130,0,01797,Rocco Mediate,71.56,644,9
131,0,20812,Tjaart van der Walt,71.57,1002,14
132,0,23409,James Driscoll,71.58,1360,19
133,0,01823,Larry Mize,71.60,716,10
134,0,01388,Robert Gamez,71.63,1361,19
135,0,22913,John Rollins,71.64,1003,14
136,0,08385,Omar Uresti,71.65,1218,17
137,0,24290,D.J. Brigman,71.67,860,12
137,0,12680,Shigeki Maruyama,71.67,860,12
137,0,20691,Greg Owen,71.67,1505,21
140,0,01707,Steve Lowery,71.68,1577,22
141,0,01157,Tom Byrum,71.69,1147,16
142,0,10733,Kent Jones,71.70,1649,23
143,0,01487,Jeff Hart,71.71,1219,17
144,0,26679,Kevin Stadler,71.72,1291,18
145,0,07223,Brian Bateman,71.73,1578,22
146,0,08993,Franklin Langham,71.74,1363,19
147,0,01599,Steve Jones,71.77,933,13
148,0,02223,Bob Tway,71.79,1005,14
149,0,01219,John Cook,71.80,718,10
149,0,23108,Matt Kuchar,71.80,718,10
151,0,20850,Daniel Chopra,71.81,1508,21
152,0,20634,Peter Lonard,71.82,1221,17
153,0,08545,Glen Hnatiuk,71.83,862,12
154,0,06515,Shaun Micheel,71.85,934,13
155,0,02206,David Toms,71.86,503,7
156,0,01132,Mark Brooks,71.88,1222,17
157,0,01457,Jay Haas,71.90,719,10
158,0,21959,Ted Purdy,71.91,1582,22
159,0,23036,Chris Anderson,71.94,1223,17
159,0,24781,Hunter Mahan,71.94,1295,18
161,0,24604,Hunter Haas,72.00,792,11
161,0,25847,Rob Rashell,72.00,1008,14
163,0,10585,Scott McCarron,72.08,865,12
163,0,20127,Chris Riley,72.08,937,13
165,0,20433,Mark Hensby,72.11,649,9
166,0,20502,Michael Long,72.13,1082,15
167,0,10962,Bradley Hughes,72.14,1010,14
168,0,20099,Doug Barron,72.18,794,11
168,0,01677,Tom Lehman,72.18,1227,17
168,0,20160,Charlie Wi,72.18,794,11
171,0,01329,Brad Faxon,72.22,650,9
172,0,01761,Len Mattiace,72.26,1373,19
173,0,19972,José Coceres,72.31,1157,16
174,0,01927,Dennis Paulson,72.33,651,9
175,0,01473,Todd Hamilton,72.36,796,11
