RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,08793,Tiger Woods,68.81,2546,37
2,0,06527,Steve Stricker,69.71,2440,35
3,0,10809,Jim Furyk,69.93,4196,60
4,0,22378,Trevor Immelman,70.02,3501,50
5,0,23983,Luke Donald,70.08,2523,36
6,0,11032,Frank Lickliter II,70.12,3506,50
6,0,24502,Adam Scott,70.12,2875,41
8,0,20229,Stewart Cink,70.19,3299,47
9,0,20105,Jeff Gove,70.20,3159,45
10,0,06350,Bob May,70.23,2177,31
11,0,24138,Ian Poulter,70.34,2251,32
11,0,06567,Vijay Singh,70.34,4080,58
13,0,08075,Jerry Kelly,70.37,3800,54
14,0,25804,Bubba Watson,70.38,2604,37
15,0,07749,Brett Quigley,70.39,4294,61
16,0,24357,K.J. Choi,70.40,2957,42
17,0,01945,Kenny Perry,70.42,2324,33
18,0,24925,Jonathan Byrd,70.47,2396,34
19,0,22293,Heath Slocum,70.52,2962,42
20,0,06522,Ernie Els,70.53,2821,40
21,0,01810,Phil Mickelson,70.54,2751,39
21,0,27095,Nick Watney,70.54,3245,46
23,0,07867,Woody Austin,70.55,3739,53
24,0,02239,Scott Verplank,70.57,3105,44
25,0,01320,Bob Estes,70.58,2823,40
25,0,23621,Rory Sabbatini,70.58,2682,38
27,0,10885,Robert Allenby,70.61,2895,41
27,0,12510,Chad Campbell,70.61,3248,46
27,0,19846,Brian Gay,70.61,3813,54
30,0,01381,Fred Funk,70.63,3602,51
30,0,01388,Robert Gamez,70.63,2825,40
30,0,12602,Dean Wilson,70.63,3814,54
33,0,20645,John Senden,70.64,3108,44
33,0,02206,David Toms,70.64,2967,42
35,0,20382,Stephen Leaney,70.65,3038,43
36,0,06643,Paul Goydos,70.66,2473,35
36,0,23349,Charles Warren,70.66,3109,44
38,0,20098,Stuart Appleby,70.68,3110,44
38,0,24024,Zach Johnson,70.68,3322,47
40,0,06373,José María Olazábal,70.70,1909,27
41,0,06621,Joe Durant,70.71,3960,56
42,0,12716,Charley Hoffman,70.73,3961,56
42,0,27770,Camilo Villegas,70.73,3395,48
44,0,23541,Ben Crane,70.74,2759,39
44,0,02110,Jerry Smith,70.74,2688,38
44,0,08385,Omar Uresti,70.74,1910,27
47,0,23718,Nathan Green,70.76,3609,51
48,0,20472,Alex Cejka,70.79,3044,43
48,0,23353,J.J. Henry,70.79,3327,47
48,0,01707,Steve Lowery,70.79,3327,47
