RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
557,0,58785,Michael Herrera,25,6
557,0,54370,Erik Matthewson,25,25
557,0,46374,Tracy Phillips,25,10
557,0,29476,Kyle Reifers,25,25
557,0,35413,Kevin Stinson,25,6
557,0,65110,Brendan Valdes,25,10
557,0,59204,Andrew Walker,25,25
568,0,45527,Kevin Aylwin,24,11
568,0,54788,Chandler Blanchet,24,24
568,0,51363,George Bryan IV,24,7
568,0,46301,Juan Jose Guerra,24,24
568,0,35296,Haotong Li,24,17
568,0,51441,KK Limbhasut,24,24
568,0,66562,Justin Matthews,24,6
568,0,59184,Ben Sigel,24,24
568,0,48705,Dalton Ward,24,9
568,0,65580,Ben Warian,24,24
568,0,66745,Wells Williams,24,24
579,0,23614,Rich Beem,23,23
579,0,01098,Jay Don Blake,23,5
579,0,59869,Larkin Gross,23,5
579,0,64053,Nick Jones,23,0
579,0,67803,Bowen Mauss,23,8
579,0,48102,Carson Schaake,23,12
579,0,56625,Max Sear,23,1
586,0,58065,Denwit David Boriboonsub,22,10
586,0,51735,Evan Bowser,22,22
586,0,66651,Jakob Chicoyne,22,4
586,0,34306,John Chin,22,22
586,0,47987,Cole Hammer,22,4
586,0,22046,Geoff Ogilvy,22,22
586,0,54792,Chris Petefish,22,12
586,0,58551,Marc-Olivier Plasse,22,13
586,0,47567,Ben Polland,22,0
586,0,59020,Luke Schniederjans,22,3
586,0,54185,Elvis Smylie,22,22
586,0,52144,Braden Thornberry,22,22
598,0,49371,Otto Black,21,21
598,0,50759,Michael Blair,21,21
598,0,59608,Morgan Deneen,21,21
598,0,50527,Jared du Toit,21,21
598,0,49893,Mark Geddes,21,7
598,0,59018,Ryan Gerard,21,17
598,0,56743,Chad Hambright,21,5
598,0,66346,Bryan Kim,21,21
598,0,31109,Richard Lee,21,21
598,0,52287,David Ravetto,21,6
598,0,49801,Preston Stanley,21,2
598,0,33870,Ashun Wu,21,7
610,0,49117,Isidro Benitez,20,20
610,0,29479,Scott Brown,20,11
