RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,47959,Bryson DeChambeau,80.00,176,44,-115,+5
2,0,30911,Tommy Fleetwood,79.57,74,19,-33,+2
3,0,28237,Rory McIlroy,77.35,140,41,-79,+7
4,0,45157,Cam Davis,75.82,116,37,-74,+5
5,0,56278,Matthew Wolff,75.22,173,57,-95,+9
6,0,49964,Aaron Wise,74.36,87,30,-38,-4
7,0,21209,Sergio Garcia,74.11,83,29,-48,-5
8,0,46970,Jon Rahm,73.61,159,57,-101,-3
9,0,34213,Grayson Murray,73.33,77,28,-44,+8
10,1,25364,Paul Casey,72.67,117,44,-55,-7
11,1,35658,Kris Ventura,72.63,69,26,-38,+3
12,2,52372,Cameron Champ,72.53,169,64,-100,+17
13,2,40026,Daniel Berger,72.38,131,50,-80,-12
14,-4,48081,Xander Schauffele,72.17,166,64,-101,-9
15,-2,27129,Luke List,72.02,157,61,-91,+4
16,0,47504,Sam Burns,71.14,143,58,-83,-3
17,0,27064,Jhonattan Vegas,70.63,89,37,-51,+3
18,4,30925,Dustin Johnson,70.59,120,50,-78,+7
19,-1,51766,Wyndham Clark,70.48,117,49,-79,+1
20,-1,35450,Patrick Cantlay,69.82,118,51,-73,-3
21,-1,56762,Will Gordon,69.70,46,20,-27,+1
22,-1,31323,Gary Woodland,69.35,138,61,-79,+2
23,0,29725,Tony Finau,68.60,142,65,-89,-7
24,0,46717,Viktor Hovland,68.56,133,61,-83,+7
25,0,39546,Keith Mitchell,67.78,122,58,-65,+8
26,0,25804,Bubba Watson,67.48,139,67,-81,+4
27,1,33448,Justin Thomas,67.44,145,70,-101,-2
28,-1,37275,Sam Ryder,67.18,131,64,-58,+1
29,0,29926,Danny Lee,67.02,126,62,-68,+11
30,0,27974,Sung Kang,66.81,155,77,-75,+3
30,0,37455,Si Woo Kim,66.81,151,75,-68,+2
32,0,46550,Brandon Hagy,66.67,80,40,-49,+5
33,0,23788,D.J. Trahan,66.35,69,35,-30,-4
34,0,26300,Matt Jones,66.02,136,70,-86,-6
35,2,32839,Hideki Matsuyama,65.93,149,77,-92,-8
36,5,39971,Sungjae Im,65.92,176,91,-108,-3
37,-2,40042,Tyler McCumber,65.87,83,43,-44,+6
38,4,29221,Webb Simpson,65.68,111,58,-67,-4
39,-3,32791,K.H. Lee,65.61,124,65,-54,-9
40,-2,24502,Adam Scott,65.57,80,42,-39,-7
41,-1,46441,Robby Shelton,65.48,129,68,-69,-2
42,1,28420,Ryan Brehm,65.14,71,38,-49,+10
43,1,37189,Harold Varner III,65.13,127,68,-69,E
44,1,32139,Danny Willett,65.00,78,42,-35,E
45,1,25900,Lucas Glover,64.92,124,67,-61,+11
46,1,27554,Scott Harrington,64.89,122,66,-66,+2
47,0,48822,Sebastián Muñoz,64.83,188,102,-100,-8
48,1,30944,Jason Kokrak,64.61,115,63,-56,E
49,1,36699,Patrick Rodgers,64.42,172,95,-95,-2
50,6,23320,Ryan Palmer,64.18,129,72,-76,-17
51,0,34360,Patrick Reed,64.10,150,84,-95,-8
52,6,50525,Collin Morikawa,64.02,169,95,-101,-21
53,-1,39997,Corey Conners,63.91,147,83,-71,-11
54,-1,01810,Phil Mickelson,63.83,90,51,-49,-2
55,-1,29970,Dylan Frittelli,63.82,157,89,-81,-10
56,-1,22405,Justin Rose,63.79,74,42,-41,-4
57,0,31420,Anirban Lahiri,63.29,50,29,-26,-3
58,1,35617,Martin Trainer,63.27,93,54,-43,+13
59,1,30692,Scott Stallings,63.16,120,70,-67,+3
60,2,48887,Matt Wallace,62.91,95,56,-56,-7
61,2,25818,Scott Piercy,62.72,106,63,-59,-5
62,2,33667,Carlos Ortiz,62.70,158,94,-82,+5
63,2,28307,Matt Every,62.59,92,55,-40,+5
64,-3,45486,Joaquin Niemann,62.44,133,80,-65,-7
65,2,33419,Cameron Tringale,62.37,121,73,-71,-10
66,3,46402,Talor Gooch,62.11,159,97,-95,+2
67,3,12716,Charley Hoffman,62.09,113,69,-69,-12
68,8,45526,Abraham Ancer,61.66,119,74,-68,-3
69,-1,34099,Harris English,61.44,145,91,-82,-12
70,1,49960,Sepp Straka,61.33,138,87,-84,-1
71,1,46046,Scottie Scheffler,61.26,155,98,-87,-9
72,1,21961,Charles Howell III,61.20,112,71,-66,-3
73,1,49766,Hank Lebioda,61.19,82,52,-39,-3
74,1,34046,Jordan Spieth,61.18,104,66,-61,-5
75,2,47347,Adam Schenk,61.03,119,76,-74,-6
76,2,33597,Harry Higgs,60.94,142,91,-69,+6
77,3,35461,Beau Hossler,60.82,104,67,-54,+5
78,3,36689,Brooks Koepka,60.77,79,51,-41,+2
79,3,39977,Max Homa,60.75,130,84,-67,-1
80,3,27349,Alex Noren,60.53,92,60,-62,-5
81,3,33449,Zack Sucher,60.44,55,36,-30,+5
82,3,33948,Byeong Hun An,60.38,128,84,-65,+6
83,3,51894,Vince Whaley,60.23,53,35,-33,+5
84,3,28089,Jason Day,60.14,86,57,-48,-1
85,3,32102,Rickie Fowler,60.13,95,63,-56,+1
86,3,49771,J.T. Poston,60.09,131,87,-74,+1
87,3,47993,Denny McCarthy,59.83,140,94,-87,+4
88,3,33404,Chris Baker,59.63,65,44,-37,+1
89,12,29420,Billy Horschel,59.50,119,81,-69,-7
89,3,33204,Shane Lowry,59.50,72,49,-42,-5
91,2,34563,Chesson Hadley,59.49,94,64,-66,-5
92,3,31646,Emiliano Grillo,59.43,104,71,-58,-2
93,3,32366,Kevin Chappell,59.32,70,48,-30,E
94,3,29974,Branden Grace,59.17,71,49,-32,-1
94,3,27095,Nick Watney,59.17,71,49,-35,-14
96,3,26596,Ryan Moore,59.06,75,52,-25,-6
97,10,35310,Lanto Griffin,59.02,180,125,-106,E
98,2,32333,Kevin Tway,58.87,73,51,-35,+4
99,2,29518,Brendan Steele,58.85,113,79,-49,-4
100,3,32757,Patton Kizzire,58.82,90,63,-56,-8
100,3,35230,Nelson Ledesma,58.82,50,35,-23,+5
102,3,36871,Matthew NeSmith,58.76,104,73,-60,+2
103,3,32254,Xinjun Zhang,58.64,129,91,-75,-8
104,4,33141,Keegan Bradley,57.79,115,84,-61,-4
105,4,33410,Andrew Landry,57.37,109,81,-48,E
106,4,34076,Joel Dahmen,57.28,122,91,-59,+5
106,4,46442,Maverick McNealy,57.28,118,88,-68,E
108,4,29268,Bronson Burgoon,57.06,93,70,-53,-6
109,4,39324,J.J. Spaun,56.91,103,78,-53,-17
110,4,29479,Scott Brown,56.89,95,72,-54,+1
111,4,32662,Michael Gligic,56.41,66,51,-39,-10
112,4,36801,Mark Hubbard,56.40,141,109,-88,-14
113,4,34255,Joseph Bramlett,56.15,73,57,-43,-3
114,4,30163,Henrik Norlander,56.12,110,86,-55,-7
115,27,34363,Tyrrell Hatton,56.10,69,54,-37,-20
116,3,26499,Rafa Cabrera Bello,55.97,75,59,-34,-5
117,6,26851,Marc Leishman,55.87,100,79,-54,+1
118,2,30110,Kyle Stanley,55.84,86,68,-42,-5
119,2,27649,Brandt Snedeker,55.74,102,81,-46,-9
120,2,32640,Troy Merritt,55.61,109,87,-58,-3
121,2,47128,Richy Werenski,55.56,95,76,-54,-4
122,3,33122,Russell Knox,55.21,90,73,-42,-9
123,3,29484,Peter Uihlein,55.14,59,48,-42,-9
124,3,27644,Brian Harman,55.08,130,106,-87,-4
125,3,49298,Kramer Hickok,55.05,60,49,-37,-2
126,3,29908,C.T. Pan,54.97,83,68,-29,-12
127,3,32448,James Hahn,54.81,57,47,-37,-13
128,3,23621,Rory Sabbatini,54.71,93,77,-49,-11
129,3,25493,Nick Taylor,54.60,95,79,-54,-7
130,3,35732,Wes Roach,54.55,42,35,-17,-1
131,3,27214,Kevin Streelman,54.46,110,92,-64,-22
132,9,35891,Cameron Smith,54.01,101,86,-66,+10
133,2,35506,Mackenzie Hughes,53.92,110,94,-66,-2
134,2,22056,Cameron Percy,53.70,58,50,-33,-5
135,3,29478,Kevin Kisner,53.68,102,88,-48,-16
136,1,33399,Adam Hadwin,53.33,104,91,-59,-13
137,2,34314,Sebastian Cappelen,53.17,67,59,-26,+3
138,2,35532,Tom Hoge,53.10,120,106,-59,-6
139,4,24924,Bill Haas,52.85,65,58,-29,-15
140,4,34431,Robert Streb,52.73,58,52,-28,-7
141,4,33486,Roger Sloan,52.67,69,62,-33,-2
142,4,22371,Aaron Baddeley,52.48,74,67,-45,-3
143,4,27936,Martin Laird,52.25,58,53,-36,-1
144,4,53165,Doc Redman,52.24,128,117,-73,-13
145,4,46435,Austin Cook,52.12,86,79,-34,-10
146,4,29535,Brice Garnett,51.97,79,73,-49,-2
147,5,25396,Kevin Na,51.87,111,103,-56,-6
148,3,32150,Michael Thompson,51.60,97,91,-53,-8
149,4,45609,Tyler Duncan,51.44,125,118,-66,-6
150,4,33413,Ben Martin,51.43,36,34,-17,-4
151,4,23623,Bo Van Pelt,51.35,57,54,-24,+9
152,4,35449,Adam Long,51.21,127,121,-73,-17
153,4,40098,Matt Fitzpatrick,51.20,85,81,-44,-11
153,4,39953,Chase Seiffert,51.20,64,61,-44,-6
155,4,33490,Bo Hoag,51.16,88,84,-47,+1
156,4,34021,Bud Cauley,50.99,103,99,-53,-16
157,4,19803,Ryan Armour,50.97,79,76,-44,-14
158,4,28775,Nate Lashley,50.94,81,78,-46,-10
159,4,24138,Ian Poulter,50.78,65,63,-35,-22
160,4,28679,Fabián Gómez,50.00,66,66,-35,+6
160,4,24024,Zach Johnson,50.00,90,90,-49,-11
160,4,23108,Matt Kuchar,50.00,95,95,-53,-5
160,4,24361,Pat Perez,50.00,73,73,-41,-8
164,4,27963,Chris Stroud,49.29,69,71,-32,-2
165,4,34098,Russell Henley,48.50,97,103,-43,-18
166,4,27942,Rob Oppenheim,47.65,71,78,-39,-3
167,4,26329,Louis Oosthuizen,47.55,68,75,-28,-9
168,4,33120,Mark Anderson,46.67,56,64,-26,E
169,4,25632,Jimmy Walker,46.21,67,78,-26,-5
170,4,20229,Stewart Cink,46.20,79,92,-37,-10
171,4,28252,Seamus Power,45.95,34,40,-28,-1
172,4,52375,Doug Ghim,45.24,38,46,-27,+2
173,4,40009,Dominic Bozzelli,45.05,41,50,-19,-3
174,4,27330,Josh Teater,44.94,40,49,-33,+2
175,4,32618,Rhein Gibson,44.74,51,63,-31,-1
176,4,34466,Peter Malnati,44.64,75,93,-40,-11
177,4,48045,Michael Gellerman,44.44,48,60,-21,-6
177,4,34256,Andrew Putnam,44.44,52,65,-17,-1
179,4,31557,Jim Herman,44.32,82,103,-34,-11
180,4,25572,Graeme McDowell,44.29,62,78,-27,-8
181,5,25686,Jason Dufner,44.04,85,108,-44,-13
182,5,26476,Chez Reavie,43.89,97,124,-58,-24
183,5,10809,Jim Furyk,43.80,53,68,-28,-19
184,5,25349,Tim Wilkinson,43.69,45,58,-28,-11
185,5,27556,Ted Potter Jr.,43.48,50,65,-20,-1
186,5,26758,David Hearn,42.15,51,70,-23,-13
187,5,23325,Vaughn Taylor,42.00,63,87,-21,-14
188,5,31560,Brian Stuard,41.94,91,126,-50,-18
189,6,30927,Brendon Todd,41.85,113,157,-62,-18
190,7,19846,Brian Gay,39.68,75,114,-41,-11
191,7,48119,Ben Taylor,38.61,39,62,-14,-2
192,7,21407,Arjun Atwal,37.68,26,43,-14,-4
193,8,40058,Zac Blair,33.90,60,117,-26,-26
