RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,51894,Vince Whaley,245.0,467406.000,53
2,0,32618,Rhein Gibson,245.1,449943.000,51
3,0,56762,Will Gordon,245.4,415161.000,47
4,0,28420,Ryan Brehm,246.8,684145.000,77
5,0,32662,Michael Gligic,247.2,587386.000,66
6,0,33413,Ben Martin,248.5,322017.000,36
6,0,27095,Nick Watney,248.5,644100.000,72
8,0,36689,Brooks Koepka,248.8,716462.000,80
9,0,49298,Kramer Hickok,249.0,537943.000,60
10,0,24361,Pat Perez,249.4,655460.000,73
11,0,35658,Kris Ventura,249.6,637929.000,71
12,0,28252,Seamus Power,250.3,315337.000,35
13,0,45157,Cam Davis,250.4,1072612.000,119
14,0,33122,Russell Knox,250.5,811764.000,90
14,0,27129,Luke List,250.5,1415999.000,157
16,0,35461,Beau Hossler,250.6,947272.000,105
17,0,37189,Harold Varner III,250.7,1164348.000,129
18,0,39546,Keith Mitchell,250.8,1119764.000,124
19,0,27942,Rob Oppenheim,251.0,641490.000,71
20,0,36871,Matthew NeSmith,251.2,940611.000,104
21,0,32640,Troy Merritt,251.4,986307.000,109
22,0,21407,Arjun Atwal,251.5,235434.000,26
23,0,39953,Chase Seiffert,251.8,580150.000,64
24,0,34563,Chesson Hadley,251.9,852274.000,94
25,0,25632,Jimmy Walker,252.2,608318.000,67
26,0,34213,Grayson Murray,252.7,727847.000,80
27,0,27554,Scott Harrington,253.0,1138650.000,125
28,0,12716,Charley Hoffman,253.3,1030240.000,113
28,0,39977,Max Homa,253.3,1185641.000,130
30,0,33141,Keegan Bradley,253.5,1049388.000,115
30,0,47504,Sam Burns,253.5,1323079.000,145
30,0,49960,Sepp Straka,253.5,1259328.000,138
33,0,33120,Mark Anderson,253.8,511588.000,56
33,16,52372,Cameron Champ,253.8,1644562.000,180
35,-1,19846,Brian Gay,253.9,685431.000,75
36,-1,32333,Kevin Tway,254.1,676862.000,74
37,-1,34255,Joseph Bramlett,254.2,677096.000,74
37,-1,40042,Tyler McCumber,254.2,814402.000,89
39,20,40026,Daniel Berger,254.3,1199473.000,131
39,-1,46402,Talor Gooch,254.3,1464943.000,160
39,14,23320,Ryan Palmer,254.3,1181051.000,129
42,-3,26300,Matt Jones,254.4,1254478.000,137
42,-3,23621,Rory Sabbatini,254.4,851815.000,93
44,-3,53165,Doc Redman,254.5,1172732.000,128
