RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,23983,Luke Donald,16' 6",313.167,19,E
2,0,06621,Joe Durant,17' 2",412.250,24,+3
3,0,01927,Dennis Paulson,17' 11",754.000,42,+11
4,0,23135,Tim Clark,18' 0",700.667,39,-7
4,0,01810,Phil Mickelson,18' 0",612.333,34,-6
6,0,01418,Bill Glasson,18' 2",417.500,23,+7
7,0,24138,Ian Poulter,18' 3",255.250,14,+6
8,0,02010,Loren Roberts,18' 4",349.000,19,+2
9,0,12510,Chad Campbell,18' 6",555.250,30,E
10,0,20474,Phillip Price,18' 10",715.833,38,-7
11,0,20628,Arron Oberholser,18' 11",453.917,24,+1
12,0,22295,Darron Stiles,19' 1",897.250,47,+1
13,0,23320,Ryan Palmer,19' 2",651.833,34,+10
14,0,24502,Adam Scott,19' 3",635.083,33,+2
15,0,01219,John Cook,19' 4",656.750,34,+12
16,0,01035,Tommy Armour III,19' 6",1052.083,54,+8
17,0,20634,Peter Lonard,19' 10",673.583,34,+6
18,0,07867,Woody Austin,19' 11",777.917,39,+3
19,0,01226,Fred Couples,20' 0",479.000,24,-2
19,0,21350,Ryuji Imada,20' 0",639.917,32,+4
21,0,20498,Briny Baird,20' 1",662.833,33,+6
21,0,01313,Steve Elkington,20' 1",481.250,24,+3
23,0,20382,Stephen Leaney,20' 5",632.417,31,-1
23,0,23621,Rory Sabbatini,20' 5",1021.750,50,+8
25,0,21407,Arjun Atwal,20' 6",409.333,20,+1
25,0,01457,Jay Haas,20' 6",286.833,14,-1
27,0,26420,Richard Johnson,20' 7",309.167,15,+2
27,0,01723,Andrew Magee,20' 7",883.500,43,+11
29,0,01127,Danny Briggs,20' 9",436.000,21,+9
29,0,01487,Jeff Hart,20' 9",706.500,34,-1
31,0,01361,Dan Forsman,20' 11",438.417,21,-1
32,0,01381,Fred Funk,21' 0",755.083,36,-3
33,0,12652,Cameron Beckman,21' 1",1013.500,48,+2
33,0,10201,Matt Gogel,21' 1",570.083,27,+3
33,0,23322,Brett Wetterich,21' 1",1035.000,49,-6
36,0,20099,Doug Barron,21' 2",825.000,39,+8
36,0,01139,Olin Browne,21' 2",699.417,33,-1
38,0,06251,Chris DiMarco,21' 4",853.000,40,+10
39,0,10860,Justin Leonard,21' 8",303.083,14,+7
40,0,21806,Paul Gow,21' 11",853.250,39,+3
40,0,02223,Bob Tway,21' 11",461.000,21,+5
40,0,12602,Dean Wilson,21' 11",723.833,33,+7
43,0,20850,Daniel Chopra,22' 0",988.917,45,E
43,0,06373,José María Olazábal,22' 0",440.000,20,+2
45,0,25396,Kevin Na,22' 1",971.833,44,-6
46,0,10425,Jay Williamson,22' 2",421.083,19,+4
47,0,01666,Bernhard Langer,22' 3",577.917,26,-2
48,0,21959,Ted Purdy,22' 6",1125.333,50,+4
48,0,02239,Scott Verplank,22' 6",539.083,24,+3
50,0,24507,Jason Bohn,22' 7",904.667,40,+4
50,0,21753,Brian Davis,22' 7",723.333,32,+1
50,0,20766,Padraig Harrington,22' 7",541.750,24,+1
50,0,26287,Roland Thatcher,22' 7",1149.667,51,+4
54,0,19972,José Coceres,22' 8",724.000,32,+4
54,0,23623,Bo Van Pelt,22' 8",1111.750,49,+1
56,0,01706,Davis Love III,22' 9",432.250,19,-2
56,0,06567,Vijay Singh,22' 9",1549.333,68,-3
58,0,20229,Stewart Cink,22' 10",867.500,38,+5
59,0,01161,Mark Calcavecchia,22' 11",986.417,43,+2
59,0,01473,Todd Hamilton,22' 11",1444.917,63,+10
61,0,01320,Bob Estes,23' 1",599.417,26,-2
61,0,22293,Heath Slocum,23' 1",1015.833,44,-4
63,0,06575,Dudley Hart,23' 2",742.083,32,+13
63,0,21878,Mark Wilson,23' 2",741.083,32,+7
65,0,22405,Justin Rose,23' 3",1208.667,52,-2
66,0,06034,Marco Dawson,23' 4",1096.417,47,+5
66,0,22548,Patrick Sheehan,23' 4",1026.500,44,+13
68,0,01685,J.L. Lewis,23' 5",889.917,38,+1
68,0,02104,Jeff Sluman,23' 5",914.250,39,+2
70,0,12680,Shigeki Maruyama,23' 6",1152.667,49,+6
70,0,22046,Geoff Ogilvy,23' 6",1176.167,50,+2
70,0,22913,John Rollins,23' 6",1431.417,61,+14
73,0,24781,Hunter Mahan,23' 7",1438.167,61,+17
74,0,06004,Stephen Ames,23' 8",450.083,19,+7
74,0,08545,Glen Hnatiuk,23' 8",639.167,27,+3
74,0,01797,Rocco Mediate,23' 8",709.583,30,E
74,0,01945,Kenny Perry,23' 8",638.833,27,-2
78,0,19881,Robert Damron,23' 9",665.917,28,+4
78,0,10962,Bradley Hughes,23' 9",379.333,16,+5
78,0,10585,Scott McCarron,23' 9",950.083,40,-1
78,0,25847,Rob Rashell,23' 9",807.167,34,+14
78,0,12454,Mario Tiziani,23' 9",641.500,27,+5
83,0,20548,Hidemichi Tanaka,23' 10",1048.000,44,+2
83,0,02206,David Toms,23' 10",715.083,30,+4
83,0,08385,Omar Uresti,23' 10",595.917,25,+1
86,0,08123,Jeff Brehaut,23' 11",478.333,20,E
86,0,07457,Steve Flesch,23' 11",670.000,28,+5
86,0,23497,Tag Ridings,23' 11",1242.333,52,+8
86,0,02214,Kirk Triplett,23' 11",454.667,19,+3
86,0,08793,Tiger Woods,23' 11",909.417,38,-3
91,0,19846,Brian Gay,24' 0",913.167,38,+3
91,0,06527,Steve Stricker,24' 0",840.583,35,-3
93,0,01677,Tom Lehman,24' 1",506.333,21,+1
94,0,01042,Paul Azinger,24' 2",944.000,39,+14
94,0,23614,Rich Beem,24' 2",604.667,25,+6
94,0,21209,Sergio Garcia,24' 2",1161.333,48,-1
94,0,01761,Len Mattiace,24' 2",1159.000,48,+9
98,0,08931,Glen Day,24' 3",1091.500,45,+7
98,0,21498,Hideto Tanihara,24' 3",436.750,18,+5
100,0,23036,Chris Anderson,24' 5",561.417,23,-2
100,0,24925,Jonathan Byrd,24' 5",1293.083,53,+9
100,0,12826,Paul Claxton,24' 5",561.250,23,+1
100,0,20378,Mathias Grönberg,24' 5",757.333,31,+1
