RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,02206,David Toms,11' 10",1956.167,165,62,5"
2,0,20229,Stewart Cink,11' 6",2864.917,249,58,2"
2,0,23548,Bill Lunde,11' 6",1229.667,107,59,7"
4,0,35451,Scott Pinckney,11' 5",2792.167,244,68,3"
5,0,40058,Zac Blair,11' 4",3102.417,273,75,4"
6,0,23983,Luke Donald,11' 3",1953.500,174,67,3"
7,0,28500,Martin Flores,11' 2",2804.333,252,55,2"
8,0,21753,Brian Davis,11' 1",2387.250,216,49,6"
8,0,25686,Jason Dufner,11' 1",1623.000,146,65,4"
8,0,34256,Andrew Putnam,11' 1",1945.333,176,53,6"
11,0,20593,Greg Chalmers,11' 0",1275.250,116,45,8"
11,0,31560,Brian Stuard,11' 0",2681.750,244,56,4"
13,0,27770,Camilo Villegas,10' 11",2889.833,264,52,4"
13,0,20396,Lee Westwood,10' 11",1289.167,118,49,3"
15,0,23541,Ben Crane,10' 10",1746.083,161,54,3"
15,0,28679,Fabián Gómez,10' 10",2564.500,236,51,3"
15,0,33413,Ben Martin,10' 10",3187.000,295,70,4"
18,0,25369,Jamie Donaldson,10' 9",964.417,90,44,2
18,0,35539,Luke Guthrie,10' 9",2452.333,228,56,3"
18,0,34098,Russell Henley,10' 9",2684.583,249,73,2"
18,0,24140,Sean O'Hair,10' 9",2969.667,276,55,4"
18,0,34265,Will Wilcox,10' 9",1666.500,155,59,4"
23,0,26300,Matt Jones,10' 8",2639.250,247,75,4"
23,0,30711,Colt Knost,10' 8",2702.000,254,47,3"
23,0,25818,Scott Piercy,10' 8",3112.833,292,63,4"
23,0,33419,Cameron Tringale,10' 8",2822.833,264,43,2"
23,0,26951,Johnson Wagner,10' 8",1998.833,188,51,2"
28,0,24925,Jonathan Byrd,10' 7",1923.917,182,50,3"
28,0,29720,Andres Gonzales,10' 7",2670.250,253,71,2"
28,0,27466,Spencer Levin,10' 7",2737.917,258,58,4"
28,0,23800,Bryce Molder,10' 7",2750.833,260,46,4"
28,0,21878,Mark Wilson,10' 7",2834.500,267,61,6"
33,0,27895,Jonas Blixt,10' 6",1757.917,167,62,3"
33,0,21209,Sergio Garcia,10' 6",1398.083,133,64,5"
33,0,29222,Billy Hurley III,10' 6",1834.833,175,45,1
36,0,12510,Chad Campbell,10' 5",3139.667,301,95,4"
36,0,34174,John Huh,10' 5",2973.750,286,64,2"
36,0,22046,Geoff Ogilvy,10' 5",1114.417,107,53,4"
36,0,24361,Pat Perez,10' 5",3146.083,302,54,2"
36,0,32150,Michael Thompson,10' 5",2710.833,260,85,4"
41,0,29535,Brice Garnett,10' 4",2102.333,204,48,8"
41,0,33399,Adam Hadwin,10' 4",2832.833,275,43,6"
41,0,10860,Justin Leonard,10' 4",1688.667,164,56,2"
41,0,24138,Ian Poulter,10' 4",1733.833,168,41,5"
41,0,23623,Bo Van Pelt,10' 4",2285.500,222,46,3"
41,0,25349,Tim Wilkinson,10' 4",1687.833,163,48,2"
47,0,26758,David Hearn,10' 3",3137.417,306,43,3"
47,0,29420,Billy Horschel,10' 3",2848.917,278,50,3"
47,0,25562,Andres Romero,10' 3",1848.333,180,57,7"
47,0,27649,Brandt Snedeker,10' 3",2682.500,261,57,6"
47,0,34046,Jordan Spieth,10' 3",2731.250,267,47,4"
47,0,28780,Nicholas Thompson,10' 3",2328.917,227,57,5"
47,0,25892,Steve Wheatcroft,10' 3",2622.167,256,45,3"
54,0,32366,Kevin Chappell,10' 2",2759.750,272,54,3"
54,0,34262,Jon Curran,10' 2",1967.250,194,39,1"
54,0,20766,Padraig Harrington,10' 2",1495.667,147,41,1"
54,0,21961,Charles Howell III,10' 2",3266.917,322,52,2"
54,0,31202,William McGirt,10' 2",3245.250,319,44,5"
54,0,25240,D.A. Points,10' 2",1826.000,180,56,2"
54,0,25834,Daniel Summerhays,10' 2",3176.833,313,44,4"
54,0,29425,Andrew Svoboda,10' 2",2317.833,228,44,2"
62,0,22371,Aaron Baddeley,10' 1",2259.500,224,60,3"
62,0,32448,James Hahn,10' 1",2719.083,270,56,6"
62,0,37454,Whee Kim,10' 1",2001.750,199,43,4"
62,0,24781,Hunter Mahan,10' 1",2146.917,213,61,2"
62,0,32640,Troy Merritt,10' 1",2554.167,253,40,2"
67,0,25274,Steven Bowditch,10' 0",3029.167,302,47,2"
67,0,25364,Paul Casey,10' 0",2413.000,242,68,2"
67,0,36801,Mark Hubbard,10' 0",2006.250,200,69,2"
67,0,08075,Jerry Kelly,10' 0",2346.833,235,63,5"
67,0,24490,George McNeill,10' 0",3123.833,313,51,5"
67,0,35541,John Peterson,10' 0",2330.583,233,55,4"
67,0,27064,Jhonattan Vegas,10' 0",2288.000,228,55,3"
74,0,10885,Robert Allenby,9' 11",1422.500,143,41,3"
74,0,24357,K.J. Choi,9' 11",1911.000,192,61,4"
74,0,25191,Gonzalo Fernandez-Castaño,9' 11",1902.417,192,48,3"
74,0,31557,Jim Herman,9' 11",2643.250,267,47,3"
74,0,34261,Scott Langley,9' 11",2534.167,256,74,4"
74,0,27933,John Merrick,9' 11",1915.750,194,58,3"
74,0,26329,Louis Oosthuizen,9' 11",1602.667,162,54,3"
74,0,27214,Kevin Streelman,9' 11",2459.833,249,49,2"
82,0,24507,Jason Bohn,9' 10",3197.500,326,51,4"
82,0,20472,Alex Cejka,9' 10",2464.750,251,57,4"
82,0,32102,Rickie Fowler,9' 10",2092.500,213,71,4"
82,0,30852,Ryo Ishikawa,9' 10",2657.167,271,51,2"
82,0,26476,Chez Reavie,9' 10",1733.833,177,64,3"
87,0,33122,Russell Knox,9' 9",3003.000,308,49,2"
87,0,29476,Kyle Reifers,9' 9",2629.500,269,62,4"
87,0,27963,Chris Stroud,9' 9",2346.167,241,52,3"
87,0,31323,Gary Woodland,9' 9",1690.417,174,70,3"
91,0,35545,Blayne Barber,9' 8",2112.000,219,51,7"
91,0,24846,Ricky Barnes,9' 8",1983.000,205,51,3"
91,0,24494,Erik Compton,9' 8",2395.583,247,47,3"
91,0,31416,Derek Fathauer,9' 8",2006.583,207,51,6"
91,0,36689,Brooks Koepka,9' 8",2302.417,238,52,3"
91,0,25396,Kevin Na,9' 8",2424.750,251,56,5"
91,0,25345,Carl Pettersson,9' 8",3139.750,326,56,2"
91,0,34360,Patrick Reed,9' 8",2776.583,287,60,4"
91,0,23621,Rory Sabbatini,9' 8",2292.333,237,47,3"
91,0,24502,Adam Scott,9' 8",1074.583,111,65,6"
91,0,28023,Byron Smith,9' 8",1264.417,131,55,7"
