RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,02239,Scott Verplank,79.41,829,1044,-0.18
2,0,01381,Fred Funk,78.00,954,1223,-0.13
3,0,07363,Craig Bowden,76.59,844,1102,-0.07
4,0,01157,Tom Byrum,76.10,793,1042,-0.13
5,0,06621,Joe Durant,75.26,867,1152,-0.15
6,0,19972,José Coceres,74.38,665,894,-0.16
7,0,01142,Bart Bryant,74.32,712,958,-0.13
8,0,08385,Omar Uresti,74.03,838,1132,-0.12
9,0,20548,Hidemichi Tanaka,74.02,835,1128,-0.10
10,0,01139,Olin Browne,73.77,883,1197,-0.18
11,0,01219,John Cook,73.54,542,737,-0.13
12,0,23135,Tim Clark,73.35,757,1032,-0.14
13,0,02214,Kirk Triplett,73.15,733,1002,-0.20
14,0,24024,Zach Johnson,73.04,970,1328,-0.17
15,0,21878,Mark Wilson,72.73,608,836,-0.14
16,0,01928,Corey Pavin,72.64,738,1016,-0.13
17,0,08123,Jeff Brehaut,71.64,1018,1421,-0.12
17,0,22293,Heath Slocum,71.64,879,1227,-0.11
19,0,01677,Tom Lehman,71.20,618,868,-0.22
20,0,08075,Jerry Kelly,71.10,920,1294,-0.18
21,0,12682,Hirofumi Miyase,71.01,605,852,-0.05
22,0,01797,Rocco Mediate,70.96,413,582,-0.17
23,0,01766,Billy Mayfair,70.79,996,1407,-0.13
24,0,02099,Scott Simpson,70.73,522,738,-0.06
25,0,01527,Scott Hoch,70.65,455,644,-0.17
26,0,21959,Ted Purdy,70.52,1062,1506,-0.18
27,0,06251,Chris DiMarco,70.36,807,1147,-0.18
28,0,02246,Duffy Waldorf,70.06,653,932,-0.19
29,0,07721,Pat Bates,70.02,946,1351,-0.10
30,0,19881,Robert Damron,69.94,877,1254,-0.13
31,0,01619,Skip Kendall,69.87,844,1208,-0.16
32,0,12753,David Morland IV,69.78,672,963,-0.09
33,0,10733,Kent Jones,69.77,921,1320,-0.20
34,0,02010,Loren Roberts,69.76,706,1012,-0.19
35,0,23983,Luke Donald,69.64,624,896,-0.16
35,0,01724,Jeff Maggert,69.64,507,728,-0.18
37,0,20029,Notah Begay III,69.59,650,934,-0.13
38,0,22913,John Rollins,69.39,748,1078,-0.15
39,0,10425,Jay Williamson,69.38,945,1362,-0.12
40,0,20628,Arron Oberholser,69.27,647,934,-0.14
41,0,08339,Spike McRoy,69.24,817,1180,-0.10
42,0,25396,Kevin Na,69.22,904,1306,-0.15
43,0,10201,Matt Gogel,69.05,734,1063,-0.18
44,0,26420,Richard Johnson,69.04,961,1392,-0.16
45,0,01968,Nick Price,68.98,367,532,-0.13
46,0,02104,Jeff Sluman,68.69,849,1236,-0.18
47,0,01313,Steve Elkington,68.41,561,820,-0.10
48,0,10860,Justin Leonard,68.35,678,992,-0.17
49,0,01941,Tom Pernice Jr.,68.29,885,1296,-0.16
50,0,20433,Mark Hensby,68.23,829,1215,-0.18
51,0,01887,Mark O'Meara,68.22,438,642,-0.11
52,0,06078,Esteban Toledo,68.05,835,1227,-0.09
53,0,19824,Craig Barlow,67.99,720,1059,-0.19
54,0,10213,Dicky Pride,67.96,579,852,-0.08
55,0,01132,Mark Brooks,67.79,606,894,-0.09
56,0,06595,Kevin Sutherland,67.75,710,1048,-0.15
57,0,08537,J.P. Hayes,67.54,668,989,-0.12
58,0,06809,Bob Burns,67.25,807,1200,-0.12
59,0,11032,Frank Lickliter II,67.23,761,1132,-0.14
60,0,01553,John Huston,67.22,488,726,-0.15
61,0,01761,Len Mattiace,67.16,681,1014,-0.08
62,0,12652,Cameron Beckman,67.05,877,1308,-0.18
63,0,01457,Jay Haas,66.92,605,904,-0.19
64,0,07457,Steve Flesch,66.91,835,1248,-0.11
65,0,06214,Guy Boros,66.90,580,867,-0.05
66,0,21646,David Branshaw,66.88,747,1117,-0.12
67,0,22621,Ben Curtis,66.72,395,592,-0.14
67,0,08931,Glen Day,66.72,882,1322,-0.17
69,0,01320,Bob Estes,66.67,544,816,-0.20
70,0,07223,Brian Bateman,66.64,705,1058,-0.17
71,0,23623,Bo Van Pelt,66.59,833,1251,-0.19
72,0,24361,Pat Perez,66.57,874,1313,-0.15
73,0,01161,Mark Calcavecchia,66.38,616,928,-0.18
74,0,20094,Jonathan Kaye,66.35,631,951,-0.17
75,0,02049,Gene Sauers,66.34,749,1129,-0.10
76,0,01378,David Frost,66.30,720,1086,-0.13
77,0,01685,J.L. Lewis,66.22,886,1338,-0.18
78,0,24507,Jason Bohn,66.18,859,1298,-0.16
79,0,19825,Darren Clarke,66.14,336,508,-0.18
80,0,10885,Robert Allenby,66.13,701,1060,-0.18
81,0,21961,Charles Howell III,66.03,764,1157,-0.17
82,0,23353,J.J. Henry,66.00,891,1350,-0.21
82,0,02101,Joey Sindelar,66.00,864,1309,-0.14
84,0,20382,Stephen Leaney,65.98,578,876,-0.15
85,0,20645,John Senden,65.94,848,1286,-0.20
86,0,06004,Stephen Ames,65.63,777,1184,-0.18
86,0,19846,Brian Gay,65.63,840,1280,-0.18
88,0,01388,Robert Gamez,65.56,885,1350,-0.17
89,0,10423,Mike Weir,65.50,541,826,-0.16
90,0,01127,Danny Briggs,65.43,721,1102,-0.13
91,0,12680,Shigeki Maruyama,65.39,735,1124,-0.17
92,0,01203,Russ Cochran,65.25,539,826,-0.10
93,0,10585,Scott McCarron,65.24,745,1142,-0.15
94,0,02223,Bob Tway,65.23,651,998,-0.15
95,0,23325,Vaughn Taylor,65.17,726,1114,-0.21
96,0,20472,Alex Cejka,65.15,544,835,-0.15
97,0,12510,Chad Campbell,65.09,755,1160,-0.15
98,0,20498,Briny Baird,65.03,807,1241,-0.18
99,0,02206,David Toms,64.95,543,836,-0.20
100,0,01945,Kenny Perry,64.92,596,918,-0.18
101,0,12645,Brent Geiberger,64.88,822,1267,-0.15
102,0,01361,Dan Forsman,64.73,657,1015,-0.12
103,0,21805,Harrison Frazar,64.70,700,1082,-0.25
104,0,23541,Ben Crane,64.69,797,1232,-0.17
105,0,25900,Lucas Glover,64.68,802,1240,-0.18
106,0,20098,Stuart Appleby,64.66,580,897,-0.19
107,0,26287,Roland Thatcher,64.65,578,894,-0.15
108,0,01926,Steve Pate,64.59,602,932,-0.14
109,0,23108,Matt Kuchar,64.48,726,1126,-0.16
110,0,20634,Peter Lonard,64.45,504,782,-0.12
111,0,24290,D.J. Brigman,64.41,666,1034,-0.13
112,0,06575,Dudley Hart,64.37,486,755,-0.16
113,0,01771,Blaine McCallister,64.21,592,922,-0.09
114,0,01948,Tim Petrovic,64.18,851,1326,-0.18
115,0,06515,Shaun Micheel,63.90,671,1050,-0.21
116,0,01920,Craig Parry,63.83,337,528,-0.15
117,0,07867,Woody Austin,63.78,782,1226,-0.17
118,0,01938,David Peoples,63.74,712,1117,-0.20
119,0,21893,Brian Kortan,63.60,533,838,-0.12
120,0,23614,Rich Beem,63.59,592,931,-0.14
121,0,22046,Geoff Ogilvy,63.58,735,1156,-0.22
122,0,23320,Ryan Palmer,63.54,866,1363,-0.18
123,0,24781,Hunter Mahan,63.52,780,1228,-0.16
124,0,20157,Retief Goosen,63.50,381,600,-0.27
125,0,12705,Cliff Kresge,63.46,733,1155,-0.12
126,0,12760,Danny Ellis,63.31,680,1074,-0.15
127,0,12602,Dean Wilson,63.23,870,1376,-0.18
128,0,24357,K.J. Choi,63.12,563,892,-0.18
129,0,20127,Chris Riley,63.07,526,834,-0.19
130,0,01666,Bernhard Langer,63.04,411,652,-0.13
131,0,08337,Mike Heinen,62.92,448,712,-0.18
132,0,22405,Justin Rose,62.89,561,892,-0.20
133,0,22548,Patrick Sheehan,62.88,918,1460,-0.17
134,0,01035,Tommy Armour III,62.79,729,1161,-0.12
135,0,25686,Jason Dufner,62.76,674,1074,-0.18
136,0,20585,Niclas Fasth,62.60,472,754,-0.12
