RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,23552,Hank Kuehne,303.0,260907,861
2,0,01249,John Daly,300.6,176436,587
3,0,06567,Vijay Singh,296.4,310625,1048
4,0,01810,Phil Mickelson,294.7,213097,723
5,0,19825,Darren Clarke,292.7,151347,517
5,0,21209,Sergio Garcia,292.7,146350,500
7,0,20157,Retief Goosen,291.5,174287,598
8,0,06522,Ernie Els,291.1,160662,552
9,0,08793,Tiger Woods,289.1,199799,691
10,0,25450,Ty Tryon,288.4,163821,568
11,0,24502,Adam Scott,288.2,134863,468
12,0,10107,Deane Pappas,287.7,251993,876
13,0,23614,Rich Beem,287.4,219602,764
13,0,01706,Davis Love III,287.4,224437,781
15,0,10885,Robert Allenby,287.3,231818,807
15,0,20098,Stuart Appleby,287.3,261695,911
17,0,23621,Rory Sabbatini,287.0,281583,981
18,0,20574,Mathew Goggin,286.9,284597,992
18,0,20663,Brenden Pappas,286.9,342297,1193
18,0,08375,Paul Stankowski,286.9,218301,761
21,0,01226,Fred Couples,286.7,162837,568
22,0,01723,Andrew Magee,286.6,299489,1045
23,0,23177,Kenneth Staton,286.1,201688,705
24,0,21805,Harrison Frazar,285.9,292218,1022
24,0,08337,Mike Heinen,285.9,306730,1073
26,0,12823,Carlos Franco,285.7,338278,1184
26,0,10585,Scott McCarron,285.7,227393,796
28,0,02106,Chris Smith,285.4,290811,1019
29,0,12661,Todd Barranger,285.3,251336,881
29,0,10565,Ian Leggatt,285.3,227134,796
31,0,24925,Jonathan Byrd,285.1,295648,1037
31,0,23034,Brent Schwarzrock,285.1,197280,692
31,0,22295,Darron Stiles,285.1,279154,979
34,0,24357,K.J. Choi,285.0,314966,1105
34,0,21961,Charles Howell III,285.0,339733,1192
34,0,20634,Peter Lonard,285.0,276781,971
34,0,02206,David Toms,285.0,236825,831
38,0,01945,Kenny Perry,284.9,272910,958
39,0,10912,Craig Perks,284.8,246659,866
40,0,23656,Jason Caron,284.7,239190,840
41,0,07867,Woody Austin,284.6,336447,1182
41,0,20094,Jonathan Kaye,284.6,270114,949
43,0,06332,Neal Lancaster,284.0,367820,1295
44,0,26950,John Morgan,283.8,266168,938
45,0,22892,Jason Gore,283.7,263830,930
45,0,20572,Rod Pampling,283.7,255314,900
47,0,12510,Chad Campbell,283.5,309318,1091
48,0,19824,Craig Barlow,283.1,318465,1125
49,0,01035,Tommy Armour III,282.6,209664,742
49,0,08123,Jeff Brehaut,282.6,359127,1271
51,0,22548,Patrick Sheehan,282.4,342005,1211
52,0,25031,Andy Miller,282.2,241574,856
53,0,07223,Brian Bateman,282.1,221974,787
53,0,10423,Mike Weir,282.1,204518,725
55,0,12645,Brent Geiberger,282.0,171175,607
56,0,12652,Cameron Beckman,281.9,290124,1029
57,0,12755,Vance Veazey,281.8,210211,746
58,0,12782,Tim Herron,281.7,326220,1158
58,0,22046,Geoff Ogilvy,281.7,256107,909
58,0,20436,Garrett Willis,281.7,326825,1160
61,0,20498,Briny Baird,281.5,364822,1296
62,0,01161,Mark Calcavecchia,281.3,258516,919
62,0,01707,Steve Lowery,281.3,245565,873
64,0,06034,Marco Dawson,281.2,252208,897
65,0,01685,J.L. Lewis,281.1,290939,1035
66,0,21633,Steve Allan,281.0,177029,630
67,0,23541,Ben Crane,280.8,290298,1034
67,0,06621,Joe Durant,280.8,300687,1071
67,0,20095,Carl Paulson,280.8,349878,1246
67,0,06595,Kevin Sutherland,280.8,257249,916
71,0,01388,Robert Gamez,280.5,363282,1295
71,0,06573,Brandt Jobe,280.5,248801,887
71,0,06515,Shaun Micheel,280.5,316405,1128
71,0,02002,John Riegger,280.5,174457,622
75,0,21806,Paul Gow,280.0,213065,761
75,0,23353,J.J. Henry,280.0,337445,1205
77,0,07749,Brett Quigley,279.6,287450,1028
77,0,22913,John Rollins,279.6,219489,785
79,0,11011,Mike Sposa,279.5,242889,869
80,0,01941,Tom Pernice Jr.,279.4,323494,1158
81,0,08075,Jerry Kelly,279.0,305272,1094
81,0,20645,John Senden,279.0,356624,1278
83,0,20593,Greg Chalmers,278.9,324374,1163
84,0,01677,Tom Lehman,278.8,225578,809
84,0,20568,Anthony Painter,278.8,276863,993
84,0,06581,David Sutherland,278.8,236721,849
87,0,12705,Cliff Kresge,278.4,305115,1096
87,0,02246,Duffy Waldorf,278.4,262206,942
87,0,10425,Jay Williamson,278.4,308764,1109
90,0,12662,Thomas Levet,278.3,268854,966
91,0,20472,Alex Cejka,278.2,266805,959
91,0,23338,David Gossett,278.2,312708,1124
93,0,22371,Aaron Baddeley,278.1,208276,749
93,0,01553,John Huston,278.1,243074,874
95,0,25692,Akio Sadakata,278.0,253572,912
95,0,02223,Bob Tway,278.0,280767,1010
97,0,07457,Steve Flesch,277.9,351782,1266
97,0,24361,Pat Perez,277.9,276501,995
99,0,08633,Per-Ulrik Johansson,277.8,310890,1119
100,0,24356,Jason Buha,277.7,191924,691
100,0,08725,Tom Gillis,277.7,227192,818
100,0,20628,Arron Oberholser,277.7,279377,1006
100,0,26489,Cameron Yancey,277.7,180753,651
104,0,10733,Kent Jones,277.6,234545,845
105,0,06251,Chris DiMarco,277.4,270160,974
105,0,20121,Todd Fischer,277.4,305433,1101
107,0,25345,Carl Pettersson,277.3,261244,942
107,0,06527,Steve Stricker,277.3,194666,702
109,0,22621,Ben Curtis,277.2,221497,799
109,0,01724,Jeff Maggert,277.2,250609,904
111,0,01024,Billy Andrade,277.1,316123,1141
112,0,20229,Stewart Cink,277.0,316930,1144
113,0,01766,Billy Mayfair,276.9,316228,1142
114,0,06617,Brian Henninger,276.7,185143,669
114,0,01797,Rocco Mediate,276.7,228549,826
114,0,02214,Kirk Triplett,276.7,273075,987
117,0,01361,Dan Forsman,276.6,307554,1112
117,0,02170,Hal Sutton,276.6,249732,903
119,0,02104,Jeff Sluman,276.5,306035,1107
120,0,10809,Jim Furyk,276.4,282161,1021
121,0,11032,Frank Lickliter II,276.3,280401,1015
122,0,01569,Peter Jacobsen,276.1,230281,834
123,0,06004,Stephen Ames,276.0,298593,1082
123,0,07941,Mike Grob,276.0,267476,969
125,0,23125,Brad Elder,275.9,156426,567
125,0,01948,Tim Petrovic,275.9,319254,1157
127,0,01457,Jay Haas,275.7,256669,931
127,0,10860,Justin Leonard,275.7,225246,817
129,0,01042,Paul Azinger,275.5,228404,829
129,0,12660,Jesper Parnevik,275.5,296973,1078
131,0,12680,Shigeki Maruyama,275.1,250657,911
132,0,10213,Dicky Pride,275.0,222215,808
133,0,01577,Lee Janzen,274.9,216053,786
134,0,01938,David Peoples,274.6,308644,1124
135,0,20127,Chris Riley,274.5,263484,960
135,0,02101,Joey Sindelar,274.5,303300,1105
135,0,20566,Kaname Yokoo,274.5,172086,627
138,0,06809,Bob Burns,274.4,251884,918
138,0,01968,Nick Price,274.4,177832,648
140,0,01619,Skip Kendall,274.3,341261,1244
141,0,19972,José Coceres,274.2,197132,719
141,0,12602,Dean Wilson,274.2,260718,951
143,0,22293,Heath Slocum,274.0,340076,1241
143,0,07101,Dave Stockton Jr.,274.0,234230,855
145,0,23036,Chris Anderson,273.9,286749,1047
146,0,01320,Bob Estes,273.6,262087,958
147,0,08931,Glen Day,273.4,336577,1231
148,0,20548,Hidemichi Tanaka,273.3,364860,1335
149,0,01307,Joel Edwards,273.2,216120,791
149,0,23108,Matt Kuchar,273.2,203020,743
151,0,21739,Aaron Barber,273.1,298484,1093
151,0,08339,Spike McRoy,273.1,328018,1201
153,0,01329,Brad Faxon,272.8,267606,981
154,0,10201,Matt Gogel,272.7,227936,836
155,0,06575,Dudley Hart,272.5,194839,715
155,0,20940,Kenichi Kuboya,272.5,289924,1064
157,0,20573,Scott Laycock,272.4,211653,777
158,0,12388,Michael Clark II,272.3,187343,688
158,0,01475,Donnie Hammond,272.3,291883,1072
158,0,21878,Mark Wilson,272.3,258688,950
161,0,20099,Doug Barron,272.2,292084,1073
162,0,20029,Notah Begay III,272.1,290036,1066
163,0,01378,David Frost,272.0,271687,999
164,0,07721,Pat Bates,271.8,351211,1292
164,0,02239,Scott Verplank,271.8,290288,1068
166,0,01098,Jay Don Blake,271.7,213015,784
167,0,01381,Fred Funk,271.5,330439,1217
167,0,01761,Len Mattiace,271.5,264664,975
169,0,23135,Tim Clark,271.3,227908,840
170,0,19881,Robert Damron,271.0,302468,1116
170,0,19846,Brian Gay,271.0,297027,1096
172,0,08537,J.P. Hayes,270.9,234597,866
173,0,23983,Luke Donald,270.4,277966,1028
174,0,01175,Jim Carter,270.3,302783,1120
175,0,02049,Gene Sauers,270.2,268552,994
176,0,01887,Mark O'Meara,269.9,158415,587
177,0,06078,Esteban Toledo,269.8,340980,1264
178,0,06643,Paul Goydos,269.2,268078,996
179,0,01666,Bernhard Langer,269.0,172150,640
180,0,01132,Mark Brooks,268.4,261156,973
181,0,01157,Tom Byrum,268.3,279335,1041
181,0,26420,Richard Johnson,268.3,275502,1027
183,0,08547,John Maginnes,268.1,250641,935
184,0,01139,Olin Browne,267.3,336264,1258
185,0,08545,Glen Hnatiuk,267.0,297941,1116
186,0,20771,Steven Alker,266.0,258057,970
187,0,20623,Gavin Coles,264.9,200262,756
188,0,06475,Jeff Klein,264.8,181680,686
189,0,01928,Corey Pavin,263.8,252712,958
190,0,02010,Loren Roberts,262.3,227707,868
