RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,02010,Loren Roberts,14.29,124,868,-0.008
2,0,06475,Jeff Klein,13.12,90,686,+0.200
3,0,20771,Steven Alker,13.09,127,970,+0.150
4,0,01175,Jim Carter,12.50,140,1120,+0.164
5,0,01928,Corey Pavin,12.42,119,958,+0.176
6,0,20623,Gavin Coles,12.04,91,756,+0.253
7,0,02049,Gene Sauers,11.87,118,994,+0.068
8,0,06575,Dudley Hart,11.33,81,715,+0.086
9,0,23125,Brad Elder,11.11,63,567,+0.222
10,0,26420,Richard Johnson,10.81,111,1027,+0.117
11,0,12388,Michael Clark II,10.76,74,688,+0.162
12,0,01139,Olin Browne,10.33,130,1258,+0.069
13,0,08545,Glen Hnatiuk,9.95,111,1116,+0.036
14,0,10201,Matt Gogel,9.93,83,836,+0.169
15,0,06078,Esteban Toledo,9.89,125,1264,+0.192
16,0,01761,Len Mattiace,9.74,95,975,+0.042
17,0,23983,Luke Donald,9.63,99,1028,+0.101
18,0,01307,Joel Edwards,9.61,76,791,+0.053
19,0,08537,J.P. Hayes,9.58,83,866,+0.072
20,0,20573,Scott Laycock,9.52,74,777,+0.162
21,0,07749,Brett Quigley,9.44,97,1028,+0.144
22,0,02101,Joey Sindelar,9.41,104,1105,+0.135
23,0,01887,Mark O'Meara,9.37,55,587,+0.127
24,0,07941,Mike Grob,9.29,90,969,-0.056
25,0,01378,David Frost,9.21,92,999,E
25,0,20940,Kenichi Kuboya,9.21,98,1064,+0.184
27,0,02170,Hal Sutton,9.19,83,903,+0.024
28,0,21878,Mark Wilson,9.16,87,950,+0.195
29,0,12660,Jesper Parnevik,9.09,98,1078,+0.163
30,0,12645,Brent Geiberger,9.06,55,607,+0.145
31,0,06643,Paul Goydos,9.04,90,996,+0.211
32,0,01577,Lee Janzen,9.03,71,786,+0.127
33,0,01666,Bernhard Langer,8.91,57,640,+0.088
34,0,01938,David Peoples,8.90,100,1124,+0.160
35,0,01320,Bob Estes,8.87,85,958,-0.071
36,0,01132,Mark Brooks,8.84,86,973,+0.256
36,0,01157,Tom Byrum,8.84,92,1041,+0.152
38,0,21739,Aaron Barber,8.69,95,1093,+0.032
39,0,08547,John Maginnes,8.66,81,935,+0.136
40,0,07721,Pat Bates,8.51,110,1292,+0.027
41,0,24361,Pat Perez,8.44,84,995,+0.274
42,0,06617,Brian Henninger,8.37,56,669,+0.089
43,0,06004,Stephen Ames,8.23,89,1082,+0.157
44,0,23353,J.J. Henry,8.22,99,1205,+0.071
45,0,07101,Dave Stockton Jr.,8.19,70,855,+0.243
46,0,22548,Patrick Sheehan,8.18,99,1211,+0.121
47,0,10213,Dicky Pride,8.17,66,808,+0.303
48,0,01098,Jay Don Blake,8.16,64,784,+0.125
49,0,23036,Chris Anderson,8.12,85,1047,+0.165
49,0,06527,Steve Stricker,8.12,57,702,+0.123
51,0,08339,Spike McRoy,8.08,97,1201,+0.021
52,0,20593,Greg Chalmers,8.00,93,1163,+0.108
53,0,19881,Robert Damron,7.97,89,1116,+0.213
54,0,01042,Paul Azinger,7.96,66,829,+0.364
55,0,01475,Donnie Hammond,7.84,84,1072,+0.095
56,0,25031,Andy Miller,7.83,67,856,+0.224
57,0,24356,Jason Buha,7.81,54,691,+0.222
58,0,01948,Tim Petrovic,7.78,90,1157,+0.233
59,0,01766,Billy Mayfair,7.71,88,1142,+0.102
60,0,06573,Brandt Jobe,7.67,68,887,-0.059
