RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,01945,Kenny Perry,319,Phoenix Open,2,17 - Par 4
2,0,01320,Bob Estes,225,FedEx St. Jude,3,14 - Par 3
3,0,01823,Larry Mize,223,Buick Classic,1,16 - Par 3
4,0,01948,Tim Petrovic,221,Honda Classic,1,16 - Par 5
5,0,12660,Jesper Parnevik,219,BellSouth Class,2,8 - Par 3 -
6,0,10885,Robert Allenby,206,SEI Pennsylvani,3,17 - Par 3
7,0,01707,Steve Lowery,205,Bob Hope Chrysl,3,13 - Par 4
8,0,08075,Jerry Kelly,204,THE TOUR Champ,4,11 - Par 3
11,0,02133,Craig Stadler,186,THE PLAYERS,3,13 - Par 3
12,0,20566,Kaname Yokoo,182,So. Farm Bureau,1,14 - Par 4
13,0,01685,J.L. Lewis,182,Texas Open,4,17 - Par 3
14,0,01928,Corey Pavin,181,MasterCard Colo,1,13 - Par 3
15,0,06522,Ernie Els,181,Verizon,4,13 - Par 3
16,0,01549,Mike Hulbert,178,FedEx St. Jude,1,18 - Par 4
17,0,02101,Joey Sindelar,178,THE PLAYERS,2,9 - Par 5 -
18,0,01724,Jeff Maggert,177,Compaq Classic,2,17 - Par 3
19,0,20572,Rod Pampling,173,SEI Pennsylvani,1,10 - Par 4
20,0,12823,Carlos Franco,169,Bell Canadian O,1,18 - Par 4
21,0,25572,Graeme McDowell,169,WGC-NEC Invit'l,1,12 - Par 4
22,0,01157,Tom Byrum,168,Reno-Tahoe Open,2,16 - Par 3
23,0,01706,Davis Love III,163,Disney Classic,4,12 - Par 3
24,0,08633,Per-Ulrik Johansson,163,So. Farm Bureau,2,15 - Par 3
26,0,06214,Guy Boros,161,Michelob Champ,1,12 - Par 4
27,0,06515,Shaun Micheel,161,B.C. Open,2,17 - Par 3
28,0,06613,Tommy Tolles,151,Reno-Tahoe Open,2,15 - Par 4
29,0,11011,Mike Sposa,150,Phoenix Open,2,16 - Par 3
30,0,21949,Joe Ogilvie,150,Greater Milwauk,1,13 - Par 4
31,0,09011,David Duval,149,Buick Challenge,2,14 - Par 4
33,0,06617,Brian Henninger,144,Sony Open,2,16 - Par 4
34,0,23552,Hank Kuehne,142,John Deere Clas,2,11 - Par 4
