RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,19803,Ryan Armour,32' 8",28609.667,876,Under
2,0,27095,Nick Watney,33' 1",37789.083,1141,Under
3,0,26289,Boo Weekley,33' 2",36163.250,1091,Under
4,0,26476,Chez Reavie,33' 4",49265.167,1478,1 Under
4,0,30110,Kyle Stanley,33' 4",55868.417,1676,1 Under
6,0,30925,Dustin Johnson,33' 5",35158.583,1052,1 Under
7,0,35545,Blayne Barber,33' 7",39877.000,1187,Under
7,0,30692,Scott Stallings,33' 7",40820.167,1216,Under
9,0,10809,Jim Furyk,33' 8",26456.167,785,Under
10,0,29221,Webb Simpson,33' 9",50488.167,1495,1 Under
10,0,34046,Jordan Spieth,33' 9",40953.333,1214,2 Under
12,0,20771,Steven Alker,33' 11",30770.333,907,Under
12,0,25396,Kevin Na,33' 11",39855.250,1175,1 Under
14,0,35532,Tom Hoge,34' 0",23582.833,693,Under
15,0,12510,Chad Campbell,34' 1",51650.667,1517,1 Under
15,0,23325,Vaughn Taylor,34' 1",45895.917,1346,1 Under
17,0,25686,Jason Dufner,34' 3",44134.417,1288,1 Under
18,0,46732,Rick Lamb,34' 4",23197.667,675,Under
18,0,31560,Brian Stuard,34' 4",42216.167,1231,Over
20,0,24358,Robert Garrigus,34' 5",36647.583,1065,Under
20,0,33413,Ben Martin,34' 5",43021.250,1251,Under
20,0,25818,Scott Piercy,34' 5",30035.167,872,Under
20,0,26951,Johnson Wagner,34' 5",34686.000,1008,Under
24,0,35110,Brett Drewitt,34' 6",26419.833,765,Over
24,0,23621,Rory Sabbatini,34' 6",32566.167,944,Under
26,0,27436,Graham DeLaet,34' 7",43819.667,1266,1 Under
27,0,25900,Lucas Glover,34' 8",52918.833,1528,1 Under
27,0,33122,Russell Knox,34' 8",33412.583,963,Under
27,0,34264,Hudson Swafford,34' 8",47038.167,1356,Under
30,0,20104,Ken Duke,34' 9",37005.250,1064,Over
30,0,47128,Richy Werenski,34' 9",37952.250,1092,Under
32,0,32839,Hideki Matsuyama,34' 10",36695.500,1053,1 Under
33,0,26758,David Hearn,34' 11",44157.000,1266,Under
33,0,26596,Ryan Moore,34' 11",40322.417,1155,Under
33,0,28132,Tyrone Van Aswegen,34' 11",49932.833,1430,Under
36,0,24507,Jason Bohn,35' 0",38486.500,1100,Over
36,0,29740,Brad Fritsch,35' 0",26288.000,751,Over
36,0,20157,Retief Goosen,35' 0",25462.833,728,Under
36,0,24024,Zach Johnson,35' 0",42097.000,1203,1 Under
36,0,23320,Ryan Palmer,35' 0",30519.167,872,Over
41,0,48084,Wesley Bryan,35' 1",48008.333,1367,Under
41,0,20229,Stewart Cink,35' 1",50882.667,1449,1 Under
41,0,19846,Brian Gay,35' 1",43169.250,1230,Under
41,0,31646,Emiliano Grillo,35' 1",41304.417,1178,Under
41,0,36801,Mark Hubbard,35' 1",38072.333,1084,Even
41,0,29478,Kevin Kisner,35' 1",48266.750,1376,1 Under
41,0,46501,Ollie Schniederjans,35' 1",50768.333,1446,1 Under
48,0,32200,Roberto Castro,35' 2",33863.333,962,Over
48,0,33448,Justin Thomas,35' 2",40681.667,1156,1 Under
50,0,20472,Alex Cejka,35' 3",38586.917,1095,Under
50,0,32102,Rickie Fowler,35' 3",39330.500,1117,1 Under
50,0,25240,D.A. Points,35' 3",36143.167,1025,Even
50,0,46970,Jon Rahm,35' 3",41566.083,1179,1 Under
50,0,23497,Tag Ridings,35' 3",31407.333,891,Under
