RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,28237,Rory McIlroy,36.84,294,798
2,0,34046,Jordan Spieth,34.24,377,1101
3,0,24502,Adam Scott,33.89,285,841
4,0,26331,Charl Schwartzel,33.76,239,708
5,0,25632,Jimmy Walker,33.50,391,1167
6,0,30925,Dustin Johnson,33.00,229,694
7,0,30852,Ryo Ishikawa,32.72,286,874
8,0,23320,Ryan Palmer,32.71,332,1015
9,0,36689,Brooks Koepka,32.67,214,655
10,0,27141,J.B. Holmes,32.56,307,943
11,0,32102,Rickie Fowler,32.52,321,987
12,0,20396,Lee Westwood,32.45,208,641
13,0,25804,Bubba Watson,32.40,289,892
14,0,32839,Hideki Matsuyama,32.14,296,921
15,0,24138,Ian Poulter,32.11,202,629
16,0,28259,Sangmoon Bae,32.09,276,860
17,0,22371,Aaron Baddeley,32.00,248,775
18,0,33461,Morgan Hoffmann,31.84,355,1115
19,0,12716,Charley Hoffman,31.67,355,1121
20,0,24358,Robert Garrigus,31.62,295,933
21,0,21528,Henrik Stenson,31.49,211,670
21,0,27963,Chris Stroud,31.49,325,1032
23,0,35732,Wes Roach,31.46,229,728
24,0,30944,Jason Kokrak,31.41,239,761
25,0,35539,Luke Guthrie,31.40,304,968
26,0,35300,Andrew Loupe,31.36,217,692
27,0,01810,Phil Mickelson,31.29,261,834
28,0,27214,Kevin Streelman,31.26,277,886
29,0,25364,Paul Casey,31.12,206,662
30,0,30926,Chris Kirk,31.06,369,1188
31,0,34563,Chesson Hadley,31.02,295,951
32,0,27408,Martin Kaymer,31.00,230,742
33,0,22405,Justin Rose,30.96,252,814
34,0,33141,Keegan Bradley,30.93,326,1054
34,0,29221,Webb Simpson,30.93,305,986
36,0,28307,Matt Every,30.92,299,967
37,0,34098,Russell Henley,30.82,315,1022
37,0,25562,Andres Romero,30.82,258,837
39,0,25396,Kevin Na,30.77,336,1092
40,0,29926,Danny Lee,30.74,285,927
41,0,32366,Kevin Chappell,30.64,357,1165
42,0,31560,Brian Stuard,30.63,306,999
43,0,30750,Tommy Gainey,30.60,243,794
44,0,23108,Matt Kuchar,30.57,324,1060
45,0,26596,Ryan Moore,30.53,312,1022
46,0,27770,Camilo Villegas,30.48,349,1145
47,0,34099,Harris English,30.29,342,1129
47,0,32150,Michael Thompson,30.29,265,875
49,0,34431,Robert Streb,30.26,253,836
50,0,34360,Patrick Reed,30.25,311,1028
51,0,24490,George McNeill,30.24,284,939
52,0,08075,Jerry Kelly,30.19,285,944
53,0,21731,Freddie Jacobson,30.18,309,1024
54,0,29518,Brendan Steele,30.15,306,1015
55,0,27649,Brandt Snedeker,30.13,298,989
56,0,27895,Jonas Blixt,30.10,205,681
57,0,20098,Stuart Appleby,30.09,306,1017
58,0,20848,Ángel Cabrera,30.06,242,805
59,0,28089,Jason Day,30.02,166,553
60,0,24912,Will MacKenzie,30.01,289,963
61,0,25274,Steven Bowditch,29.99,317,1057
61,0,26851,Marc Leishman,29.99,281,937
63,0,21209,Sergio Garcia,29.97,214,714
64,0,26300,Matt Jones,29.96,281,938
65,0,29479,Scott Brown,29.93,349,1166
65,0,20593,Greg Chalmers,29.93,261,872
67,0,32334,Charlie Beljan,29.89,252,843
68,0,23621,Rory Sabbatini,29.88,274,917
69,0,30927,Brendon Todd,29.87,371,1242
70,0,23409,James Driscoll,29.81,231,775
71,0,24357,K.J. Choi,29.79,266,893
72,0,25686,Jason Dufner,29.75,191,642
73,0,25572,Graeme McDowell,29.69,217,731
74,0,31323,Gary Woodland,29.57,325,1099
75,0,27644,Brian Harman,29.56,379,1282
76,0,24846,Ricky Barnes,29.45,303,1029
76,0,24494,Erik Compton,29.45,293,995
78,0,25191,Gonzalo Fernandez-Castaño,29.35,263,896
78,0,28475,Jeff Overton,29.35,263,896
80,0,35139,Richard Lee,29.25,246,841
81,0,06522,Ernie Els,29.24,255,872
81,0,29461,Jamie Lovemark,29.24,205,701
83,0,21961,Charles Howell III,29.23,375,1283
83,0,31202,William McGirt,29.23,325,1112
85,0,21753,Brian Davis,29.20,299,1024
