RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,01320,Bob Estes,70.7,29,41,-3.00
2,0,06567,Vijay Singh,65.4,34,52,-3.00
3,0,23983,Luke Donald,64.2,34,53,-7.00
4,0,01024,Billy Andrade,62.1,36,58,-10.00
5,0,20663,Brenden Pappas,60.8,31,51,-9.00
6,0,20029,Notah Begay III,60.5,26,43,-1.00
7,0,01307,Joel Edwards,60.0,39,65,-10.00
7,0,23621,Rory Sabbatini,60.0,33,55,-5.00
9,0,01938,David Peoples,59.0,36,61,-6.00
10,0,06527,Steve Stricker,58.8,30,51,-7.00
11,0,20498,Briny Baird,58.6,34,58,-9.00
11,0,23614,Rich Beem,58.6,34,58,-8.00
11,0,01374,Robin Freeman,58.6,17,29,-2.00
11,0,08881,Tripp Isenhour,58.6,17,29,-5.00
11,0,10423,Mike Weir,58.6,34,58,-6.00
16,0,12753,David Morland IV,57.8,26,45,-10.00
17,0,20098,Stuart Appleby,57.7,41,71,-8.00
17,0,10809,Jim Furyk,57.7,15,26,-1.00
19,0,06004,Stephen Ames,56.5,26,46,-7.00
19,0,26289,Boo Weekley,56.5,13,23,-1.00
21,0,12680,Shigeki Maruyama,56.4,31,55,-3.00
22,0,06373,José María Olazábal,56.1,23,41,-7.00
23,0,06595,Kevin Sutherland,56.0,28,50,+3.00
24,0,01553,John Huston,55.7,39,70,-5.00
25,0,11032,Frank Lickliter II,55.6,25,45,-2.00
25,0,01927,Dennis Paulson,55.6,35,63,-11.00
27,0,20574,Mathew Goggin,55.2,16,29,-5.00
28,0,06613,Tommy Tolles,55.1,27,49,-7.00
29,0,02002,John Riegger,55.0,22,40,-2.00
30,0,06350,Bob May,54.9,28,51,-4.00
30,0,01945,Kenny Perry,54.9,28,51,-8.00
32,0,10885,Robert Allenby,54.8,17,31,-6.00
32,0,20157,Retief Goosen,54.8,17,31,-5.00
34,0,01527,Scott Hoch,54.5,18,33,-4.00
35,0,01132,Mark Brooks,54.4,31,57,E
35,0,20593,Greg Chalmers,54.4,31,57,-4.00
37,0,06573,Brandt Jobe,54.3,38,70,-10.00
37,0,02170,Hal Sutton,54.3,25,46,-4.00
39,0,20043,Edward Fryatt,54.1,33,61,-8.00
40,0,06332,Neal Lancaster,54.0,34,63,-7.00
40,0,22913,John Rollins,54.0,47,87,-11.00
40,0,23177,Kenneth Staton,54.0,27,50,-4.00
43,0,01388,Robert Gamez,53.8,21,39,-4.00
44,0,20105,Jeff Gove,53.7,29,54,-7.00
45,0,20645,John Senden,53.4,31,58,-6.00
46,0,06522,Ernie Els,53.1,17,32,-5.00
47,0,01685,J.L. Lewis,52.9,37,70,-1.00
48,0,07003,David Berganio Jr.,52.8,19,36,-2.00
48,0,02106,Chris Smith,52.8,38,72,-6.00
50,0,21805,Harrison Frazar,52.7,29,55,-6.00
