RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,06527,Steve Stricker,7' 0",533.833,76,21
2,0,20127,Chris Riley,7' 5",568.333,77,1
3,0,10809,Jim Furyk,7' 6",553.667,74,29
4,0,23108,Matt Kuchar,7' 7",743.167,98,5
5,0,10423,Mike Weir,7' 11",780.417,99,70
6,0,23983,Luke Donald,8' 0",602.000,75,97
7,0,25396,Kevin Na,8' 1",1161.833,143,3
8,0,12782,Tim Herron,8' 2",990.833,121,115
8,0,12705,Cliff Kresge,8' 2",1213.417,148,65
10,0,21209,Sergio Garcia,8' 3",635.417,77,84
11,0,20572,Rod Pampling,8' 4",953.917,114,76
11,0,22405,Justin Rose,8' 4",464.333,56,41
13,0,21753,Brian Davis,8' 5",937.250,111,47
13,0,01810,Phil Mickelson,8' 5",770.917,92,53
13,0,01928,Corey Pavin,8' 5",799.167,95,14
13,0,23325,Vaughn Taylor,8' 5",819.750,97,154
17,0,24925,Jonathan Byrd,8' 6",862.417,101,69
17,0,01381,Fred Funk,8' 6",593.583,70,115
17,0,19846,Brian Gay,8' 6",1045.833,123,19
17,0,20766,Padraig Harrington,8' 6",687.000,81,15
21,0,01157,Tom Byrum,8' 7",378.500,44,102
21,0,06034,Marco Dawson,8' 7",796.667,93,44
21,0,06522,Ernie Els,8' 7",541.500,63,37
21,0,24138,Ian Poulter,8' 7",538.667,63,51
25,0,21350,Ryuji Imada,8' 8",1216.917,140,48
25,0,01577,Lee Janzen,8' 8",588.250,68,140
25,0,20628,Arron Oberholser,8' 8",612.667,71,46
25,0,22046,Geoff Ogilvy,8' 8",692.250,80,111
25,0,01941,Tom Pernice Jr.,8' 8",1024.750,118,40
25,0,24502,Adam Scott,8' 8",648.167,75,179
25,0,08793,Tiger Woods,8' 8",398.750,46,20
32,0,24024,Zach Johnson,8' 9",659.250,75,30
32,0,12680,Shigeki Maruyama,8' 9",1069.167,122,64
32,0,08375,Paul Stankowski,8' 9",666.333,76,161
32,0,22295,Darron Stiles,8' 9",631.667,72,180
32,0,02239,Scott Verplank,8' 9",610.250,70,18
32,0,23349,Charles Warren,8' 9",1073.083,123,157
38,0,23933,Michael Boyd,8' 10",726.000,82,73
38,0,20574,Mathew Goggin,8' 10",1297.333,147,90
38,0,08075,Jerry Kelly,8' 10",993.833,112,78
38,0,27060,John Mallinger,8' 10",938.500,106,12
38,0,01948,Tim Petrovic,8' 10",1286.750,145,26
38,0,25345,Carl Pettersson,8' 10",1077.167,122,93
44,0,07363,Craig Bowden,8' 11",713.250,80,12
44,0,01320,Bob Estes,8' 11",1134.833,127,105
44,0,21959,Ted Purdy,8' 11",1045.000,117,136
44,0,22293,Heath Slocum,8' 11",957.500,107,16
44,0,21878,Mark Wilson,8' 11",944.500,106,28
49,0,25273,Andrew Buckle,9' 0",934.167,104,91
49,0,01161,Mark Calcavecchia,9' 0",880.667,98,117
49,0,01313,Steve Elkington,9' 0",917.167,102,32
49,0,07457,Steve Flesch,9' 0",1131.750,126,82
49,0,21806,Paul Gow,9' 0",764.167,85,146
49,0,22806,Doug LaBelle II,9' 0",1219.583,135,34
49,0,10860,Justin Leonard,9' 0",786.333,87,39
49,0,24361,Pat Perez,9' 0",959.917,107,168
49,0,02206,David Toms,9' 0",719.833,80,66
58,0,07223,Brian Bateman,9' 1",552.000,61,83
58,0,01473,Todd Hamilton,9' 1",709.917,78,189
58,0,10117,Bob Heintz,9' 1",834.000,92,79
58,0,01766,Billy Mayfair,9' 1",869.250,96,74
62,0,24507,Jason Bohn,9' 2",651.250,71,143
62,0,23718,Nathan Green,9' 2",1275.417,139,22
62,0,26881,Jarrod Lyle,9' 2",837.333,91,81
62,0,21949,Joe Ogilvie,9' 2",1324.000,144,104
66,0,20850,Daniel Chopra,9' 3",1295.917,140,31
66,0,20229,Stewart Cink,9' 3",933.083,101,107
66,0,24980,Scott Gutschewski,9' 3",875.333,95,171
66,0,21961,Charles Howell III,9' 3",957.833,104,133
66,0,29718,Anthony Kim,9' 3",1159.750,125,79
66,0,24140,Sean O'Hair,9' 3",1009.667,109,36
66,0,21660,Jason Schultz,9' 3",785.083,85,43
66,0,02104,Jeff Sluman,9' 3",507.917,55,187
66,0,06595,Kevin Sutherland,9' 3",1113.167,120,101
75,0,06251,Chris DiMarco,9' 4",841.250,90,156
75,0,10733,Kent Jones,9' 4",1329.333,143,129
75,0,22348,Nick O'Hern,9' 4",796.250,85,120
75,0,27649,Brandt Snedeker,9' 4",1049.750,112,17
75,0,27095,Nick Watney,9' 4",1027.500,110,91
80,0,10885,Robert Allenby,9' 5",826.917,88,163
80,0,23048,Eric Axley,9' 5",1336.250,142,139
80,0,26360,Bubba Dickerson,9' 5",810.583,86,178
80,0,27120,Troy Matteson,9' 5",1129.000,120,121
80,0,20160,Charlie Wi,9' 5",1172.500,124,54
85,0,01132,Mark Brooks,9' 6",540.167,57,33
85,0,20472,Alex Cejka,9' 6",1039.500,109,11
85,0,24357,K.J. Choi,9' 6",1013.000,107,9
88,0,23613,Rich Barcelo,9' 7",989.417,103,130
88,0,24449,Parker McLachlin,9' 7",1422.250,149,56
88,0,01945,Kenny Perry,9' 7",811.500,85,58
88,0,06567,Vijay Singh,9' 7",1172.500,122,61
88,0,12602,Dean Wilson,9' 7",1162.167,121,52
93,0,20433,Mark Hensby,9' 8",1102.500,114,85
93,0,11032,Frank Lickliter II,9' 8",1097.000,113,143
93,0,20634,Peter Lonard,9' 8",1285.833,133,42
93,0,28158,Steve Marino,9' 8",1158.833,120,55
93,0,23621,Rory Sabbatini,9' 8",1030.083,107,2
93,0,27963,Chris Stroud,9' 8",857.333,89,124
99,0,19824,Craig Barlow,9' 9",458.583,47,110
99,0,19972,José Coceres,9' 9",497.583,51,6
99,0,01706,Davis Love III,9' 9",597.083,61,174
99,0,26596,Ryan Moore,9' 9",937.417,96,87
103,0,06197,Michael Allen,9' 10",799.583,81,153
103,0,06004,Stephen Ames,9' 10",696.583,71,68
103,0,20098,Stuart Appleby,9' 10",809.000,82,71
103,0,19803,Ryan Armour,9' 10",1364.417,139,152
103,0,07867,Woody Austin,9' 10",1221.000,124,24
103,0,22371,Aaron Baddeley,9' 10",1032.833,105,25
103,0,25686,Jason Dufner,9' 10",1441.167,146,127
103,0,06373,José María Olazábal,9' 10",725.917,74,140
103,0,28486,Michael Putnam,9' 10",1329.750,135,194
103,0,23623,Bo Van Pelt,9' 10",1398.667,142,35
103,0,27770,Camilo Villegas,9' 10",1019.500,104,98
114,0,21633,Steve Allan,9' 11",968.250,98,138
114,0,01024,Billy Andrade,9' 11",952.833,96,177
114,0,25900,Lucas Glover,9' 11",1214.750,123,66
114,0,22913,John Rollins,9' 11",1432.667,144,56
114,0,20645,John Senden,9' 11",973.417,98,112
119,0,21646,David Branshaw,10' 0",1081.750,108,173
119,0,27141,J.B. Holmes,10' 0",1234.833,124,182
119,0,06515,Shaun Micheel,10' 0",939.417,94,100
119,0,28475,Jeff Overton,10' 0",850.250,85,7
119,0,12660,Jesper Parnevik,10' 0",1148.917,115,103
124,0,20498,Briny Baird,10' 1",1297.667,129,45
124,0,23614,Rich Beem,10' 1",1042.833,103,170
124,0,01142,Bart Bryant,10' 1",1005.583,100,59
124,0,26420,Richard Johnson,10' 1",1343.167,133,118
124,0,21470,Daisuke Maruyama,10' 1",991.833,98,149
129,0,01249,John Daly,10' 2",956.917,94,195
129,0,06643,Paul Goydos,10' 2",783.167,77,98
129,0,12195,Tom Johnson,10' 2",887.083,87,157
129,0,07547,Craig Kanada,10' 2",1356.250,133,48
129,0,24912,Will MacKenzie,10' 2",1330.917,131,128
129,0,24490,George McNeill,10' 2",1186.500,117,74
135,0,23638,Brendon de Jonge,10' 3",1210.583,118,192
135,0,06621,Joe Durant,10' 3",995.667,97,172
135,0,12716,Charley Hoffman,10' 3",1311.417,128,175
135,0,02214,Kirk Triplett,10' 3",985.417,96,86
139,0,12652,Cameron Beckman,10' 4",1379.000,133,132
139,0,24924,Bill Haas,10' 4",1382.000,134,88
139,0,01797,Rocco Mediate,10' 4",942.000,91,142
139,0,02101,Joey Sindelar,10' 4",886.750,86,164
139,0,02223,Bob Tway,10' 4",1495.500,145,106
144,0,08123,Jeff Brehaut,10' 5",741.833,71,95
144,0,08931,Glen Day,10' 5",1049.250,101,62
144,0,23353,J.J. Henry,10' 5",1106.667,106,184
144,0,08881,Tripp Isenhour,10' 5",1316.000,126,109
144,0,20382,Stephen Leaney,10' 5",1033.500,99,50
144,0,23497,Tag Ridings,10' 5",727.500,70,94
144,0,26882,Michael Sim,10' 5",654.000,63,8
144,0,25804,Bubba Watson,10' 5",1002.667,96,113
152,0,12510,Chad Campbell,10' 6",1073.417,102,188
152,0,27702,Matt Hendrix,10' 6",1080.583,103,193
154,0,23135,Tim Clark,10' 7",613.333,58,4
154,0,20623,Gavin Coles,10' 7",940.250,89,10
156,0,08537,J.P. Hayes,10' 8",1117.833,105,60
156,0,21731,Freddie Jacobson,10' 8",853.333,80,96
156,0,23788,D.J. Trahan,10' 8",1361.333,128,63
156,0,10425,Jay Williamson,10' 8",523.667,49,89
160,0,24290,D.J. Brigman,10' 9",921.250,86,185
160,0,22621,Ben Curtis,10' 9",1225.250,114,176
160,0,24358,Robert Garrigus,10' 9",1372.250,128,183
160,0,20105,Jeff Gove,10' 9",1285.917,120,151
160,0,01677,Tom Lehman,10' 9",699.167,65,160
160,0,20691,Greg Owen,10' 9",999.500,93,181
160,0,25190,Jeff Quinney,10' 9",1074.500,100,146
160,0,25892,Steve Wheatcroft,10' 9",1086.417,101,148
168,0,20859,Anders Hansen,10' 10",465.333,43,137
168,0,27933,John Merrick,10' 10",1166.750,108,150
168,0,23800,Bryce Molder,10' 10",912.917,84,134
171,0,20104,Ken Duke,10' 11",1300.250,119,23
171,0,26951,Johnson Wagner,10' 11",1313.167,120,169
171,0,26289,Boo Weekley,10' 11",1112.583,102,108
174,0,21805,Harrison Frazar,11' 0",1307.417,119,165
174,0,10213,Dicky Pride,11' 0",1032.500,94,26
174,0,21528,Henrik Stenson,11' 0",626.167,57,167
174,0,24457,Jaco Van Zyl,11' 0",671.917,61,77
178,0,20378,Mathias Grönberg,11' 1",1571.000,142,122
179,0,01035,Tommy Armour III,11' 2",986.083,88,131
179,0,20157,Retief Goosen,11' 2",637.333,57,154
181,0,23320,Ryan Palmer,11' 3",1371.833,122,135
181,0,29476,Kyle Reifers,11' 3",1180.333,105,165
183,0,01388,Robert Gamez,11' 4",1028.750,91,191
183,0,07749,Brett Quigley,11' 4",1053.917,93,190
185,0,22378,Trevor Immelman,11' 5",732.583,64,123
185,0,22212,Craig Lile,11' 5",1296.917,114,38
185,0,02246,Duffy Waldorf,11' 5",947.583,83,159
188,0,22892,Jason Gore,11' 7",1498.833,129,72
188,0,01724,Jeff Maggert,11' 7",1183.750,102,118
190,0,24781,Hunter Mahan,11' 8",1201.667,103,145
190,0,02036,Jim Rutledge,11' 8",675.083,58,114
192,0,01707,Steve Lowery,11' 10",1218.000,103,125
193,0,26679,Kevin Stadler,12' 0",1375.250,115,186
193,0,12714,Chris Tidland,12' 0",887.333,74,126
195,0,23322,Brett Wetterich,12' 3",1198.417,98,196
196,0,11123,Chris Couch,12' 8",1245.333,98,162
