RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,47993,Denny McCarthy,28,474,5.9
2,0,30927,Brendon Todd,27,580,4.7
3,0,46442,Maverick McNealy,25,431,5.8
3,0,46046,Scottie Scheffler,25,506,4.9
5,0,35506,Mackenzie Hughes,24,465,5.2
6,-1,47959,Bryson DeChambeau,23,482,4.8
6,3,34099,Harris English,23,478,4.8
6,3,35310,Lanto Griffin,23,591,3.9
6,-1,36699,Patrick Rodgers,23,519,4.4
10,-2,35449,Adam Long,22,498,4.4
11,0,26300,Matt Jones,20,444,4.5
12,0,46402,Talor Gooch,19,526,3.6
12,4,29478,Kevin Kisner,19,432,4.4
12,4,50525,Collin Morikawa,19,520,3.7
12,0,53165,Doc Redman,19,469,4.1
12,4,34360,Patrick Reed,19,522,3.6
12,0,31323,Gary Woodland,19,381,5.0
12,0,32254,Xinjun Zhang,19,427,4.4
19,10,29725,Tony Finau,18,432,4.2
19,-3,40098,Matt Fitzpatrick,18,334,5.4
19,-3,33597,Harry Higgs,18,486,3.7
19,-3,33490,Bo Hoag,18,300,6.0
19,6,29420,Billy Horschel,18,432,4.2
19,25,30925,Dustin Johnson,18,346,5.2
19,-3,32640,Troy Merritt,18,392,4.6
19,10,48822,Sebastián Muñoz,18,562,3.2
19,6,46970,Jon Rahm,18,421,4.3
19,-3,46441,Robby Shelton,18,379,4.7
19,-3,47128,Richy Werenski,18,357,5.0
30,-1,45526,Abraham Ancer,17,421,4.0
30,-5,35461,Beau Hossler,17,344,4.9
30,-1,39971,Sungjae Im,17,592,2.9
30,14,25396,Kevin Na,17,477,3.6
30,-1,29221,Webb Simpson,17,392,4.3
30,-5,29518,Brendan Steele,17,405,4.2
36,-7,40058,Zac Blair,16,373,4.3
36,-7,45157,Cam Davis,16,324,4.9
36,-7,34098,Russell Henley,16,379,4.2
36,-7,24024,Zach Johnson,16,384,4.2
36,-7,37455,Si Woo Kim,16,449,3.6
36,-7,33410,Andrew Landry,16,393,4.1
36,-7,27129,Luke List,16,377,4.2
36,-7,36871,Matthew NeSmith,16,363,4.4
36,-7,27649,Brandt Snedeker,16,364,4.4
36,-7,30692,Scott Stallings,16,359,4.5
46,-2,29268,Bronson Burgoon,15,335,4.5
46,-2,52372,Cameron Champ,15,418,3.6
46,-2,29535,Brice Garnett,15,291,5.2
46,-2,34466,Peter Malnati,15,363,4.1
46,-2,33667,Carlos Ortiz,15,452,3.3
46,-2,49771,J.T. Poston,15,478,3.1
46,-2,35658,Kris Ventura,15,197,7.6
53,0,47504,Sam Burns,14,381,3.7
53,0,34021,Bud Cauley,14,411,3.4
53,0,51766,Wyndham Clark,14,366,3.8
53,0,34076,Joel Dahmen,14,473,3.0
53,0,36801,Mark Hubbard,14,538,2.6
53,0,26851,Marc Leishman,14,368,3.8
53,7,32839,Hideki Matsuyama,14,435,3.2
53,0,39953,Chase Seiffert,14,248,5.6
53,45,33448,Justin Thomas,14,436,3.2
62,-2,19803,Ryan Armour,13,302,4.3
62,-2,46435,Austin Cook,13,328,4.0
62,-2,10809,Jim Furyk,13,212,6.1
62,-2,28679,Fabián Gómez,13,274,4.7
62,-2,27554,Scott Harrington,13,376,3.5
62,-2,21961,Charles Howell III,13,341,3.8
62,-2,30944,Jason Kokrak,13,347,3.7
62,-2,28775,Nate Lashley,13,326,4.0
62,-2,37275,Sam Ryder,13,401,3.2
62,-2,49960,Sepp Straka,13,426,3.1
62,-2,31560,Brian Stuard,13,476,2.7
62,-2,25804,Bubba Watson,13,392,3.3
62,-2,56278,Matthew Wolff,13,454,2.9
75,-1,29479,Scott Brown,12,348,3.4
75,-1,35450,Patrick Cantlay,12,328,3.7
75,-1,45609,Tyler Duncan,12,496,2.4
75,-1,30911,Tommy Fleetwood,12,202,5.9
75,-1,48045,Michael Gellerman,12,208,5.8
75,-1,32618,Rhein Gibson,12,227,5.3
75,-1,25900,Lucas Glover,12,345,3.5
75,-1,27644,Brian Harman,12,547,2.2
75,-1,27974,Sung Kang,12,417,2.9
75,-1,32791,K.H. Lee,12,404,3.0
75,11,23320,Ryan Palmer,12,445,2.7
75,-1,34046,Jordan Spieth,12,363,3.3
75,-1,49964,Aaron Wise,12,208,5.8
88,-2,40026,Daniel Berger,11,447,2.5
88,-2,19846,Brian Gay,11,357,3.1
88,-2,12716,Charley Hoffman,11,343,3.2
88,-2,32757,Patton Kizzire,11,345,3.2
88,-2,23108,Matt Kuchar,11,359,3.1
88,-2,29926,Danny Lee,11,411,2.7
88,-2,39546,Keith Mitchell,11,361,3.0
88,-2,27349,Alex Noren,11,328,3.4
88,-2,30163,Henrik Norlander,11,374,2.9
88,-2,24138,Ian Poulter,11,311,3.5
88,10,35891,Cameron Smith,11,422,2.6
88,-2,27963,Chris Stroud,11,268,4.1
100,-2,34255,Joseph Bramlett,10,260,3.8
100,-2,39997,Corey Conners,10,380,2.6
100,-2,28089,Jason Day,10,299,3.3
100,-2,29970,Dylan Frittelli,10,488,2.0
100,14,46717,Viktor Hovland,10,411,2.4
100,14,45486,Joaquin Niemann,10,455,2.2
100,-2,27942,Rob Oppenheim,10,298,3.4
100,-2,24361,Pat Perez,10,267,3.7
100,-2,48081,Xander Schauffele,10,458,2.2
100,-2,24502,Adam Scott,10,219,4.6
100,-2,33486,Roger Sloan,10,258,3.9
100,-2,25493,Nick Taylor,10,347,2.9
100,-2,25632,Jimmy Walker,10,280,3.6
100,-2,51894,Vince Whaley,10,209,4.8
100,-2,32139,Danny Willett,10,244,4.1
115,-1,33948,Byeong Hun An,9,433,2.1
115,-1,33141,Keegan Bradley,9,370,2.4
115,-1,25686,Jason Dufner,9,365,2.5
115,-1,24924,Bill Haas,9,210,4.3
115,42,34363,Tyrrell Hatton,9,256,3.5
115,-1,26758,David Hearn,9,249,3.6
115,-1,31557,Jim Herman,9,327,2.8
115,-1,35532,Tom Hoge,9,477,1.9
115,-1,33122,Russell Knox,9,323,2.8
115,-1,49766,Hank Lebioda,9,264,3.4
115,-1,34213,Grayson Murray,9,219,4.1
115,-1,22056,Cameron Percy,9,225,4.0
115,-1,25818,Scott Piercy,9,357,2.5
115,-1,27556,Ted Potter Jr.,9,232,3.9
115,-1,28252,Seamus Power,9,147,6.1
115,-1,34256,Andrew Putnam,9,240,3.8
115,-1,47347,Adam Schenk,9,403,2.2
115,-1,27214,Kevin Streelman,9,394,2.3
115,-1,27095,Nick Watney,9,242,3.7
134,2,33120,Mark Anderson,8,255,3.1
134,2,22371,Aaron Baddeley,8,277,2.9
134,2,28420,Ryan Brehm,8,192,4.2
134,2,28307,Matt Every,8,268,3.0
134,2,32102,Rickie Fowler,8,304,2.6
134,2,52375,Doug Ghim,8,164,4.9
134,2,32662,Michael Gligic,8,237,3.4
134,2,56762,Will Gordon,8,122,6.6
134,2,34563,Chesson Hadley,8,322,2.5
134,2,39977,Max Homa,8,411,1.9
134,2,36689,Brooks Koepka,8,265,3.0
134,2,27936,Martin Laird,8,189,4.2
134,2,40042,Tyler McCumber,8,230,3.5
134,2,39324,J.J. Spaun,8,342,2.3
134,2,23325,Vaughn Taylor,8,336,2.4
134,2,32150,Michael Thompson,8,400,2.0
134,2,37189,Harold Varner III,8,391,2.0
134,2,25349,Tim Wilkinson,8,212,3.8
152,5,26499,Rafa Cabrera Bello,7,296,2.4
152,5,33399,Adam Hadwin,7,375,1.9
152,5,32448,James Hahn,7,170,4.1
152,5,25572,Graeme McDowell,7,258,2.7
152,5,26329,Louis Oosthuizen,7,297,2.4
152,5,35732,Wes Roach,7,136,5.1
152,5,29484,Peter Uihlein,7,210,3.3
152,5,27064,Jhonattan Vegas,7,244,2.9
160,6,33404,Chris Baker,6,203,3.0
160,6,25364,Paul Casey,6,287,2.1
160,6,32366,Kevin Chappell,6,229,2.6
160,6,20229,Stewart Cink,6,302,2.0
160,6,49298,Kramer Hickok,6,233,2.6
160,6,28237,Rory McIlroy,6,374,1.6
160,6,26476,Chez Reavie,6,384,1.6
160,6,23621,Rory Sabbatini,6,370,1.6
160,6,33449,Zack Sucher,6,155,3.9
160,6,27330,Josh Teater,6,177,3.4
160,6,23623,Bo Van Pelt,6,187,3.2
171,7,34314,Sebastian Cappelen,5,249,2.0
171,7,31646,Emiliano Grillo,5,293,1.7
171,7,33204,Shane Lowry,5,241,2.1
171,7,33413,Ben Martin,5,156,3.2
171,7,26596,Ryan Moore,5,249,2.0
171,7,30110,Kyle Stanley,5,278,1.8
171,7,48119,Ben Taylor,5,181,2.8
171,7,23788,D.J. Trahan,5,208,2.4
171,7,35617,Martin Trainer,5,294,1.7
171,7,33419,Cameron Tringale,5,383,1.3
171,7,32333,Kevin Tway,5,230,2.2
182,7,21407,Arjun Atwal,4,120,3.3
182,7,40009,Dominic Bozzelli,4,183,2.2
182,7,21209,Sergio Garcia,4,227,1.8
182,7,31420,Anirban Lahiri,4,156,2.6
182,7,35230,Nelson Ledesma,4,169,2.4
182,7,22405,Justin Rose,4,250,1.6
182,7,48887,Matt Wallace,4,290,1.4
189,8,29974,Branden Grace,3,235,1.3
189,8,46550,Brandon Hagy,3,241,1.2
189,8,01810,Phil Mickelson,3,287,1.0
189,8,34431,Robert Streb,3,201,1.5
193,8,29908,C.T. Pan,2,262,.8
