RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,48822,Sebastián Muñoz,173,562,30.8
2,2,30927,Brendon Todd,162,580,27.9
3,-1,50525,Collin Morikawa,158,520,30.4
4,1,35310,Lanto Griffin,154,591,26.1
5,5,34099,Harris English,153,478,32.0
6,-4,36801,Mark Hubbard,152,538,28.3
7,5,39971,Sungjae Im,149,592,25.2
8,-2,45609,Tyler Duncan,148,496,29.8
9,-2,36699,Patrick Rodgers,147,519,28.3
10,-2,35532,Tom Hoge,146,477,30.6
10,3,25396,Kevin Na,146,477,30.6
12,-3,46402,Talor Gooch,145,526,27.6
13,-2,27644,Brian Harman,141,547,25.8
14,8,34360,Patrick Reed,135,522,25.9
15,-2,31560,Brian Stuard,134,476,28.2
16,-1,35449,Adam Long,133,498,26.7
16,12,48081,Xander Schauffele,133,458,29.0
18,-2,47993,Denny McCarthy,132,474,27.8
19,-1,47959,Bryson DeChambeau,131,482,27.2
20,-3,29926,Danny Lee,130,411,31.6
21,10,40026,Daniel Berger,129,447,28.9
22,-4,33597,Harry Higgs,127,486,26.1
22,12,45486,Joaquin Niemann,127,455,27.9
22,-4,49771,J.T. Poston,127,478,26.6
22,-4,56278,Matthew Wolff,127,454,28.0
26,-4,47504,Sam Burns,126,381,33.1
27,-3,53165,Doc Redman,125,469,26.7
27,-3,30692,Scott Stallings,125,359,34.8
29,-3,26300,Matt Jones,124,444,27.9
30,4,23320,Ryan Palmer,123,445,27.6
31,3,29420,Billy Horschel,122,432,28.2
31,6,35506,Mackenzie Hughes,122,465,26.2
33,-6,46442,Maverick McNealy,121,431,28.1
34,7,46717,Viktor Hovland,120,411,29.2
34,6,46046,Scottie Scheffler,120,506,23.7
36,-7,49960,Sepp Straka,118,426,27.7
37,16,45526,Abraham Ancer,117,421,27.8
37,-7,34021,Bud Cauley,117,411,28.5
39,-8,37455,Si Woo Kim,116,449,25.8
39,-8,32791,K.H. Lee,116,404,28.7
41,-4,29970,Dylan Frittelli,114,488,23.4
41,-4,36871,Matthew NeSmith,114,363,31.4
43,-2,33141,Keegan Bradley,112,370,30.3
43,-2,27974,Sung Kang,112,417,26.9
43,20,29221,Webb Simpson,112,392,28.6
46,-2,34076,Joel Dahmen,111,473,23.5
47,-2,12716,Charley Hoffman,110,343,32.1
47,16,29478,Kevin Kisner,110,432,25.5
47,-2,29518,Brendan Steele,110,405,27.2
50,-3,34098,Russell Henley,109,379,28.8
50,19,35891,Cameron Smith,109,422,25.8
50,-3,27214,Kevin Streelman,109,394,27.7
53,-4,47347,Adam Schenk,108,403,26.8
54,-4,33948,Byeong Hun An,107,433,24.7
54,-4,33667,Carlos Ortiz,107,452,23.7
54,9,46970,Jon Rahm,107,421,25.4
57,23,52372,Cameron Champ,106,418,25.4
57,-5,25804,Bubba Watson,106,392,27.0
59,-6,24024,Zach Johnson,105,384,27.3
59,18,32839,Hideki Matsuyama,105,435,24.1
59,29,28237,Rory McIlroy,105,374,28.1
59,-6,30163,Henrik Norlander,105,374,28.1
59,-6,37275,Sam Ryder,105,401,26.2
59,-6,32150,Michael Thompson,105,400,26.3
65,-7,39977,Max Homa,104,411,25.3
65,-7,32640,Troy Merritt,104,392,26.5
65,15,33448,Justin Thomas,104,436,23.9
68,-8,40058,Zac Blair,103,373,27.6
68,-8,33399,Adam Hadwin,103,375,27.5
68,-8,37189,Harold Varner III,103,391,26.3
71,-8,19846,Brian Gay,102,357,28.6
71,-8,27649,Brandt Snedeker,102,364,28.0
71,-8,32254,Xinjun Zhang,102,427,23.9
74,-5,29268,Bronson Burgoon,101,335,30.1
74,-5,39546,Keith Mitchell,101,361,28.0
76,-4,39997,Corey Conners,100,380,26.3
76,-4,23621,Rory Sabbatini,100,370,27.0
76,-4,31323,Gary Woodland,100,381,26.2
79,-4,27554,Scott Harrington,99,376,26.3
79,-4,27129,Luke List,99,377,26.3
81,-4,25686,Jason Dufner,98,365,26.8
81,22,29725,Tony Finau,98,432,22.7
81,-4,28775,Nate Lashley,98,326,30.1
84,-4,35450,Patrick Cantlay,97,328,29.6
84,-4,51766,Wyndham Clark,97,366,26.5
84,-4,33419,Cameron Tringale,97,383,25.3
87,-2,25900,Lucas Glover,96,345,27.8
87,11,30925,Dustin Johnson,96,346,27.7
87,24,26851,Marc Leishman,96,368,26.1
87,-2,46441,Robby Shelton,96,379,25.3
91,-4,30944,Jason Kokrak,95,347,27.4
92,-3,25493,Nick Taylor,93,347,26.8
93,-3,20229,Stewart Cink,92,302,30.5
93,-3,45157,Cam Davis,92,324,28.4
93,-3,26476,Chez Reavie,92,384,24.0
96,-3,29479,Scott Brown,90,348,25.9
96,-3,21961,Charles Howell III,90,341,26.4
96,-3,33410,Andrew Landry,90,393,22.9
96,-3,34046,Jordan Spieth,90,363,24.8
96,-3,35617,Martin Trainer,90,294,30.6
101,-3,40098,Matt Fitzpatrick,89,334,26.6
101,-3,26329,Louis Oosthuizen,89,297,30.0
101,-3,25818,Scott Piercy,89,357,24.9
101,-3,23325,Vaughn Taylor,89,336,26.5
105,-2,33490,Bo Hoag,88,300,29.3
105,-2,23108,Matt Kuchar,88,359,24.5
105,-2,34466,Peter Malnati,88,363,24.2
108,-1,34563,Chesson Hadley,87,322,27.0
108,-1,47128,Richy Werenski,87,357,24.4
