RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,30,47806,Raul Pereda,2.830,310.6,109.770,151,0188711970
2,10,27330,Josh Teater,2.819,317.8,112.741,150,0204811496
3,-1,48084,Wesley Bryan,2.818,319.9,113.532,150,0228610852
4,9,60767,Blaine Hale Jr.,2.806,327.6,116.762,162,0191411439
5,24,29535,Brice Garnett,2.771,302.1,109.015,180,0216112329
6,14,32366,Kevin Chappell,2.768,320.2,115.714,167,0213110755
7,3,24024,Zach Johnson,2.760,299.0,108.339,197,0224712222
8,18,34374,Erik Barnes,2.759,317.9,115.209,185,0209210879
9,83,37212,Paul Barjon,2.733,330.2,120.790,159,0212110834
9,-1,45609,Tyler Duncan,2.733,306.5,112.150,206,0220112291
11,98,29478,Kevin Kisner,2.726,300.3,110.183,190,0181411140
11,27,27214,Kevin Streelman,2.726,310.4,113.846,222,0217511832
13,8,49960,Sepp Straka,2.725,303.6,111.425,254,0220010962
14,43,55454,Carl Yuan,2.724,320.7,117.752,173,0206511581
15,55,46113,Ryan McCormick,2.720,322.9,118.733,163,0197011054
16,-6,23108,Matt Kuchar,2.706,292.0,107.898,260,0213012509
17,9,55708,Hayden Buckley,2.702,308.0,113.976,254,0208411601
18,68,48319,Tom Whitney,2.687,304.3,113.228,191,0201911759
19,-4,58168,Davis Thompson,2.674,313.4,117.213,279,0203511360
20,81,32070,Rafael Campos,2.671,312.4,116.942,186,0208110473
21,23,59836,Pierceson Coody,2.669,319.3,119.639,237,0192711165
22,97,35617,Martin Trainer,2.666,313.2,117.485,164,0197510499
23,58,32757,Patton Kizzire,2.663,307.1,115.299,218,0220911494
24,43,30926,Chris Kirk,2.662,305.6,114.778,284,0189311926
25,100,48119,Ben Taylor,2.656,306.7,115.487,193,0178211061
26,41,50493,Justin Suh,2.650,306.5,115.670,262,0209911911
27,68,60004,Jacob Bridgeman,2.648,308.6,116.554,228,0209811500
27,25,51997,Andrew Novak,2.648,304.4,114.936,238,0176612008
29,34,39324,J.J. Spaun,2.646,305.9,115.613,283,0208111513
30,33,57362,Austin Eckroat,2.644,305.0,115.357,297,0177311341
31,-2,39546,Keith Mitchell,2.642,314.9,119.169,283,0222611734
32,93,34099,Harris English,2.640,309.5,117.230,285,0207311266
33,30,54421,Garrick Higgo,2.638,314.7,119.292,258,0195611192
34,68,54591,Ben Griffin,2.637,303.2,114.978,283,0205311276
35,32,34076,Joel Dahmen,2.636,292.7,111.051,264,0219212600
35,53,45242,Kevin Yu,2.636,313.5,118.958,219,0203711536
37,39,54783,Dylan Wu,2.634,300.1,113.901,277,0212011926
38,14,47591,Eric Cole,2.630,302.0,114.826,336,0193111767
39,113,22371,Aaron Baddeley,2.629,293.2,111.525,220,0204412310
40,81,46340,Alex Smalley,2.622,306.0,116.710,212,0188110390
41,82,36871,Matt NeSmith,2.618,306.6,117.113,248,0204411510
42,41,35506,Mackenzie Hughes,2.617,302.6,115.600,351,0209111790
43,91,30927,Brendon Todd,2.607,283.7,108.791,345,0203112621
44,0,47988,Nick Hardy,2.606,305.0,117.034,307,0209111356
45,-13,57900,Chandler Phillips,2.603,292.2,112.263,283,0208312106
46,95,25900,Lucas Glover,2.600,289.3,111.284,290,0193011974
47,90,37275,Sam Ryder,2.599,300.6,115.647,251,0216111721
48,98,32791,K.H. Lee,2.590,298.7,115.349,256,0204912111
49,127,27139,David Skinns,2.589,309.6,119.599,250,0180511523
50,-46,33141,Keegan Bradley,2.583,298.5,115.565,277,0215602956
51,-50,33948,Byeong Hun An,2.579,307.4,119.203,259,0173903059
52,92,26596,Ryan Moore,2.556,279.1,109.189,272,0195512088
53,117,47663,Kevin Dougherty,2.553,322.1,126.185,196,0205007513
54,-51,34587,Chan Kim,2.552,291.0,114.037,242,0210802852
55,102,40058,Zac Blair,2.550,281.9,110.547,333,0202412157
56,-51,59143,Mac Meissner,2.549,289.9,113.728,221,0209802870
57,-51,51890,Greyson Sigg,2.540,281.1,110.655,274,0215602830
58,-49,35461,Beau Hossler,2.535,289.9,114.333,314,0215702836
59,2,29221,Webb Simpson,2.534,288.8,114.006,183,0220702887
60,-22,46717,Viktor Hovland,2.533,294.2,116.140,185,0216003105
61,-23,40250,Taylor Pendrith,2.531,304.7,120.353,287,0213302963
62,-14,29420,Billy Horschel,2.526,288.6,114.260,251,0213503051
63,-49,26476,Chez Reavie,2.523,272.3,107.930,234,0222603088
63,10,33448,Justin Thomas,2.523,297.1,117.741,198,0189303061
65,-2,32102,Rickie Fowler,2.521,288.9,114.587,231,0191103033
65,-27,47995,Davis Riley,2.521,293.5,116.426,262,0212902934
67,-50,23320,Ryan Palmer,2.520,283.0,112.295,147,0224402880
68,-53,32640,Troy Merritt,2.519,279.6,110.987,249,0194302859
69,-12,36799,Stephan Jaeger,2.518,299.4,118.900,258,0216202953
70,0,45157,Cam Davis,2.517,293.4,116.592,242,0208903208
70,12,30911,Tommy Fleetwood,2.517,290.3,115.352,233,0214703155
72,-11,34046,Jordan Spieth,2.515,295.9,117.639,242,0220102842
72,-50,52666,Sami Valimaki,2.515,289.0,114.898,201,0220002820
74,-38,27644,Brian Harman,2.514,277.7,110.481,319,0213303133
75,-2,33204,Shane Lowry,2.513,289.0,114.972,262,0211603036
75,106,47347,Adam Schenk,2.513,302.1,120.207,292,0193710281
77,6,28089,Jason Day,2.511,295.2,117.556,233,0223603001
78,-71,50095,Austin Smotherman,2.510,284.6,113.391,155,0219102782
79,-51,34563,Chesson Hadley,2.509,288.1,114.800,254,0211302874
79,4,22405,Justin Rose,2.509,287.8,114.679,213,0215502859
81,-25,52955,Ludvig Åberg,2.508,299.3,119.316,230,0213002937
81,-62,39975,Michael Kim,2.508,288.9,115.171,259,0209802776
83,-58,52513,Carson Young,2.503,280.0,111.876,293,0214602875
84,-66,34021,Bud Cauley,2.502,281.5,112.486,215,0222902806
84,-61,51287,Ryo Hisatsune,2.502,282.2,112.780,238,0182902853
84,-61,55893,Sam Stevens,2.502,296.4,118.467,288,0207002876
87,-51,12716,Charley Hoffman,2.499,288.2,115.309,207,0212202792
88,16,47504,Sam Burns,2.497,299.1,119.822,241,0213003080
88,-56,33486,Roger Sloan,2.497,282.4,113.097,196,0216602749
90,17,47483,Will Zalatoris,2.495,292.8,117.344,218,0200302778
91,-56,27649,Brandt Snedeker,2.494,269.9,108.195,208,0216502799
92,-43,32367,Jorge Campillo,2.493,285.1,114.370,147,0216502764
93,-42,48867,Matti Schmid,2.492,296.1,118.798,223,0207302875
94,-42,36326,David Lipsky,2.491,274.8,110.316,234,0183402803
95,-51,47983,Chad Ramey,2.489,282.6,113.553,279,0197202778
95,18,24502,Adam Scott,2.489,297.2,119.416,232,0204902819
97,-48,52514,Trace Crowe,2.487,287.2,115.478,245,0208802768
97,-59,52375,Doug Ghim,2.487,279.4,112.327,273,0202602928
97,16,50525,Collin Morikawa,2.487,285.6,114.843,218,0206202911
