RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,01381,Fred Funk,10.24,146,1426,+0.05
2,0,22293,Heath Slocum,11.83,129,1090,+0.29
3,0,08931,Glen Day,12.00,163,1358,+0.14
4,0,01797,Rocco Mediate,12.31,98,796,+0.05
5,0,01968,Nick Price,12.50,91,728,+0.20
6,0,01014,Fulton Allem,12.65,106,838,+0.22
7,0,20157,Retief Goosen,12.77,72,564,-0.03
8,0,08545,Glen Hnatiuk,12.82,161,1256,+0.20
9,0,01142,Bart Bryant,12.84,114,888,+0.18
10,0,01139,Olin Browne,13.12,179,1364,+0.18
11,0,07721,Pat Bates,13.33,163,1223,+0.12
11,0,01157,Tom Byrum,13.33,128,960,+0.05
11,0,02239,Scott Verplank,13.33,144,1080,+0.06
14,0,23135,Tim Clark,13.39,117,874,+0.23
15,0,20029,Notah Begay III,13.41,135,1007,+0.27
15,0,10809,Jim Furyk,13.41,134,999,+0.09
17,0,06498,Matt Peterson,13.47,146,1084,+0.29
18,0,02214,Kirk Triplett,13.50,122,904,+0.20
19,0,20548,Hidemichi Tanaka,13.91,175,1258,+0.19
20,0,19972,José Coceres,14.10,77,546,+0.31
20,0,01724,Jeff Maggert,14.10,140,993,+0.24
22,0,02010,Loren Roberts,14.17,168,1186,+0.17
23,0,08553,Lee Porter,14.44,164,1136,+0.30
24,0,01307,Joel Edwards,14.52,189,1302,+0.17
25,0,10860,Justin Leonard,14.63,156,1066,+0.15
26,0,06643,Paul Goydos,14.65,121,826,+0.26
27,0,01619,Skip Kendall,14.67,194,1322,+0.20
28,0,01388,Robert Gamez,14.84,130,876,+0.18
29,0,12510,Chad Campbell,14.88,208,1398,+0.28
30,0,22913,John Rollins,14.90,233,1564,+0.15
31,0,01920,Craig Parry,14.99,128,854,+0.21
32,0,12753,David Morland IV,15.08,109,723,+0.31
33,0,02170,Hal Sutton,15.32,135,881,+0.29
34,0,10457,Frank Nobilo,15.36,194,1263,+0.21
35,0,06621,Joe Durant,15.39,155,1007,+0.08
36,0,19881,Robert Damron,15.40,176,1143,+0.32
37,0,10885,Robert Allenby,15.41,171,1110,+0.11
38,0,20436,Garrett Willis,15.47,166,1073,+0.34
39,0,01771,Blaine McCallister,15.54,149,959,+0.18
40,0,10962,Bradley Hughes,15.58,120,770,+0.31
41,0,01320,Bob Estes,15.59,160,1026,+0.11
41,0,02206,David Toms,15.59,188,1206,+0.03
43,0,06315,Pete Jordan,15.65,161,1029,+0.32
44,0,01766,Billy Mayfair,15.67,175,1117,+0.19
45,0,01219,John Cook,15.73,159,1011,+0.15
46,0,01132,Mark Brooks,15.77,178,1129,+0.20
47,0,23983,Luke Donald,15.84,210,1326,+0.17
48,0,08075,Jerry Kelly,15.96,187,1172,+0.16
49,0,20127,Chris Riley,15.99,189,1182,+0.22
50,0,01928,Corey Pavin,16.00,147,919,+0.22
51,0,23108,Matt Kuchar,16.03,152,948,+0.18
52,0,08123,Jeff Brehaut,16.04,180,1122,+0.27
53,0,06809,Bob Burns,16.12,205,1272,+0.15
