RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,22371,Aaron Baddeley,.595,41.618,70
2,0,34360,Patrick Reed,.545,34.343,63
3,0,29461,Jamie Lovemark,.519,40.476,78
4,0,20472,Alex Cejka,.495,29.700,60
5,0,28089,Jason Day,.479,23.488,49
6,0,22405,Justin Rose,.450,23.868,53
7,0,24024,Zach Johnson,.425,30.634,72
8,0,26329,Louis Oosthuizen,.408,18.779,46
9,0,48084,Wesley Bryan,.407,20.759,51
10,0,40058,Zac Blair,.394,18.112,46
11,0,08793,Tiger Woods,.385,22.732,59
12,0,25396,Kevin Na,.373,26.100,70
13,0,29221,Webb Simpson,.370,30.006,81
14,0,24924,Bill Haas,.368,24.268,66
15,0,27129,Luke List,.349,27.204,78
16,0,24925,Jonathan Byrd,.339,16.250,48
17,0,25198,Francesco Molinari,.327,18.614,57
18,0,28237,Rory McIlroy,.322,16.420,51
19,0,27649,Brandt Snedeker,.318,23.537,74
20,0,33448,Justin Thomas,.311,21.127,68
21,0,30911,Tommy Fleetwood,.296,15.982,54
22,0,26851,Marc Leishman,.292,21.350,73
23,0,37455,Si Woo Kim,.291,22.694,78
24,0,26596,Ryan Moore,.273,18.042,66
25,0,33399,Adam Hadwin,.267,17.622,66
26,0,24846,Ricky Barnes,.257,11.566,45
27,0,34466,Peter Malnati,.255,19.125,75
28,0,19846,Brian Gay,.253,23.286,92
29,0,34363,Tyrrell Hatton,.252,10.591,42
30,0,46501,Ollie Schniederjans,.250,19.217,77
31,0,32102,Rickie Fowler,.242,14.783,61
32,0,34021,Bud Cauley,.239,9.786,41
33,0,30925,Dustin Johnson,.238,14.785,62
34,0,10809,Jim Furyk,.235,10.811,46
35,0,23621,Rory Sabbatini,.234,17.547,75
36,0,26951,Johnson Wagner,.226,12.456,55
37,0,29725,Tony Finau,.222,17.967,81
38,0,35891,Cameron Smith,.218,13.307,61
39,0,23108,Matt Kuchar,.211,13.726,65
40,0,22056,Cameron Percy,.210,8.616,41
41,0,27936,Martin Laird,.209,12.751,61
42,0,27895,Jonas Blixt,.196,9.412,48
43,0,19803,Ryan Armour,.194,18.623,96
43,0,31202,William McGirt,.194,14.532,75
45,0,26300,Matt Jones,.192,9.018,47
46,0,30926,Chris Kirk,.190,18.204,96
47,0,34256,Andrew Putnam,.187,14.377,77
47,0,28132,Tyrone Van Aswegen,.187,15.543,83
49,0,23541,Ben Crane,.184,8.461,46
49,0,34046,Jordan Spieth,.184,12.114,66
51,0,46435,Austin Cook,.179,16.464,92
52,0,46970,Jon Rahm,.176,8.970,51
53,0,36799,Stephan Jaeger,.175,11.050,63
54,0,33948,Byeong Hun An,.167,12.222,73
55,0,25632,Jimmy Walker,.166,10.954,66
56,0,36689,Brooks Koepka,.162,8.761,54
57,0,29484,Peter Uihlein,.156,10.149,65
58,0,33122,Russell Knox,.149,11.037,74
59,0,35450,Patrick Cantlay,.146,9.770,67
60,0,32839,Hideki Matsuyama,.143,8.151,57
61,0,29222,Billy Hurley III,.139,7.931,57
62,0,30978,Kiradech Aphibarnrat,.135,4.589,34
63,0,40009,Dominic Bozzelli,.133,8.095,61
64,0,29974,Branden Grace,.125,5.505,44
64,0,24502,Adam Scott,.125,7.520,60
66,0,31420,Anirban Lahiri,.120,8.053,67
67,0,34099,Harris English,.111,7.539,68
68,0,25364,Paul Casey,.109,5.328,49
69,0,27556,Ted Potter Jr.,.105,8.062,77
70,0,25818,Scott Piercy,.097,6.613,68
71,0,26499,Rafa Cabrera Bello,.096,4.603,48
72,0,21961,Charles Howell III,.095,7.385,78
73,0,01810,Phil Mickelson,.091,6.360,70
74,0,33419,Cameron Tringale,.088,4.506,51
75,0,34431,Robert Streb,.084,5.067,60
76,0,28775,Nate Lashley,.080,2.808,35
77,0,47128,Richy Werenski,.077,5.719,74
78,0,47959,Bryson DeChambeau,.070,5.427,78
79,0,29908,C.T. Pan,.063,5.141,82
80,0,20229,Stewart Cink,.055,3.662,67
81,0,46402,Talor Gooch,.053,3.293,62
82,0,29926,Danny Lee,.051,3.557,70
82,0,25240,D.A. Points,.051,2.466,48
82,0,24138,Ian Poulter,.051,2.538,50
85,0,27942,Rob Oppenheim,.050,2.679,54
85,0,32150,Michael Thompson,.050,2.810,56
87,0,25572,Graeme McDowell,.049,2.239,46
88,0,49964,Aaron Wise,.042,3.340,80
89,0,24361,Pat Perez,.037,1.901,51
90,0,36699,Patrick Rodgers,.034,2.498,73
91,0,27141,J.B. Holmes,.032,2.156,68
92,0,32448,James Hahn,.028,1.921,69
93,0,33141,Keegan Bradley,.026,2.041,80
93,0,31560,Brian Stuard,.026,2.300,88
95,0,12510,Chad Campbell,.023,1.522,67
96,0,37189,Harold Varner III,.021,1.591,74
97,0,25493,Nick Taylor,.017,1.282,74
98,0,27214,Kevin Streelman,.014,1.167,82
99,0,35461,Beau Hossler,.013,1.172,90
99,0,33418,Shawn Stefani,.013,.809,60
101,0,27958,Ryan Blaum,.005,.371,72
102,0,23325,Vaughn Taylor,-.002,-.115,70
