RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,20593,Greg Chalmers,.790,32.388,41
2,0,28089,Jason Day,.770,37.721,49
3,0,27349,Alex Noren,.758,37.154,49
4,0,25834,Daniel Summerhays,.736,27.966,38
5,0,29221,Webb Simpson,.692,56.018,81
6,0,35461,Beau Hossler,.685,61.617,90
7,0,26951,Johnson Wagner,.623,34.292,55
8,0,34466,Peter Malnati,.619,46.410,75
9,0,36699,Patrick Rodgers,.561,40.932,73
10,0,31646,Emiliano Grillo,.546,39.841,73
11,0,25396,Kevin Na,.533,37.304,70
12,0,29478,Kevin Kisner,.513,33.365,65
13,0,01810,Phil Mickelson,.510,35.711,70
14,0,28252,Seamus Power,.498,32.851,66
14,0,32150,Michael Thompson,.498,27.889,56
16,0,25572,Graeme McDowell,.478,21.967,46
16,0,27649,Brandt Snedeker,.478,35.378,74
18,0,47993,Denny McCarthy,.449,22.018,49
19,0,19846,Brian Gay,.442,40.668,92
20,0,37454,Whee Kim,.427,31.181,73
21,0,22405,Justin Rose,.424,22.479,53
22,0,29485,Brett Stegmaier,.401,18.836,47
23,0,29420,Billy Horschel,.392,30.165,77
24,0,10809,Jim Furyk,.389,17.903,46
25,0,30925,Dustin Johnson,.385,23.861,62
26,0,34021,Bud Cauley,.367,15.055,41
27,0,31416,Derek Fathauer,.363,24.669,68
28,0,48084,Wesley Bryan,.360,18.354,51
29,0,37278,Nicholas Lindheim,.355,20.930,59
30,0,29974,Branden Grace,.350,15.390,44
31,0,23108,Matt Kuchar,.348,22.592,65
32,0,47959,Bryson DeChambeau,.346,26.983,78
32,0,24781,Hunter Mahan,.346,17.640,51
34,0,24846,Ricky Barnes,.338,15.201,45
35,0,34363,Tyrrell Hatton,.335,14.077,42
36,0,23541,Ben Crane,.332,15.286,46
37,0,46501,Ollie Schniederjans,.325,25.042,77
38,0,30911,Tommy Fleetwood,.324,17.510,54
38,0,25632,Jimmy Walker,.324,21.369,66
40,0,40026,Daniel Berger,.319,19.780,62
41,0,46435,Austin Cook,.315,28.963,92
42,0,40009,Dominic Bozzelli,.308,18.800,61
43,0,32102,Rickie Fowler,.296,18.029,61
44,0,27936,Martin Laird,.282,17.178,61
45,0,26499,Rafa Cabrera Bello,.273,13.101,48
45,0,27644,Brian Harman,.273,19.683,72
47,0,33448,Justin Thomas,.272,18.528,68
48,0,08793,Tiger Woods,.266,15.703,59
49,0,39975,Michael Kim,.259,14.005,54
50,0,27895,Jonas Blixt,.244,11.722,48
51,0,39327,Ben Silverman,.238,18.085,76
51,0,49964,Aaron Wise,.238,19.071,80
53,0,29725,Tony Finau,.232,18.774,81
54,0,34409,David Lingmerth,.229,15.774,69
55,0,35421,Brandon Harkins,.225,19.146,85
56,0,24138,Ian Poulter,.223,11.143,50
57,0,34099,Harris English,.222,15.063,68
58,0,21961,Charles Howell III,.219,17.092,78
59,0,34563,Chesson Hadley,.208,18.555,89
60,0,24024,Zach Johnson,.206,14.836,72
61,0,40058,Zac Blair,.203,9.346,46
62,0,39954,Cody Gribble,.201,10.839,54
63,0,31202,William McGirt,.200,14.970,75
