RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,30925,Dustin Johnson,.919,56.985,62
2,0,46970,Jon Rahm,.817,41.660,51
3,0,31323,Gary Woodland,.803,56.202,70
4,0,27129,Luke List,.795,61.975,78
5,0,25804,Bubba Watson,.780,53.012,68
6,0,28237,Rory McIlroy,.761,38.798,51
7,0,39546,Keith Mitchell,.706,58.589,83
8,0,25198,Francesco Molinari,.690,39.315,57
9,0,36689,Brooks Koepka,.658,35.528,54
10,0,35450,Patrick Cantlay,.622,41.703,67
11,0,32366,Kevin Chappell,.608,37.675,62
12,0,47959,Bryson DeChambeau,.586,45.741,78
13,0,30911,Tommy Fleetwood,.580,31.344,54
14,0,27141,J.B. Holmes,.565,38.419,68
15,0,29518,Brendan Steele,.557,30.071,54
16,0,22405,Justin Rose,.551,29.227,53
17,0,29420,Billy Horschel,.538,41.435,77
18,0,25900,Lucas Glover,.514,23.637,46
19,0,46601,Trey Mullinax,.506,29.831,59
20,0,39997,Corey Conners,.501,39.616,79
21,0,30978,Kiradech Aphibarnrat,.485,16.493,34
22,0,29725,Tony Finau,.481,38.970,81
23,0,33948,Byeong Hun An,.475,34.678,73
24,0,24781,Hunter Mahan,.465,23.732,51
25,0,27214,Kevin Streelman,.439,35.995,82
26,0,21528,Henrik Stenson,.427,18.789,44
27,0,49964,Aaron Wise,.410,32.834,80
28,0,33448,Justin Thomas,.408,27.721,68
29,0,26596,Ryan Moore,.406,26.814,66
30,0,26329,Louis Oosthuizen,.401,18.428,46
31,0,49771,J.T. Poston,.381,21.692,57
32,0,50526,Tom Lovelady,.379,26.149,69
33,0,30110,Kyle Stanley,.378,25.344,67
34,0,34213,Grayson Murray,.375,22.153,59
35,0,31646,Emiliano Grillo,.364,26.594,73
36,0,30944,Jason Kokrak,.360,31.698,88
37,0,29223,Sam Saunders,.350,23.445,67
38,0,26300,Matt Jones,.333,15.639,47
39,0,33204,Shane Lowry,.331,16.886,51
40,0,45526,Abraham Ancer,.325,26.952,83
41,0,21961,Charles Howell III,.324,25.305,78
42,0,32448,James Hahn,.323,22.256,69
43,0,29268,Bronson Burgoon,.309,17.587,57
44,0,34076,Joel Dahmen,.300,21.326,71
44,0,24502,Adam Scott,.300,17.987,60
46,0,27064,Jhonattan Vegas,.294,18.789,64
47,0,39324,J.J. Spaun,.286,20.323,71
48,0,35461,Beau Hossler,.281,25.257,90
49,0,45609,Tyler Duncan,.273,22.103,81
50,0,34046,Jordan Spieth,.271,17.879,66
