RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,20378,Mathias Grönberg,64.48,236,366
2,0,06567,Vijay Singh,64.19,371,578
3,0,10809,Jim Furyk,63.44,321,506
4,0,01928,Corey Pavin,63.21,311,492
5,0,06373,José María Olazábal,63.03,208,330
6,0,06595,Kevin Sutherland,62.91,324,515
7,0,02010,Loren Roberts,62.73,207,330
8,0,01941,Tom Pernice Jr.,62.43,447,716
9,0,01810,Phil Mickelson,62.36,275,441
10,0,06575,Dudley Hart,62.33,316,507
11,0,01381,Fred Funk,62.28,383,615
12,0,24361,Pat Perez,62.24,361,580
13,0,25396,Kevin Na,62.21,382,614
14,0,08793,Tiger Woods,62.09,249,401
15,0,19846,Brian Gay,61.90,416,672
16,0,06527,Steve Stricker,61.81,267,432
17,0,21753,Brian Davis,61.77,286,463
18,0,19972,José Coceres,61.72,237,384
18,0,22405,Justin Rose,61.72,337,546
20,0,12782,Tim Herron,61.71,382,619
21,0,26420,Richard Johnson,61.67,177,287
22,0,20474,Phillip Price,61.66,283,459
23,0,20850,Daniel Chopra,61.54,416,676
23,0,01320,Bob Estes,61.54,360,585
25,0,25345,Carl Pettersson,61.47,394,641
26,0,23108,Matt Kuchar,61.35,246,401
27,0,06251,Chris DiMarco,61.16,296,484
28,0,07749,Brett Quigley,61.13,357,584
29,0,12680,Shigeki Maruyama,60.98,372,610
30,0,22295,Darron Stiles,60.92,279,458
31,0,10425,Jay Williamson,60.74,212,349
32,0,21350,Ryuji Imada,60.71,306,504
33,0,01887,Mark O'Meara,60.67,290,478
34,0,01313,Steve Elkington,60.61,240,396
35,0,06004,Stephen Ames,60.56,327,540
36,0,20160,Charlie Wi,60.47,283,468
36,0,21878,Mark Wilson,60.47,260,430
38,0,01797,Rocco Mediate,60.35,274,454
39,0,12823,Carlos Franco,60.30,278,461
40,0,22293,Heath Slocum,60.28,340,564
41,0,01666,Bernhard Langer,60.19,254,422
42,0,23983,Luke Donald,60.12,205,341
43,0,23541,Ben Crane,60.08,301,501
44,0,02104,Jeff Sluman,60.04,335,558
45,0,08931,Glen Day,60.00,321,535
46,0,01361,Dan Forsman,59.93,166,277
47,0,08385,Omar Uresti,59.88,303,506
48,0,01706,Davis Love III,59.82,268,448
49,0,01487,Jeff Hart,59.71,246,412
50,0,02214,Kirk Triplett,59.58,199,334
51,0,20382,Stephen Leaney,59.54,309,519
52,0,20099,Doug Barron,59.47,248,417
53,0,20229,Stewart Cink,59.46,330,555
54,0,01766,Billy Mayfair,59.44,359,604
55,0,08537,J.P. Hayes,59.43,252,424
56,0,21209,Sergio Garcia,59.42,205,345
57,0,12660,Jesper Parnevik,59.41,341,574
58,0,20098,Stuart Appleby,59.33,283,477
59,0,20628,Arron Oberholser,59.31,223,376
60,0,06034,Marco Dawson,59.25,285,481
61,0,20623,Gavin Coles,59.24,282,476
62,0,20548,Hidemichi Tanaka,59.21,360,608
62,0,12602,Dean Wilson,59.21,315,532
64,0,10860,Justin Leonard,59.19,277,468
65,0,23409,James Driscoll,59.15,278,470
66,0,01139,Olin Browne,59.09,312,528
67,0,02223,Bob Tway,59.05,287,486
68,0,21961,Charles Howell III,59.02,324,549
69,0,24507,Jason Bohn,58.99,328,556
70,0,01945,Kenny Perry,58.91,248,421
71,0,08075,Jerry Kelly,58.87,355,603
72,0,22371,Aaron Baddeley,58.82,340,578
72,0,01823,Larry Mize,58.82,200,340
74,0,21805,Harrison Frazar,58.72,357,608
75,0,21806,Paul Gow,58.70,297,506
76,0,02101,Joey Sindelar,58.50,344,588
77,0,21949,Joe Ogilvie,58.47,397,679
78,0,23725,Brendan Jones,58.44,277,474
79,0,01132,Mark Brooks,58.43,305,522
80,0,20645,John Senden,58.42,333,570
81,0,10423,Mike Weir,58.41,264,452
82,0,20121,Todd Fischer,58.35,395,677
83,0,20127,Chris Riley,58.33,273,468
84,0,27095,Nick Watney,58.30,316,542
