RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,26596,Ryan Moore,69.29,2425,35
2,0,24502,Adam Scott,69.52,3059,44
3,0,30925,Dustin Johnson,69.67,3762,54
4,0,28158,Steve Marino,69.71,1185,17
5,0,08075,Jerry Kelly,69.74,1604,23
6,0,23983,Luke Donald,69.83,1606,23
7,0,32102,Rickie Fowler,69.86,3074,44
8,0,28237,Rory McIlroy,69.88,2306,33
8,0,06527,Steve Stricker,69.88,1747,25
10,0,34265,Will Wilcox,69.91,769,11
11,0,34360,Patrick Reed,69.92,3356,48
12,0,27649,Brandt Snedeker,69.98,3289,47
13,0,20472,Alex Cejka,70.00,1610,23
13,0,24924,Bill Haas,70.00,2310,33
13,0,30163,Henrik Norlander,70.00,980,14
16,0,34046,Jordan Spieth,70.04,3152,45
17,0,29974,Branden Grace,70.09,1542,22
18,0,32839,Hideki Matsuyama,70.10,2734,39
19,0,32366,Kevin Chappell,70.11,2524,36
19,0,27963,Chris Stroud,70.11,1332,19
21,0,26476,Chez Reavie,70.12,1823,26
22,0,34098,Russell Henley,70.13,1613,23
23,0,30711,Colt Knost,70.14,1473,21
24,0,34466,Peter Malnati,70.18,1544,22
25,0,36689,Brooks Koepka,70.19,2176,31
26,0,34262,Jon Curran,70.22,2247,32
27,0,29221,Webb Simpson,70.23,1826,26
28,0,28089,Jason Day,70.24,2669,38
29,0,20645,John Senden,70.25,1405,20
30,0,01810,Phil Mickelson,70.26,2459,35
31,0,33448,Justin Thomas,70.28,3022,43
32,0,24507,Jason Bohn,70.29,984,14
32,0,21961,Charles Howell III,70.29,2179,31
34,0,25804,Bubba Watson,70.32,1969,28
35,0,20098,Stuart Appleby,70.33,633,9
36,0,12510,Chad Campbell,70.38,1830,26
36,0,21209,Sergio Garcia,70.38,1830,26
36,0,29478,Kevin Kisner,70.38,2745,39
39,0,40026,Daniel Berger,70.39,2182,31
40,0,25572,Graeme McDowell,70.40,1760,25
40,0,29485,Brett Stegmaier,70.40,1760,25
42,0,25364,Paul Casey,70.41,2253,32
43,0,25686,Jason Dufner,70.42,2535,36
44,0,25396,Kevin Na,70.44,2395,34
45,0,32150,Michael Thompson,70.45,1409,20
46,0,25834,Daniel Summerhays,70.46,1973,28
47,0,23800,Bryce Molder,70.50,1551,22
48,0,23108,Matt Kuchar,70.52,3244,46
