RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,0,46046,Scottie Scheffler,23.33%,189,810
2,0,47504,Sam Burns,21.34%,178,834
3,0,40250,Taylor Pendrith,21.18%,180,850
4,0,32757,Patton Kizzire,21.10%,146,692
5,0,52514,Trace Crowe,20.99%,157,748
6,0,60004,Jacob Bridgeman,20.90%,181,866
7,0,52513,Carson Young,20.69%,197,952
8,0,51766,Wyndham Clark,20.66%,157,760
9,0,39546,Keith Mitchell,20.62%,186,902
10,0,59866,Nick Dunlap,20.58%,156,758
11,0,51894,Vince Whaley,20.50%,164,800
12,0,40162,Justin Lower,20.43%,218,1067
13,0,34046,Jordan Spieth,20.39%,156,765
14,0,52955,Ludvig Ãberg,20.30%,164,808
14,0,48084,Wesley Bryan,20.30%,108,532
14,0,57900,Chandler Phillips,20.30%,187,921
17,0,30926,Chris Kirk,20.23%,178,880
18,0,24024,Zach Johnson,20.14%,114,566
19,0,39975,Michael Kim,20.11%,181,900
20,0,57975,Harry Hall,20.02%,175,874
20,0,57366,Cameron Young,20.02%,175,874
22,0,46442,Maverick McNealy,20.00%,204,1020
23,0,51349,Nico Echavarria,19.96%,196,982
24,0,28089,Jason Day,19.95%,156,782
25,0,35532,Tom Hoge,19.80%,223,1126
26,0,27064,Jhonattan Vegas,19.77%,157,794
27,0,33204,Shane Lowry,19.65%,156,794
28,0,33486,Roger Sloan,19.64%,141,718
29,0,39997,Corey Conners,19.53%,184,942
30,0,51696,Rico Hoey,19.52%,178,912
31,0,35461,Beau Hossler,19.51%,185,948
32,0,45522,Christiaan Bezuidenhout,19.49%,168,862
33,0,38991,Alejandro Tosti,19.45%,149,766
34,0,59836,Pierceson Coody,19.44%,168,864
34,0,51287,Ryo Hisatsune,19.44%,182,936
34,0,40006,Erik van Rooyen,19.44%,173,890
37,0,49771,J.T. Poston,19.36%,189,976
38,0,12716,Charley Hoffman,19.35%,149,770
39,0,27936,Martin Laird,19.33%,155,802
40,0,37275,Sam Ryder,19.28%,160,830
41,0,48081,Xander Schauffele,19.25%,169,878
42,0,25900,Lucas Glover,19.14%,191,998
42,0,36799,Stephan Jaeger,19.14%,170,888
44,0,30163,Henrik Norlander,19.11%,133,696
45,0,54591,Ben Griffin,19.07%,237,1243
46,0,50525,Collin Morikawa,19.06%,162,850
47,0,47983,Chad Ramey,19.05%,173,908
48,0,34256,Andrew Putnam,19.03%,169,888
49,0,33448,Justin Thomas,19.02%,143,752
50,0,48867,Matti Schmid,18.99%,161,848
51,0,39971,Sungjae Im,18.98%,186,980
52,0,34076,Joel Dahmen,18.96%,186,981
53,0,58168,Davis Thompson,18.91%,191,1010
54,0,36801,Mark Hubbard,18.90%,209,1106
55,0,34587,Chan Kim,18.88%,165,874
56,0,47995,Davis Riley,18.84%,153,812
57,0,46717,Viktor Hovland,18.79%,115,612
58,0,55789,Taylor Montgomery,18.78%,114,607
59,0,50484,Hayden Springer,18.72%,146,780
60,0,51634,Sahith Theegala,18.67%,186,996
61,0,33948,Byeong Hun An,18.64%,151,810
62,0,51977,Max Greyserman,18.63%,160,859
63,0,32839,Hideki Matsuyama,18.59%,148,796
64,0,40026,Daniel Berger,18.56%,160,862
65,0,52375,Doug Ghim,18.55%,184,992
66,0,60067,Joe Highsmith,18.48%,143,774
67,0,36699,Patrick Rodgers,18.47%,198,1072
68,0,46340,Alex Smalley,18.41%,151,820
69,0,51997,Andrew Novak,18.40%,168,913
70,0,35450,Patrick Cantlay,18.33%,136,742
71,0,46441,Robby Shelton,18.30%,153,836
72,0,35310,Lanto Griffin,18.28%,147,804
73,0,34098,Russell Henley,18.26%,145,794
74,0,27644,Brian Harman,18.21%,173,950
75,0,33141,Keegan Bradley,18.17%,157,864
76,0,39327,Ben Silverman,18.15%,155,854
77,0,50497,Adrien Dumont de Chassart,18.14%,148,816
77,0,25493,Nick Taylor,18.14%,168,926
79,0,47347,Adam Schenk,18.12%,183,1010
80,0,34466,Peter Malnati,18.10%,152,840
81,0,36884,Ben Kohles,18.06%,171,947
82,0,37378,Min Woo Lee,18.01%,134,744
82,0,39324,J.J. Spaun,18.01%,152,844
84,0,55182,Tom Kim,17.97%,161,896
84,0,55893,Sam Stevens,17.97%,193,1074
86,0,46113,Ryan McCormick,17.95%,119,663
87,0,29908,C.T. Pan,17.91%,113,631
88,0,52215,Robert MacIntyre,17.90%,145,810
89,0,32070,Rafael Campos,17.89%,112,626
89,0,32640,Troy Merritt,17.89%,146,816
91,0,35506,Mackenzie Hughes,17.84%,182,1020
91,0,28237,Rory McIlroy,17.84%,132,740
93,0,29725,Tony Finau,17.83%,158,886
94,0,34255,Joseph Bramlett,17.82%,165,926
95,0,54421,Garrick Higgo,17.78%,155,872
96,0,33399,Adam Hadwin,17.75%,159,896
