RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,46046,Scottie Scheffler,32.51%,66,203
2,0,32757,Patton Kizzire,32.26%,70,217
3,0,30926,Chris Kirk,32.08%,77,240
4,0,30927,Brendon Todd,31.13%,94,302
5,0,57900,Chandler Phillips,31.06%,91,293
6,0,49771,J.T. Poston,31.02%,85,274
7,0,47993,Denny McCarthy,30.60%,82,268
8,0,51766,Wyndham Clark,30.08%,74,246
9,0,25900,Lucas Glover,30.00%,81,270
10,0,49960,Sepp Straka,29.95%,59,197
11,0,46442,Maverick McNealy,29.13%,90,309
12,0,35532,Tom Hoge,29.05%,86,296
13,0,25493,Nick Taylor,28.92%,72,249
14,0,28237,Rory McIlroy,28.87%,56,194
15,0,54591,Ben Griffin,28.86%,86,298
16,0,50525,Collin Morikawa,28.77%,63,219
17,0,28089,Jason Day,28.72%,54,188
18,0,33486,Roger Sloan,28.17%,71,252
19,0,59866,Nick Dunlap,28.15%,67,238
20,0,32839,Hideki Matsuyama,28.14%,65,231
21,0,54783,Dylan Wu,28.11%,70,249
22,0,39327,Ben Silverman,27.40%,77,281
23,0,47679,Victor Perez,26.90%,53,197
24,0,36884,Ben Kohles,26.89%,71,264
25,0,51894,Vince Whaley,26.75%,61,228
26,0,40026,Daniel Berger,26.59%,46,173
27,0,55789,Taylor Montgomery,26.55%,47,177
28,0,51634,Sahith Theegala,26.49%,80,302
29,0,47420,Jake Knapp,26.41%,61,231
30,0,47504,Sam Burns,26.37%,72,273
31,0,23108,Matt Kuchar,26.35%,73,277
32,0,60004,Jacob Bridgeman,26.34%,59,224
33,0,57975,Harry Hall,26.26%,73,278
34,0,34046,Jordan Spieth,26.25%,68,259
35,0,33399,Adam Hadwin,26.22%,70,267
36,0,33653,Thomas Detry,26.15%,57,218
37,0,33408,Tyson Alexander,26.02%,51,196
38,0,57362,Austin Eckroat,26.01%,71,273
39,0,46717,Viktor Hovland,26.00%,52,200
40,0,34076,Joel Dahmen,25.93%,77,297
41,0,36801,Mark Hubbard,25.89%,73,282
42,0,34021,Bud Cauley,25.87%,52,201
43,0,39997,Corey Conners,25.80%,73,283
44,0,35461,Beau Hossler,25.76%,85,330
45,0,35310,Lanto Griffin,25.73%,53,206
46,0,29535,Brice Garnett,25.58%,33,129
47,0,34098,Russell Henley,25.57%,56,219
48,0,52513,Carson Young,25.54%,71,278
49,0,40250,Taylor Pendrith,25.44%,72,283
50,0,58168,Davis Thompson,25.18%,69,274
51,0,35450,Patrick Cantlay,25.14%,44,175
51,0,35617,Martin Trainer,25.14%,44,175
53,0,33448,Justin Thomas,25.00%,52,208
54,0,29725,Tony Finau,24.89%,59,237
54,0,27936,Martin Laird,24.89%,57,229
54,0,34256,Andrew Putnam,24.89%,57,229
57,0,46414,Aaron Rai,24.88%,53,213
58,0,48081,Xander Schauffele,24.87%,49,197
58,0,48887,Matt Wallace,24.87%,47,189
60,0,40058,Zac Blair,24.82%,70,282
61,0,52374,Brandon Wu,24.78%,57,230
62,0,46113,Ryan McCormick,24.74%,48,194
63,0,59836,Pierceson Coody,24.73%,69,279
64,0,39324,J.J. Spaun,24.65%,70,284
65,0,12716,Charley Hoffman,24.63%,66,268
66,0,49947,Taylor Moore,24.62%,82,333
67,0,50497,Adrien Dumont de Chassart,24.59%,60,244
68,0,39977,Max Homa,24.57%,57,232
69,0,46441,Robby Shelton,24.44%,55,225
70,0,47995,Davis Riley,24.41%,72,295
71,0,27649,Brandt Snedeker,24.37%,48,197
72,0,33141,Keegan Bradley,24.32%,63,259
73,0,35506,Mackenzie Hughes,24.22%,70,289
74,0,33948,Byeong Hun An,24.15%,64,265
75,0,39975,Michael Kim,24.14%,63,261
76,0,45522,Christiaan Bezuidenhout,24.03%,62,258
76,0,27064,Jhonattan Vegas,24.03%,56,233
78,0,28775,Nate Lashley,23.98%,59,246
79,0,40162,Justin Lower,23.96%,69,288
80,0,34099,Harris English,23.89%,54,226
80,0,31646,Emiliano Grillo,23.89%,54,226
82,0,57366,Cameron Young,23.74%,66,278
83,0,34563,Chesson Hadley,23.67%,58,245
84,0,27644,Brian Harman,23.65%,70,296
85,0,50493,Justin Suh,23.64%,61,258
86,0,22405,Justin Rose,23.63%,43,182
87,0,40098,Matt Fitzpatrick,23.62%,47,199
88,0,55708,Hayden Buckley,23.61%,51,216
88,0,52375,Doug Ghim,23.61%,68,288
90,0,36799,Stephan Jaeger,23.32%,59,253
91,0,59143,Mac Meissner,23.26%,60,258
92,0,51997,Andrew Novak,23.24%,66,284
93,0,51977,Max Greyserman,23.23%,59,254
94,0,29420,Billy Horschel,23.19%,48,207
95,0,37275,Sam Ryder,23.12%,46,199
96,0,27214,Kevin Streelman,23.08%,57,247
97,0,54576,Patrick Fishburn,23.05%,56,243
98,0,45157,Cam Davis,22.99%,60,261
99,0,48319,Tom Whitney,22.97%,48,209
100,0,32640,Troy Merritt,22.94%,50,218
101,0,24024,Zach Johnson,22.82%,34,149
102,0,39546,Keith Mitchell,22.69%,81,357
103,0,29936,Ryan Fox,22.68%,66,291
104,0,29221,Webb Simpson,22.65%,41,181
105,0,51349,Nico Echavarria,22.63%,55,243
106,0,47988,Nick Hardy,22.62%,76,336
107,0,52514,Trace Crowe,22.58%,49,217
108,0,32791,K.H. Lee,22.53%,57,253
109,0,40115,Adam Svensson,22.52%,75,333
110,0,32070,Rafael Campos,22.49%,38,169
111,0,26596,Ryan Moore,22.40%,43,192
112,0,51696,Rico Hoey,22.39%,60,268
113,0,50188,S.H. Kim,22.36%,72,322
114,0,36699,Patrick Rodgers,22.35%,78,349
115,0,29478,Kevin Kisner,22.29%,35,157
116,0,32102,Rickie Fowler,22.27%,53,238
116,0,29908,C.T. Pan,22.27%,49,220
118,0,33204,Shane Lowry,22.17%,47,212
119,0,30911,Tommy Fleetwood,22.16%,39,176
119,0,48153,Matthieu Pavon,22.16%,43,194
121,0,34466,Peter Malnati,22.10%,61,276
122,0,22371,Aaron Baddeley,22.08%,51,231
123,0,50484,Hayden Springer,21.99%,53,241
124,0,50095,Austin Smotherman,21.94%,34,155
125,0,60067,Joe Highsmith,21.90%,53,242
126,0,59095,Chris Gotterup,21.88%,63,288
127,0,52955,Ludvig Ãberg,21.81%,53,243
128,0,54628,Lee Hodges,21.62%,64,296
128,0,55893,Sam Stevens,21.62%,80,370
130,0,47591,Eric Cole,21.61%,75,347
131,0,27139,David Skinns,21.60%,54,250
132,0,27770,Camilo Villegas,21.39%,40,187
133,0,36326,David Lipsky,21.36%,44,206
134,0,52666,Sami Valimaki,21.35%,41,192
135,0,32333,Kevin Tway,21.30%,36,169
136,0,56630,Akshay Bhatia,21.28%,63,296
136,0,28252,Seamus Power,21.28%,60,282
138,0,34255,Joseph Bramlett,21.20%,60,283
139,0,39971,Sungjae Im,21.19%,57,269
140,0,27330,Josh Teater,21.12%,34,161
141,0,55182,Tom Kim,21.10%,50,237
142,0,30163,Henrik Norlander,21.02%,33,157
143,0,27349,Alex Noren,20.86%,34,163
144,0,33968,ThorbjÃ¸rn Olesen,20.83%,30,144
145,0,47983,Chad Ramey,20.79%,58,279
146,0,48117,Kurt Kitayama,20.74%,45,217
147,0,40006,Erik van Rooyen,20.73%,57,275
148,0,32366,Kevin Chappell,20.67%,37,179
149,0,52215,Robert MacIntyre,20.49%,42,205
150,0,37212,Paul Barjon,20.37%,33,162
151,0,46340,Alex Smalley,20.36%,45,221
152,0,48084,Wesley Bryan,20.34%,36,177
153,0,51890,Greyson Sigg,20.18%,45,223
154,0,51287,Ryo Hisatsune,19.92%,50,251
155,0,59442,Parker Coody,19.89%,36,181
156,0,34587,Chan Kim,19.85%,53,267
157,0,55454,Carl Yuan,19.73%,44,223
158,0,47806,Raul Pereda,19.58%,28,143
159,0,54421,Garrick Higgo,19.49%,54,277
160,0,32367,Jorge Campillo,19.40%,26,134
161,0,26476,Chez Reavie,19.32%,40,207
162,0,56149,Wilson Furr,19.27%,42,218
163,0,47347,Adam Schenk,19.15%,63,329
164,0,37455,Si Woo Kim,18.94%,50,264
165,0,31323,Gary Woodland,18.90%,48,254
166,0,24502,Adam Scott,18.89%,41,217
167,0,45242,Kevin Yu,18.75%,54,288
168,0,27129,Luke List,18.60%,45,242
169,0,48867,Matti Schmid,18.30%,43,235
170,0,60767,Blaine Hale Jr.,18.13%,31,171
171,0,37378,Min Woo Lee,17.95%,42,234
171,0,36871,Matt NeSmith,17.95%,42,234
173,0,34374,Erik Barnes,17.71%,34,192
174,0,47483,Will Zalatoris,17.54%,30,171
175,0,52453,Nicolai HÃ¸jgaard,17.53%,27,154
176,0,48699,Callum Tarren,17.39%,44,253
177,0,45609,Tyler Duncan,17.13%,37,216
178,0,38991,Alejandro Tosti,16.67%,42,252
179,0,48119,Ben Taylor,16.59%,34,205
180,0,47663,Kevin Dougherty,15.97%,38,238
181,0,28420,Ryan Brehm,15.93%,29,182
182,0,52372,Cameron Champ,15.73%,28,178
182,0,51070,Vincent Norrman,15.73%,28,178
184,0,23320,Ryan Palmer,15.49%,22,142
